Common name,GPCRdb ID,Reference ligand,Vendors,Species,Assay Type,Activity Type,Activity Relation,Activity Value,p-value (-log),Fold selectivity,Tested GPCRs,Assay Description,Source,Mol weight,Rot Bonds,H don,H acc,LogP,Smiles,DOI
amiodarone,398,,47,Human,Binding,AC50,=,3146.4,5.5,-4,40,"Binding affinity towards human DRD2 in an in vitro assay with cellular components measured by membrane filtration, scintillation proximity assay",ChEMBL,645,11,0,4,"6,94",CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1,https://dx.doi.org/10.1038/s41467-023-40064-9
amiodarone,398,,47,Human,Binding,IC50,=,19952.0,4.7,-4,40,DRUGMATRIX: Dopamine D2L radioligand binding (ligand: [3H] Spiperone),ChEMBL,645,11,0,4,"6,94",CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1,-
amiodarone,398,,47,Human,Binding,Ki,=,6651.0,5.18,-4,40,DRUGMATRIX: Dopamine D2L radioligand binding (ligand: [3H] Spiperone),ChEMBL,645,11,0,4,"6,94",CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1,-
amiodarone,398,,47,Human,Binding,pKi,=,5.18,8.29,-4,40,DRUGMATRIX: Dopamine D2L radioligand binding (ligand: [3H] Spiperone),Drug Central,645,11,0,4,"6,94",CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1,-
amisulpride,400,,72,Human,Binding,AC50,=,15.0,7.82,-2,53,"Binding affinity towards human DRD2 in an in vitro assay with cellular components measured by membrane filtration, scintillation proximity assay",ChEMBL,"369,2",7,2,6,"1,28",CCN1CCCC1CNC(=O)c1cc(S(=O)(=O)CC)c(N)cc1OC,https://dx.doi.org/10.1038/s41467-023-40064-9
amitriptyline,401,,38,Human,Binding,AC50,=,550.0,6.26,-323,51,"Binding affinity towards human DRD2 in an in vitro assay with cellular components measured by membrane filtration, scintillation proximity assay",ChEMBL,"277,2",3,0,1,"4,17",CN(C)CCC=C1c2ccccc2CCc2ccccc21,https://dx.doi.org/10.1038/s41467-023-40064-9
amitriptyline,401,,38,Human,Binding,IC50,=,1009.0,6.0,-323,51,DRUGMATRIX: Dopamine D2L radioligand binding (ligand: [3H] Spiperone),ChEMBL,"277,2",3,0,1,"4,17",CN(C)CCC=C1c2ccccc2CCc2ccccc21,-
amitriptyline,401,,38,Human,Binding,Ki,=,336.0,6.47,-323,51,DRUGMATRIX: Dopamine D2L radioligand binding (ligand: [3H] Spiperone),ChEMBL,"277,2",3,0,1,"4,17",CN(C)CCC=C1c2ccccc2CCc2ccccc21,-
AMLODIPINE,41527,,58,Human,Binding,AC50,=,2900.0,5.54,-,24,"Binding affinity towards human DRD2 in an in vitro assay with cellular components measured by membrane filtration, scintillation proximity assay",ChEMBL,"408,1",8,2,7,"2,27",CCOC(=O)C1=C(COCCN)NC(C)=C(C(=O)OC)C1c1ccccc1Cl,https://dx.doi.org/10.1038/s41467-023-40064-9
AMODIAQUINE,206241,,47,Human,Binding,AC50,=,8900.0,5.05,-,8,"Binding affinity towards human DRD2 in an in vitro assay with cellular components measured by membrane filtration, scintillation proximity assay",ChEMBL,"355,1",6,2,4,"5,18",CCN(CC)Cc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1O,https://dx.doi.org/10.1038/s41467-023-40064-9
AMOSULALOL,44861,,29,Human,Binding,AC50,=,440.0,6.36,-,12,"Binding affinity towards human DRD2 in an in vitro assay with cellular components measured by membrane filtration, scintillation proximity assay",ChEMBL,"380,1",9,3,6,"1,35",COc1ccccc1OCCNCC(O)c1ccc(C)c(S(N)(=O)=O)c1,https://dx.doi.org/10.1038/s41467-023-40064-9
amoxapine,403,,60,Human,Binding,AC50,=,120.0,6.92,-12,42,"Binding affinity towards human DRD2 in an in vitro assay with cellular components measured by membrane filtration, scintillation proximity assay",ChEMBL,"313,1",0,1,4,"3,43",Clc1ccc2c(c1)C(N1CCNCC1)=Nc1ccccc1O2,https://dx.doi.org/10.1038/s41467-023-40064-9
amoxapine,403,,60,Human,Binding,IC50,=,200.0,6.7,-12,42,DRUGMATRIX: Dopamine D2L radioligand binding (ligand: [3H] Spiperone),ChEMBL,"313,1",0,1,4,"3,43",Clc1ccc2c(c1)C(N1CCNCC1)=Nc1ccccc1O2,-
amoxapine,403,,60,Human,Binding,Ki,=,67.0,7.17,-12,42,DRUGMATRIX: Dopamine D2L radioligand binding (ligand: [3H] Spiperone),ChEMBL,"313,1",0,1,4,"3,43",Clc1ccc2c(c1)C(N1CCNCC1)=Nc1ccccc1O2,-
AMSACRINE,167616,,49,Human,Binding,AC50,=,6900.0,5.16,-,15,"Binding affinity towards human DRD2 in an in vitro assay with cellular components measured by membrane filtration, scintillation proximity assay",ChEMBL,"393,1",5,2,5,"4,51",COc1cc(NS(C)(=O)=O)ccc1Nc1c2ccccc2nc2ccccc12,https://dx.doi.org/10.1038/s41467-023-40064-9
apomorphine,445,,20,Human,Binding,AC50,=,1542.7,5.81,-4,29,"Binding affinity towards human DRD2 in an in vitro assay with cellular components measured by membrane filtration, scintillation proximity assay",ChEMBL,"267,1",0,2,3,"2,85",CN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3,https://dx.doi.org/10.1038/s41467-023-40064-9
APRINDINE,15289,,20,Human,Binding,AC50,=,15000.0,4.82,-,12,"Binding affinity towards human DRD2 in an in vitro assay with cellular components measured by membrane filtration, scintillation proximity assay",ChEMBL,"322,2",8,0,2,"4,39",CCN(CC)CCCN(c1ccccc1)C1Cc2ccccc2C1,https://dx.doi.org/10.1038/s41467-023-40064-9
ARFORMOTEROL,26817,,34,Human,Binding,AC50,=,10999.9,4.96,1,7,"Binding affinity towards human DRD2 in an in vitro assay with cellular components measured by membrane filtration, scintillation proximity assay",ChEMBL,"344,2",9,4,5,"2,22",COc1ccc(C[C@@H](C)NC[C@H](O)c2ccc(O)c(NC=O)c2)cc1,https://dx.doi.org/10.1038/s41467-023-40064-9
aripiprazole,470,,70,Human,Binding,AC50,=,23.7,7.62,-1,60,"Binding affinity towards human DRD2 in an in vitro assay with cellular components measured by membrane filtration, scintillation proximity assay",ChEMBL,"447,1",7,1,4,"4,86",O=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,https://dx.doi.org/10.1038/s41467-023-40064-9
ASENAPINE,107587,,16,Human,Binding,AC50,=,57.0,7.24,-18,54,"Binding affinity towards human DRD2 in an in vitro assay with cellular components measured by membrane filtration, scintillation proximity assay",ChEMBL,"285,1",0,0,2,"4,26",CN1CC2c3ccccc3Oc3ccc(Cl)cc3C2C1,https://dx.doi.org/10.1038/s41467-023-40064-9
astemizole,505,,55,Human,Binding,AC50,=,8600.0,5.07,-53,48,"Binding affinity towards human DRD2 in an in vitro assay with cellular components measured by membrane filtration, scintillation proximity assay",ChEMBL,"458,2",8,1,5,"5,35",COc1ccc(CCN2CCC(Nc3nc4ccccc4n3Cc3ccc(F)cc3)CC2)cc1,https://dx.doi.org/10.1038/s41467-023-40064-9
astemizole,505,,55,Human,Binding,IC50,=,4521.0,5.34,-53,48,DRUGMATRIX: Dopamine D2L radioligand binding (ligand: [3H] Spiperone),ChEMBL,"458,2",8,1,5,"5,35",COc1ccc(CCN2CCC(Nc3nc4ccccc4n3Cc3ccc(F)cc3)CC2)cc1,-
astemizole,505,,55,Human,Binding,Ki,=,1507.0,5.82,-53,48,DRUGMATRIX: Dopamine D2L radioligand binding (ligand: [3H] Spiperone),ChEMBL,"458,2",8,1,5,"5,35",COc1ccc(CCN2CCC(Nc3nc4ccccc4n3Cc3ccc(F)cc3)CC2)cc1,-
astemizole,505,,55,Human,Binding,pKi,=,5.82,8.23,-53,48,DRUGMATRIX: Dopamine D2L radioligand binding (ligand: [3H] Spiperone),Drug Central,"458,2",8,1,5,"5,35",COc1ccc(CCN2CCC(Nc3nc4ccccc4n3Cc3ccc(F)cc3)CC2)cc1,-
AZATADINE,209982,,33,Human,Binding,AC50,=,7300.0,5.14,-,11,"Binding affinity towards human DRD2 in an in vitro assay with cellular components measured by membrane filtration, scintillation proximity assay",ChEMBL,"290,2",0,0,2,"3,71",CN1CCC(=C2c3ccccc3CCc3cccnc32)CC1,https://dx.doi.org/10.1038/s41467-023-40064-9
BAZEDOXIFENE,178724,,43,Human,Binding,AC50,=,4700.0,5.33,-,19,"Binding affinity towards human DRD2 in an in vitro assay with cellular components measured by membrane filtration, scintillation proximity assay",ChEMBL,"470,3",7,2,5,"6,33",Cc1c(-c2ccc(O)cc2)n(Cc2ccc(OCCN3CCCCCC3)cc2)c2ccc(O)cc12,https://dx.doi.org/10.1038/s41467-023-40064-9
BENIDIPINE,77126,,16,Human,Binding,AC50,=,29999.9,4.52,-,11,"Binding affinity towards human DRD2 in an in vitro assay with cellular components measured by membrane filtration, scintillation proximity assay",ChEMBL,"505,2",7,1,8,"4,21",COC(=O)C1=C(C)NC(C)=C(C(=O)OC2CCCN(Cc3ccccc3)C2)C1c1cccc([N+](=O)[O-])c1,https://dx.doi.org/10.1038/s41467-023-40064-9
benperidol,596,,33,Human,Binding,AC50,=,7.7,8.11,1,24,"Binding affinity towards human DRD2 in an in vitro assay with cellular components measured by membrane filtration, scintillation proximity assay",ChEMBL,"381,2",6,1,4,"3,77",O=C(CCCN1CCC(n2c(=O)[nH]c3ccccc32)CC1)c1ccc(F)cc1,https://dx.doi.org/10.1038/s41467-023-40064-9
benzatropine,597,,17,Human,Binding,AC50,=,17999.9,4.75,-,27,"Binding affinity towards human DRD2 in an in vitro assay with cellular components measured by membrane filtration, scintillation proximity assay",ChEMBL,"307,2",4,0,2,"4,42",CN1[C@H]2CC[C@@H]1C[C@H](OC(c1ccccc1)c1ccccc1)C2,https://dx.doi.org/10.1038/s41467-023-40064-9
BENZETHONIUM,11852,,18,Human,Binding,AC50,=,3794.7,5.42,-,35,"Binding affinity towards human DRD2 in an in vitro assay with cellular components measured by membrane filtration, scintillation proximity assay",ChEMBL,"412,3",11,0,2,"6,07",CC(C)(C)CC(C)(C)c1ccc(OCCOCC[N+](C)(C)Cc2ccccc2)cc1,https://dx.doi.org/10.1038/s41467-023-40064-9
BENZOTHIAZYL DISULFIDE,189057,,54,Human,Binding,IC50,=,5866.0,5.23,-26,13,DRUGMATRIX: Dopamine D2L radioligand binding (ligand: [3H] Spiperone),ChEMBL,332,3,0,6,"5,71",c1ccc2sc(SSc3nc4ccccc4s3)nc2c1,-
BENZOTHIAZYL DISULFIDE,189057,,54,Human,Binding,Ki,=,1955.0,5.71,-26,13,DRUGMATRIX: Dopamine D2L radioligand binding (ligand: [3H] Spiperone),ChEMBL,332,3,0,6,"5,71",c1ccc2sc(SSc3nc4ccccc4s3)nc2c1,-
benzquinamide,599,,30,Human,Binding,AC50,=,2500.0,5.6,-26,9,"Binding affinity towards human DRD2 in an in vitro assay with cellular components measured by membrane filtration, scintillation proximity assay",ChEMBL,"404,2",6,0,6,"2,42",CCN(CC)C(=O)C1CN2CCc3cc(OC)c(OC)cc3C2CC1OC(C)=O,https://dx.doi.org/10.1038/s41467-023-40064-9
BEPRIDIL,4301,,35,Human,Binding,AC50,=,12999.9,4.89,-,22,"Binding affinity towards human DRD2 in an in vitro assay with cellular components measured by membrane filtration, scintillation proximity assay",ChEMBL,"366,3",10,0,3,"4,83",CC(C)COCC(CN(Cc1ccccc1)c1ccccc1)N1CCCC1,https://dx.doi.org/10.1038/s41467-023-40064-9
BETAMETHASONE DIPROPIONATE,14419,,30,Human,Binding,AC50,=,770.0,6.11,-,3,"Binding affinity towards human DRD2 in an in vitro assay with cellular components measured by membrane filtration, scintillation proximity assay",ChEMBL,"504,3",6,1,7,"3,82",CCC(=O)OCC(=O)[C@@]1(OC(=O)CC)[C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,https://dx.doi.org/10.1038/s41467-023-40064-9
BOPINDOLOL,121354,,36,Human,Binding,AC50,=,6900.0,5.16,-,12,"Binding affinity towards human DRD2 in an in vitro assay with cellular components measured by membrane filtration, scintillation proximity assay",ChEMBL,"380,2",7,2,4,"4,47",Cc1cc2c(OCC(CNC(C)(C)C)OC(=O)c3ccccc3)cccc2[nH]1,https://dx.doi.org/10.1038/s41467-023-40064-9
BOSUTINIB,100270,,65,Human,Binding,AC50,=,930.0,6.03,-,23,"Binding affinity towards human DRD2 in an in vitro assay with cellular components measured by membrane filtration, scintillation proximity assay",ChEMBL,"529,2",9,1,8,"5,19",COc1cc(Nc2c(C#N)cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)c(Cl)cc1Cl,https://dx.doi.org/10.1038/s41467-023-40064-9
bromocriptine,729,,28,Human,Binding,AC50,=,27.8,7.56,-6,45,"Binding affinity towards human DRD2 in an in vitro assay with cellular components measured by membrane filtration, scintillation proximity assay",ChEMBL,"653,2",5,3,6,"3,19",CC(C)C[C@H]1C(=O)N2CCC[C@H]2[C@]2(O)O[C@](NC(=O)[C@@H]3C=C4c5cccc6[nH]c(Br)c(c56)C[C@H]4N(C)C3)(C(C)C)C(=O)N12,https://dx.doi.org/10.1038/s41467-023-40064-9
bromocriptine,729,,28,Human,Binding,IC50,=,1.58,8.8,-6,45,DRUGMATRIX: Dopamine D2L radioligand binding (ligand: [3H] Spiperone),ChEMBL,"653,2",5,3,6,"3,19",CC(C)C[C@H]1C(=O)N2CCC[C@H]2[C@]2(O)O[C@](NC(=O)[C@@H]3C=C4c5cccc6[nH]c(Br)c(c56)C[C@H]4N(C)C3)(C(C)C)C(=O)N12,-
bromocriptine,729,,28,Human,Binding,Ki,=,0.53,9.28,-6,45,DRUGMATRIX: Dopamine D2L radioligand binding (ligand: [3H] Spiperone),ChEMBL,"653,2",5,3,6,"3,19",CC(C)C[C@H]1C(=O)N2CCC[C@H]2[C@]2(O)O[C@](NC(=O)[C@@H]3C=C4c5cccc6[nH]c(Br)c(c56)C[C@H]4N(C)C3)(C(C)C)C(=O)N12,-
BROMPERIDOL,99377,,50,Human,Binding,AC50,=,22.0,7.66,-1,24,"Binding affinity towards human DRD2 in an in vitro assay with cellular components measured by membrane filtration, scintillation proximity assay",ChEMBL,"419,1",6,1,3,"4,54",O=C(CCCN1CCC(O)(c2ccc(Br)cc2)CC1)c1ccc(F)cc1,https://dx.doi.org/10.1038/s41467-023-40064-9
buspirone,745,,38,Human,Binding,AC50,=,520.0,6.28,-13,34,"Binding affinity towards human DRD2 in an in vitro assay with cellular components measured by membrane filtration, scintillation proximity assay",ChEMBL,"385,2",6,0,6,"2,09",O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(c2ncccn2)CC1,https://dx.doi.org/10.1038/s41467-023-40064-9
buspirone,745,,38,Human,Binding,IC50,=,323.0,6.49,-13,34,DRUGMATRIX: Dopamine D2L radioligand binding (ligand: [3H] Spiperone),ChEMBL,"385,2",6,0,6,"2,09",O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(c2ncccn2)CC1,-
buspirone,745,,38,Human,Binding,Ki,=,108.0,6.97,-13,34,DRUGMATRIX: Dopamine D2L radioligand binding (ligand: [3H] Spiperone),ChEMBL,"385,2",6,0,6,"2,09",O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(c2ncccn2)CC1,-
BUTRIPTYLINE,78430,,26,Human,Binding,AC50,=,16000.0,4.8,-,10,"Binding affinity towards human DRD2 in an in vitro assay with cellular components measured by membrane filtration, scintillation proximity assay",ChEMBL,"293,2",4,0,1,"4,50",CC(CC1c2ccccc2CCc2ccccc21)CN(C)C,https://dx.doi.org/10.1038/s41467-023-40064-9
cabergoline,778,,41,Human,Binding,AC50,=,13.0,7.89,-1,19,"Binding affinity towards human DRD2 in an in vitro assay with cellular components measured by membrane filtration, scintillation proximity assay",ChEMBL,"451,3",8,2,4,"3,19",C=CCN1C[C@H](C(=O)N(CCCN(C)C)C(=O)NCC)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21,https://dx.doi.org/10.1038/s41467-023-40064-9
carvedilol,803,,59,Human,Binding,AC50,=,130.0,6.89,-38,35,"Binding affinity towards human DRD2 in an in vitro assay with cellular components measured by membrane filtration, scintillation proximity assay",ChEMBL,"406,2",10,3,5,"3,74",COc1ccccc1OCCNCC(O)COc1cccc2[nH]c3ccccc3c12,https://dx.doi.org/10.1038/s41467-023-40064-9
carvedilol,803,,59,Human,Binding,IC50,=,146.0,6.84,-38,35,DRUGMATRIX: Dopamine D2L radioligand binding (ligand: [3H] Spiperone),ChEMBL,"406,2",10,3,5,"3,74",COc1ccccc1OCCNCC(O)COc1cccc2[nH]c3ccccc3c12,-
carvedilol,803,,59,Human,Binding,Ki,=,49.0,7.31,-38,35,DRUGMATRIX: Dopamine D2L radioligand binding (ligand: [3H] Spiperone),ChEMBL,"406,2",10,3,5,"3,74",COc1ccccc1OCCNCC(O)COc1cccc2[nH]c3ccccc3c12,-
carvedilol,803,,59,Human,Binding,pKi,=,7.31,8.14,-38,35,DRUGMATRIX: Dopamine D2L radioligand binding (ligand: [3H] Spiperone),Drug Central,"406,2",10,3,5,"3,74",COc1ccccc1OCCNCC(O)COc1cccc2[nH]c3ccccc3c12,-
CEFEPIME,66823,,25,Human,Binding,AC50,=,18999.8,4.72,-,3,"Binding affinity towards human DRD2 in an in vitro assay with cellular components measured by membrane filtration, scintillation proximity assay",ChEMBL,"480,1",7,2,10,"-1,28",CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(C[N+]3(C)CCCC3)CS[C@H]12)c1csc(N)n1,https://dx.doi.org/10.1038/s41467-023-40064-9
CEFPROZIL,112658,,8,Human,Binding,AC50,=,25999.8,4.58,-,2,"Binding affinity towards human DRD2 in an in vitro assay with cellular components measured by membrane filtration, scintillation proximity assay",ChEMBL,"389,1",5,4,6,"0,71",CC=CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)c3ccc(O)cc3)[C@H]2SC1,https://dx.doi.org/10.1038/s41467-023-40064-9
CHEMBL1221512,15618,,4,Human,Binding,IC50,=,157.0,6.8,-5,8,DRUGMATRIX: Dopamine D2L radioligand binding (ligand: [3H] Spiperone),ChEMBL,"559,3",18,4,9,"1,75",CC[C@H](C)[C@@H](CO[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCS(C)(=O)=O)C(=O)OC(C)C)NC[C@@H](N)CS,-
CHEMBL1221512,15618,,4,Human,Binding,Ki,=,52.0,7.28,-5,8,DRUGMATRIX: Dopamine D2L radioligand binding (ligand: [3H] Spiperone),ChEMBL,"559,3",18,4,9,"1,75",CC[C@H](C)[C@@H](CO[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCS(C)(=O)=O)C(=O)OC(C)C)NC[C@@H](N)CS,-
CHEMBL141343,32701,,12,Human,Binding,IC50,=,16760.0,4.78,-16,11,DRUGMATRIX: Dopamine D2L radioligand binding (ligand: [3H] Spiperone),ChEMBL,"520,4",5,1,8,"4,21",Cc1c(C)c2c(c(C)c1O)CCC(C)(CN1CCN(c3cc(N4CCCC4)nc(N4CCCC4)n3)CC1)O2,-
CHEMBL141343,32701,,12,Human,Binding,Ki,=,5587.0,5.25,-16,11,DRUGMATRIX: Dopamine D2L radioligand binding (ligand: [3H] Spiperone),ChEMBL,"520,4",5,1,8,"4,21",Cc1c(C)c2c(c(C)c1O)CCC(C)(CN1CCN(c3cc(N4CCCC4)nc(N4CCCC4)n3)CC1)O2,-
CHEMBL2365712,89164,,10,Human,Binding,AC50,=,53.0,7.28,-,13,"Binding affinity towards human DRD2 in an in vitro assay with cellular components measured by membrane filtration, scintillation proximity assay",ChEMBL,"563,3",4,3,6,"2,13",CC(C)[C@H]1C(=O)N2CCC[C@H]2[C@]2(O)O[C@](NC(=O)[C@@H]3C[C@@H]4c5cccc6[nH]cc(c56)C[C@H]4N(C)C3)(C(C)C)C(=O)N12,https://dx.doi.org/10.1038/s41467-023-40064-9
CHEMBL3639415,124463,,0,Human,Binding,Ki,=,486.0,6.31,-53,3,"Radioligand Binding Assay: The ability of the compounds to bind to the 5-HT2A, D3 and D2 receptors was determined using radioligand binding to cloned receptors selectively expressed in HEK-293 EBNA cells.",ChEMBL,"370,2",5,1,5,"3,04",CC(=O)N[C@H]1CC[C@H](CCN2CCN(c3nccc4occc34)CC2)CC1,-
CHEMBL3639416,124464,,0,Human,Binding,Ki,=,1935.0,5.71,-104,3,"Radioligand Binding Assay: The ability of the compounds to bind to the 5-HT2A, D3 and D2 receptors was determined using radioligand binding to cloned receptors selectively expressed in HEK-293 EBNA cells.",ChEMBL,"470,3",7,1,6,"3,33",Cc1cc2c(c(N3CCN(CC[C@H]4CC[C@H](NC(=O)CC5CCOCC5)CC4)CC3)n1)CCO2,-
CHEMBL3642680,124876,,0,Human,Binding,Ki,=,802.0,6.1,-123,3,"Radioligand Binding Assay: The ability of the compounds to bind to the 5-HT2A, D3 and D2 receptors was determined using radioligand binding to cloned receptors selectively expressed in HEK-293 EBNA cells.",ChEMBL,"468,3",8,1,6,"4,22",CO[C@@H]1CC[C@@H](CC(=O)N[C@H]2CC[C@H](CCN3CCN(c4nccc5occc45)CC3)CC2)C1,-
CHEMBL3642681,124877,,0,Human,Binding,Ki,=,1538.0,5.81,-177,3,"Radioligand Binding Assay: The ability of the compounds to bind to the 5-HT2A, D3 and D2 receptors was determined using radioligand binding to cloned receptors selectively expressed in HEK-293 EBNA cells.",ChEMBL,"468,3",7,2,6,"3,96",O=C(C[C@H]1CC[C@H](O)CC1)N[C@H]1CC[C@H](CCN2CCN(c3nccc4occc34)CC2)CC1,-
CHEMBL3642682,124878,,0,Human,Binding,Ki,=,780.0,6.11,-120,3,"Radioligand Binding Assay: The ability of the compounds to bind to the 5-HT2A, D3 and D2 receptors was determined using radioligand binding to cloned receptors selectively expressed in HEK-293 EBNA cells.",ChEMBL,"384,3",6,1,5,"3,42",CCC(=O)N[C@H]1CC[C@H](CCN2CCN(c3nccc4occc34)CC2)CC1,-
CHEMBL3642683,124879,,0,Human,Binding,Ki,=,1347.0,5.87,-165,3,"Radioligand Binding Assay: The ability of the compounds to bind to the 5-HT2A, D3 and D2 receptors was determined using radioligand binding to cloned receptors selectively expressed in HEK-293 EBNA cells.",ChEMBL,"414,3",8,1,6,"3,05",COCCC(=O)N[C@H]1CC[C@H](CCN2CCN(c3nccc4occc34)CC2)CC1,-
CHEMBL3642684,124880,,0,Human,Binding,Ki,=,959.0,6.02,-93,3,"Radioligand Binding Assay: The ability of the compounds to bind to the 5-HT2A, D3 and D2 receptors was determined using radioligand binding to cloned receptors selectively expressed in HEK-293 EBNA cells.",ChEMBL,"400,2",7,2,6,"2,40",O=C(CCO)N[C@H]1CC[C@H](CCN2CCN(c3nccc4occc34)CC2)CC1,-
CHEMBL3642685,124881,,0,Human,Binding,Ki,=,1360.0,5.87,-239,3,"Radioligand Binding Assay: The ability of the compounds to bind to the 5-HT2A, D3 and D2 receptors was determined using radioligand binding to cloned receptors selectively expressed in HEK-293 EBNA cells.",ChEMBL,"386,2",6,2,6,"2,01",O=C(CO)N[C@H]1CC[C@H](CCN2CCN(c3nccc4occc34)CC2)CC1,-
CHEMBL3642686,124882,,0,Human,Binding,Ki,=,1158.0,5.94,-263,3,"Radioligand Binding Assay: The ability of the compounds to bind to the 5-HT2A, D3 and D2 receptors was determined using radioligand binding to cloned receptors selectively expressed in HEK-293 EBNA cells.",ChEMBL,"400,2",7,1,6,"2,66",COCC(=O)N[C@H]1CC[C@H](CCN2CCN(c3nccc4occc34)CC2)CC1,-
