Common name;GPCRdb ID;Reference ligand;Vendors;Species;Assay Type;Activity Type;Activity Relation;Activity Value;p-value (-log);Fold selectivity;Tested GPCRs;Assay Description;Source;Mol weight;Rot Bonds;H don;H acc;LogP;Smiles;DOI
(+)-butaclamol;746;125I-Epidepride;9;Human;Binding;pKi;=;1,80;8,74;-1;25;-;PDSP KiDatabase;361,2;0;1;2;4,84;CC(C)(C)[C@]1(O)CCN2C[C@H]3c4ccccc4CCc4cccc(c43)[C@@H]2C1;-
(+)-butaclamol;746;3H-SPIPERONE;9;Human;Binding;pKi;=;1,10;8,96;-1;25;-;PDSP KiDatabase;361,2;0;1;2;4,84;CC(C)(C)[C@]1(O)CCN2C[C@H]3c4ccccc4CCc4cccc(c43)[C@@H]2C1;-
(+)-butaclamol;746;3H-domperidone;9;Human;Binding;pKi;=;0,94;9,03;-1;25;-;PDSP KiDatabase;361,2;0;1;2;4,84;CC(C)(C)[C@]1(O)CCN2C[C@H]3c4ccccc4CCc4cccc(c43)[C@@H]2C1;-
(+)-butaclamol;746;3H-SPIPERONE;9;Human;Binding;pKi;=;3,20;8,49;-1;25;-;PDSP KiDatabase;361,2;0;1;2;4,84;CC(C)(C)[C@]1(O)CCN2C[C@H]3c4ccccc4CCc4cccc(c43)[C@@H]2C1;-
(+)-S-14297;3427;None;8;Human;Binding;Ki;=;251,19;6,60;-50;2;Inhibition of [125 I]iodosulpiride binding to human Dopamine receptor D2 expressed in CHO cell membranes;ChEMBL;273,2;5;0;2;3,60;CCCN(CCC)C1CCc2cc3c(cc2C1)OCC3;https://dx.doi.org/10.1016/S0960-894X(97)00126-1
(+)-S-14297;3427;None;8;Human;Binding;pKi;None;-;5,50;-50;2;Unclassified;Guide to Pharmacology;273,2;5;0;2;3,60;CCCN(CCC)C1CCc2cc3c(cc2C1)OCC3;https://pubmed.ncbi.nlm.nih.gov/7473180
(+)-SCH-23390;3548;None;8;Human;Binding;Ki;=;20,00;7,70;-1;4;Ability to partially antagonise [3H]-SCH- 23388 binding to the Dopamine receptor D2;ChEMBL;287,1;1;1;2;3,67;CN1CCc2cc(Cl)c(O)cc2[C@H](c2ccccc2)C1;https://dx.doi.org/10.1021/jm00119a003
(+)-SCH-23390;3548;None;8;Human;Binding;pKi;None;-;5,30;-1;4;Unclassified;Guide to Pharmacology;287,1;1;1;2;3,67;CN1CCc2cc(Cl)c(O)cc2[C@H](c2ccccc2)C1;https://pubmed.ncbi.nlm.nih.gov/8301582
(+)-sulpiride;3703;None;66;Human;Binding;AC50;=;803,30;6,09;-1;23;Binding affinity towards human DRD2 in an in vitro assay with cellular components measured by membrane filtration, scintillation proximity assay;ChEMBL;341,1;6;2;5;0,56;CCN1CCC[C@@H]1CNC(=O)c1cc(S(N)(=O)=O)ccc1OC;https://dx.doi.org/10.1038/s41467-023-40064-9
(+)-sulpiride;3703;None;66;Human;Binding;IC50;=;128,00;6,89;-1;23;DRUGMATRIX: Dopamine D2L radioligand binding (ligand: [3H] Spiperone);ChEMBL;341,1;6;2;5;0,56;CCN1CCC[C@@H]1CNC(=O)c1cc(S(N)(=O)=O)ccc1OC;-
(+)-sulpiride;3703;None;66;Human;Binding;IC50;=;205,00;6,69;-1;23;DRUGMATRIX: Dopamine D2L radioligand binding (ligand: [3H] Spiperone);ChEMBL;341,1;6;2;5;0,56;CCN1CCC[C@@H]1CNC(=O)c1cc(S(N)(=O)=O)ccc1OC;-
(+)-sulpiride;3703;None;66;Human;Binding;Kd;=;2,82;8,55;-1;23;Competitive antagonist activity at D2 long receptor (unknown origin) expressed in CHOK1 cells assessed as inhibition of dopamine induced beta-arrestin recruitment after 90 mins by DiscoveRx PathHunter assay;ChEMBL;341,1;6;2;5;0,56;CCN1CCC[C@@H]1CNC(=O)c1cc(S(N)(=O)=O)ccc1OC;https://dx.doi.org/10.1021/acs.jmedchem.6b01688
(+)-sulpiride;3703;None;66;Human;Binding;Ki;=;120,00;6,92;-1;23;Binding affinity for human dopamine receptor D2 long;ChEMBL;341,1;6;2;5;0,56;CCN1CCC[C@@H]1CNC(=O)c1cc(S(N)(=O)=O)ccc1OC;https://dx.doi.org/10.1021/jm049612a
(+)-sulpiride;3703;None;66;Human;Binding;Ki;=;7,60;8,12;-1;23;Antagonist activity at dopamine D2 receptor (unknown origin);ChEMBL;341,1;6;2;5;0,56;CCN1CCC[C@@H]1CNC(=O)c1cc(S(N)(=O)=O)ccc1OC;https://dx.doi.org/10.1039/C1MD00074H
(+)-sulpiride;3703;None;66;Human;Binding;Ki;=;68,00;7,17;-1;23;DRUGMATRIX: Dopamine D2L radioligand binding (ligand: [3H] Spiperone);ChEMBL;341,1;6;2;5;0,56;CCN1CCC[C@@H]1CNC(=O)c1cc(S(N)(=O)=O)ccc1OC;-
(+)-sulpiride;3703;None;66;Human;Binding;Ki;=;120,00;6,92;-1;23;In vitro displacement of [3H]spiperone from the recombinant human dopamine receptor D2L stably expressed in CHO cells;ChEMBL;341,1;6;2;5;0,56;CCN1CCC[C@@H]1CNC(=O)c1cc(S(N)(=O)=O)ccc1OC;https://dx.doi.org/10.1016/s0960-894x(00)00405-4
(+)-sulpiride;3703;None;66;Human;Binding;Ki;=;51,00;7,29;-1;23;In vitro displacement of [3H]spiperone from the recombinant human dopamine receptor D2 short form expressed in CHO cells;ChEMBL;341,1;6;2;5;0,56;CCN1CCC[C@@H]1CNC(=O)c1cc(S(N)(=O)=O)ccc1OC;https://dx.doi.org/10.1016/s0960-894x(00)00405-4
(+)-sulpiride;3703;None;66;Human;Binding;Ki;=;120,00;6,92;-1;23;Binding affinity towards human Dopamine receptor D2 (long) by [3H]-spiperone displacement.;ChEMBL;341,1;6;2;5;0,56;CCN1CCC[C@@H]1CNC(=O)c1cc(S(N)(=O)=O)ccc1OC;https://dx.doi.org/10.1016/s0960-894x(99)00086-4
(+)-sulpiride;3703;None;66;Human;Binding;Ki;=;9,80;8,01;-1;23;Binding affinity to D2R (unknown origin) assessed as inhibition constant;ChEMBL;341,1;6;2;5;0,56;CCN1CCC[C@@H]1CNC(=O)c1cc(S(N)(=O)=O)ccc1OC;https://dx.doi.org/10.1016/j.bmcl.2021.128275
(+)-sulpiride;3703;None;66;Human;Binding;Ki;=;51,00;7,29;-1;23;Binding affinity towards human Dopamine receptor D2 (short) by [3H]-spiperone displacement.;ChEMBL;341,1;6;2;5;0,56;CCN1CCC[C@@H]1CNC(=O)c1cc(S(N)(=O)=O)ccc1OC;https://dx.doi.org/10.1016/s0960-894x(99)00086-4
(+)-sulpiride;3703;None;66;Human;Binding;Ki;=;43,00;7,37;-1;23;DRUGMATRIX: Dopamine D2L radioligand binding (ligand: [3H] Spiperone);ChEMBL;341,1;6;2;5;0,56;CCN1CCC[C@@H]1CNC(=O)c1cc(S(N)(=O)=O)ccc1OC;-
(+)-sulpiride;3703;None;66;Human;Binding;pKi;=;8,12;8,09;-1;23;Antagonist activity at dopamine D2 receptor (unknown origin);Drug Central;341,1;6;2;5;0,56;CCN1CCC[C@@H]1CNC(=O)c1cc(S(N)(=O)=O)ccc1OC;-
(+)-sulpiride;3703;None;66;Human;Binding;pKi;=;7,29;8,14;-1;23;In vitro displacement of [3H]spiperone from the recombinant human dopamine receptor D2 short form expressed in CHO cells;Drug Central;341,1;6;2;5;0,56;CCN1CCC[C@@H]1CNC(=O)c1cc(S(N)(=O)=O)ccc1OC;-
(+)-sulpiride;3703;None;66;Human;Binding;pKi;=;-;7,14;-1;23;Unclassified;Guide to Pharmacology;341,1;6;2;5;0,56;CCN1CCC[C@@H]1CNC(=O)c1cc(S(N)(=O)=O)ccc1OC;https://pubmed.ncbi.nlm.nih.gov/8301592
(+)-sulpiride;3703;None;66;Human;Binding;pKi;=;-;8,22;-1;23;Unclassified;Guide to Pharmacology;341,1;6;2;5;0,56;CCN1CCC[C@@H]1CNC(=O)c1cc(S(N)(=O)=O)ccc1OC;https://pubmed.ncbi.nlm.nih.gov/8301582
(+)-sulpiride;3703;None;66;Human;Binding;pKi;=;-;7,14;-1;23;Unclassified;Guide to Pharmacology;341,1;6;2;5;0,56;CCN1CCC[C@@H]1CNC(=O)c1cc(S(N)(=O)=O)ccc1OC;https://pubmed.ncbi.nlm.nih.gov/8301582
(+)-sulpiride;3703;None;66;Human;Binding;pKi;=;-;7,57;-1;23;Unclassified;Guide to Pharmacology;341,1;6;2;5;0,56;CCN1CCC[C@@H]1CNC(=O)c1cc(S(N)(=O)=O)ccc1OC;https://pubmed.ncbi.nlm.nih.gov/7576010
(+)-sulpiride;3703;None;66;Human;Binding;pKi;=;-;7,14;-1;23;Unclassified;Guide to Pharmacology;341,1;6;2;5;0,56;CCN1CCC[C@@H]1CNC(=O)c1cc(S(N)(=O)=O)ccc1OC;https://pubmed.ncbi.nlm.nih.gov/1354163
(+)-sulpiride;3703;3H-YM 09151-2;66;Human;Binding;pKi;=;4,20;8,38;-1;23;-;PDSP KiDatabase;341,1;6;2;5;0,56;CCN1CCC[C@@H]1CNC(=O)c1cc(S(N)(=O)=O)ccc1OC;-
(+)-sulpiride;3703;R-SAT;66;Human;Binding;pKi;=;11,00;7,96;-1;23;-;PDSP KiDatabase;341,1;6;2;5;0,56;CCN1CCC[C@@H]1CNC(=O)c1cc(S(N)(=O)=O)ccc1OC;-
(+)-sulpiride;3703;R-SAT;66;Human;Binding;pKi;=;8,60;8,07;-1;23;-;PDSP KiDatabase;341,1;6;2;5;0,56;CCN1CCC[C@@H]1CNC(=O)c1cc(S(N)(=O)=O)ccc1OC;-
(+)-sulpiride;3703;3H-domperidone;66;Human;Binding;pKi;=;206,00;6,69;-1;23;-;PDSP KiDatabase;341,1;6;2;5;0,56;CCN1CCC[C@@H]1CNC(=O)c1cc(S(N)(=O)=O)ccc1OC;-
(+)-UH232;3933;None;0;Human;Binding;pKi;None;-;6,75;-2;4;Unclassified;Guide to Pharmacology;273,2;6;0;2;4,32;CCCN(CCC)[C@@H]1C=Cc2c(OC)cccc2[C@@H]1C;https://pubmed.ncbi.nlm.nih.gov/1975644
(+)-UH232;3933;None;0;Human;Binding;pKi;None;-;6,75;-2;4;Unclassified;Guide to Pharmacology;273,2;6;0;2;4,32;CCCN(CCC)[C@@H]1C=Cc2c(OC)cccc2[C@@H]1C;https://pubmed.ncbi.nlm.nih.gov/8301582
(+/-)-NUCIFERINE;92011;None;17;Human;Binding;Ki;=;173,78;6,76;1;7;Displacement of [3H] raclopride from D2DR (unknown origin);ChEMBL;295,2;2;0;3;3,46;COc1cc2c3c(c1OC)-c1ccccc1CC3N(C)CC2;https://dx.doi.org/10.1016/j.ejmech.2020.112792
(-)-adrenaline;291;None;40;Human;Binding;Ki;=;910,00;6,04;-13;35;Displacement of [3H]spiperone from human D2S receptor expressed in CHO cells;ChEMBL;183,1;3;4;4;0,35;CNC[C@H](O)c1ccc(O)c(O)c1;https://dx.doi.org/10.1016/j.bmc.2016.04.028
(-)-adrenaline;291;None;40;Human;Binding;pKi;=;6,04;8,22;-13;35;Displacement of [3H]spiperone from human D2S receptor expressed in CHO cells;Drug Central;183,1;3;4;4;0,35;CNC[C@H](O)c1ccc(O)c(O)c1;-
(-)-N-porphynorapomorphine;2876;None;8;Human;Binding;EC50;=;1,18;8,93;-1;5;Agonist activity at C-terminal RLuc8-fused D2 long receptor (unknown origin) transfected in human HEK293T cells co-expressing N-terminal Venus-tagged beta-arrestin2 assessed as increase in beta-arrestin2 recruitment measured after 5 mins in presence of coelenterazine H by BRET assay;ChEMBL;295,2;2;2;3;3,63;CCCN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3;https://dx.doi.org/10.1021/acsmedchemlett.9b00575
(-)-N-porphynorapomorphine;2876;None;8;Human;Binding;EC50;=;1,18;8,93;-1;5;Agonist activity at C-terminal RLuc8-fused D2 long receptor (unknown origin) transfected in human HEK293T cells co-expressing N-terminal Venus-tagged beta-arrestin2 assessed as increase in beta-arrestin2 recruitment measured after 5 mins in presence of coelenterazine H by BRET assay;ChEMBL;295,2;2;2;3;3,63;CCCN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3;https://dx.doi.org/10.1021/acsmedchemlett.9b00575
(-)-N-porphynorapomorphine;2876;None;8;Human;Binding;Kd;=;20,00;7,70;-1;5;Equilibrium dissociation constant against recombinant Dopamine receptor D2A expressed in COS7 cells;ChEMBL;295,2;2;2;3;3,63;CCCN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3;https://dx.doi.org/10.1021/jm950447w
(-)-N-porphynorapomorphine;2876;None;8;Human;Binding;Ki;=;0,07;10,13;-1;5;Displacement of [3H]spiperone from high-affinity state of human dopamine D2L receptor transfected in HEK293 cells after 2 hrs by scintillation counting analysis;ChEMBL;295,2;2;2;3;3,63;CCCN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3;https://dx.doi.org/10.1021/jm401384w
(-)-N-porphynorapomorphine;2876;None;8;Human;Binding;Ki;=;0,38;9,42;-1;5;Displacement of [3H]-spiperone from high-affinity state of recombinant human dopamine D2L receptor expressed in CHO cells after 45 mins by scintillation counting analysis;ChEMBL;295,2;2;2;3;3,63;CCCN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3;https://dx.doi.org/10.1021/jm401384w
(-)-N-porphynorapomorphine;2876;None;8;Human;Binding;Ki;=;0,11;9,96;-1;5;Binding affinity to high-affinity state of D2L receptor (unknown origin) expressed in CHO cell membranes;ChEMBL;295,2;2;2;3;3,63;CCCN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3;https://dx.doi.org/10.1021/jm401384w
(-)-N-porphynorapomorphine;2876;None;8;Human;Binding;Ki;=;50,00;7,30;-1;5;Affinity towards Dopamine receptor D2;ChEMBL;295,2;2;2;3;3,63;CCCN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3;https://dx.doi.org/10.1021/jm9800292
(-)-N-porphynorapomorphine;2876;None;8;Human;Binding;Ki;=;1,73;8,76;-1;5;Displacement of [3H]spiperone from low-affinity state of human dopamine D2L receptor transfected in HEK293 cells after 2 hrs by scintillation counting analysis;ChEMBL;295,2;2;2;3;3,63;CCCN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3;https://dx.doi.org/10.1021/jm401384w
(-)-N-porphynorapomorphine;2876;None;8;Human;Binding;Ki;=;0,07;10,12;-1;5;Displacement of [3H]spiperone from high-affinity state of human dopamine D2L receptor transfected in HEK293 cells after 2 hrs by scintillation counting analysis;ChEMBL;295,2;2;2;3;3,63;CCCN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3;https://dx.doi.org/10.1021/jm401384w
(-)-N-porphynorapomorphine;2876;None;8;Human;Binding;Ki;=;10,60;7,97;-1;5;Displacement of [3H]spiperone from low-affinity state of human dopamine D2S receptor transfected in HEK293 cells after 2 hrs by scintillation counting analysis;ChEMBL;295,2;2;2;3;3,63;CCCN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3;https://dx.doi.org/10.1021/jm401384w
(-)-N-porphynorapomorphine;2876;None;8;Human;Binding;Ki;=;4,90;8,31;-1;5;Displacement of [3H]spiperone from low-affinity state of human dopamine D2S receptor transfected in HEK293 cells after 2 hrs by scintillation counting analysis;ChEMBL;295,2;2;2;3;3,63;CCCN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3;https://dx.doi.org/10.1021/jm401384w
(-)-N-porphynorapomorphine;2876;None;8;Human;Binding;Ki;=;1,62;8,79;-1;5;Displacement of [3H]spiperone from low-affinity state of human dopamine D2L receptor transfected in HEK293 cells after 2 hrs by scintillation counting analysis;ChEMBL;295,2;2;2;3;3,63;CCCN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3;https://dx.doi.org/10.1021/jm401384w
(-)-N-porphynorapomorphine;2876;None;8;Human;Binding;pKi;None;-;8,20;-1;5;Unclassified;Guide to Pharmacology;295,2;2;2;3;3,63;CCCN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3;https://pubmed.ncbi.nlm.nih.gov/8301582
(-)-N-porphynorapomorphine;2876;None;8;Human;Binding;pKi;None;-;8,20;-1;5;Unclassified;Guide to Pharmacology;295,2;2;2;3;3,63;CCCN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3;https://pubmed.ncbi.nlm.nih.gov/7756621
(-)-N-porphynorapomorphine;2876;125I-IODOSULPRIDE;8;Human;Binding;pKi;=;0,12;9,92;-1;5;-;PDSP KiDatabase;295,2;2;2;3;3,63;CCCN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3;-
(-)-noradrenaline;2857;None;46;Human;Binding;Ki;=;1300,00;5,89;-17;32;Displacement of [3H]spiperone from human D2S receptor expressed in CHO cells;ChEMBL;169,1;2;4;4;0,09;NC[C@H](O)c1ccc(O)c(O)c1;https://dx.doi.org/10.1016/j.bmc.2016.04.028
(-)-noradrenaline;2857;None;46;Human;Binding;pKi;=;5,89;8,23;-17;32;Displacement of [3H]spiperone from human D2S receptor expressed in CHO cells;Drug Central;169,1;2;4;4;0,09;NC[C@H](O)c1ccc(O)c(O)c1;-
(-)-stepholidine;3691;None;40;Human;Binding;IC50;=;105,41;6,98;-21;35;Displacement of [3H]Spiprone from human dopamine D2 receptor expressed in HEK293 cells;ChEMBL;327,1;2;2;5;2,77;COc1cc2c(cc1O)[C@@H]1Cc3ccc(O)c(OC)c3CN1CC2;https://dx.doi.org/10.1016/j.bmc.2012.05.057
(-)-stepholidine;3691;None;40;Human;Binding;Ki;=;56,17;7,25;-21;35;Displacement of [3H]Spiprone from human dopamine D2 receptor expressed in HEK293 cells;ChEMBL;327,1;2;2;5;2,77;COc1cc2c(cc1O)[C@@H]1Cc3ccc(O)c(OC)c3CN1CC2;https://dx.doi.org/10.1016/j.bmc.2012.05.057
(-)-stepholidine;3691;None;40;Human;Binding;Ki;=;974,00;6,01;-21;35;Displacement of [3H]N-methylspiperone from human dopamine D2 receptor assessed as inhibition constant;ChEMBL;327,1;2;2;5;2,77;COc1cc2c(cc1O)[C@@H]1Cc3ccc(O)c(OC)c3CN1CC2;https://dx.doi.org/10.1021/acs.jmedchem.3c00976
(-)-stepholidine;3691;None;40;Human;Binding;Ki;=;105,41;6,98;-21;35;Displacement of [3H]Spiperone from D2 receptor (unknown origin) transfected in HEK293T cells after 50 mins by liquid scintillation counting analysis;ChEMBL;327,1;2;2;5;2,77;COc1cc2c(cc1O)[C@@H]1Cc3ccc(O)c(OC)c3CN1CC2;https://dx.doi.org/10.1016/j.bmc.2014.09.024
(-)-stepholidine;3691;None;40;Human;Binding;Ki;=;974,00;6,01;-21;35;Displacement of [3H]spiperone from human dopamine D2L receptor expressed in CHO cells by scintillation counting;ChEMBL;327,1;2;2;5;2,77;COc1cc2c(cc1O)[C@@H]1Cc3ccc(O)c(OC)c3CN1CC2;https://dx.doi.org/10.1016/j.bmc.2009.08.028
(-)-stepholidine;3691;None;40;Human;Binding;Ki;=;11,00;7,96;-21;35;Displacement of [3H]spiperone from dopamine D2 receptor (unknown origin) expressed in human HEK293 cells by liquid scintillation counter;ChEMBL;327,1;2;2;5;2,77;COc1cc2c(cc1O)[C@@H]1Cc3ccc(O)c(OC)c3CN1CC2;https://dx.doi.org/10.1016/j.bmc.2012.12.016
(-)-stepholidine;3691;None;40;Human;Binding;pKi;=;-;7,94;-21;35;Unclassified;Guide to Pharmacology;327,1;2;2;5;2,77;COc1cc2c(cc1O)[C@@H]1Cc3ccc(O)c(OC)c3CN1CC2;https://pubmed.ncbi.nlm.nih.gov/25231919
(-)-stepholidine;3691;3H-NMSP;40;Human;Binding;pKi;=;974,30;6,01;-21;35;-;PDSP KiDatabase;327,1;2;2;5;2,77;COc1cc2c(cc1O)[C@@H]1Cc3ccc(O)c(OC)c3CN1CC2;-
