Common name,GPCRdb ID,Reference ligand,Vendors,Species,Assay Type,Activity Type,Activity Relation,Activity Value,p-value (-log),Fold selectivity,Tested GPCRs,Assay Description,Source,Mol weight,Rot Bonds,H don,H acc,LogP,Smiles,DOI,cell_line,expression_system,detection_tech,group_m1,DOI_clean,group_m2,group_m1_size
(-)-adrenaline,291,,40,Human,Binding,Ki,=,"910,00",6.04,-13,35,Displacement of [3H]spiperone from human D2S receptor expressed in CHO cells,ChEMBL,"183,1",3,4,4,"0,35",CNC[C@H](O)c1ccc(O)c(O)c1,https://dx.doi.org/10.1016/j.bmc.2016.04.028,cho,expressed,radioligand_binding,human|binding|radioligand_binding|cho|expressed,https://dx.doi.org/10.1016/j.bmc.2016.04.028,human|binding|chembl|https://dx.doi.org/10.1016/j.bmc.2016.04.028,1873
(-)-adrenaline,291,,40,Human,Binding,pKi,=,"6,04",8.22,-13,35,Displacement of [3H]spiperone from human D2S receptor expressed in CHO cells,Drug Central,"183,1",3,4,4,"0,35",CNC[C@H](O)c1ccc(O)c(O)c1,-,cho,expressed,radioligand_binding,human|binding|radioligand_binding|cho|expressed,-,human|binding|drug_central|-,1873
(-)-N-porphynorapomorphine,2876,,8,Human,Binding,Ki,=,"0,07",10.13,-1,5,Displacement of [3H]spiperone from high-affinity state of human dopamine D2L receptor transfected in HEK293 cells after 2 hrs by scintillation counting analysis,ChEMBL,"295,2",2,2,3,"3,63",CCCN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3,https://dx.doi.org/10.1021/jm401384w,hek293,unknown,radioligand_binding,human|binding|radioligand_binding|hek293|unknown,https://dx.doi.org/10.1021/jm401384w,human|binding|chembl|https://dx.doi.org/10.1021/jm401384w,123
(-)-N-porphynorapomorphine,2876,,8,Human,Binding,Ki,=,"0,38",9.42,-1,5,Displacement of [3H]-spiperone from high-affinity state of recombinant human dopamine D2L receptor expressed in CHO cells after 45 mins by scintillation counting analysis,ChEMBL,"295,2",2,2,3,"3,63",CCCN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3,https://dx.doi.org/10.1021/jm401384w,cho,recombinant,radioligand_binding,human|binding|radioligand_binding|cho|recombinant,https://dx.doi.org/10.1021/jm401384w,human|binding|chembl|https://dx.doi.org/10.1021/jm401384w,790
(-)-N-porphynorapomorphine,2876,,8,Human,Binding,Ki,=,"0,11",9.96,-1,5,Binding affinity to high-affinity state of D2L receptor (unknown origin) expressed in CHO cell membranes,ChEMBL,"295,2",2,2,3,"3,63",CCCN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3,https://dx.doi.org/10.1021/jm401384w,cho,expressed,binding_unspecified,human|binding|binding_unspecified|cho|expressed,https://dx.doi.org/10.1021/jm401384w,human|binding|chembl|https://dx.doi.org/10.1021/jm401384w,117
(-)-N-porphynorapomorphine,2876,,8,Human,Binding,Ki,=,"1,73",8.76,-1,5,Displacement of [3H]spiperone from low-affinity state of human dopamine D2L receptor transfected in HEK293 cells after 2 hrs by scintillation counting analysis,ChEMBL,"295,2",2,2,3,"3,63",CCCN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3,https://dx.doi.org/10.1021/jm401384w,hek293,unknown,radioligand_binding,human|binding|radioligand_binding|hek293|unknown,https://dx.doi.org/10.1021/jm401384w,human|binding|chembl|https://dx.doi.org/10.1021/jm401384w,123
(-)-N-porphynorapomorphine,2876,,8,Human,Binding,Ki,=,"0,07",10.12,-1,5,Displacement of [3H]spiperone from high-affinity state of human dopamine D2L receptor transfected in HEK293 cells after 2 hrs by scintillation counting analysis,ChEMBL,"295,2",2,2,3,"3,63",CCCN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3,https://dx.doi.org/10.1021/jm401384w,hek293,unknown,radioligand_binding,human|binding|radioligand_binding|hek293|unknown,https://dx.doi.org/10.1021/jm401384w,human|binding|chembl|https://dx.doi.org/10.1021/jm401384w,123
(-)-N-porphynorapomorphine,2876,,8,Human,Binding,Ki,=,"10,60",7.97,-1,5,Displacement of [3H]spiperone from low-affinity state of human dopamine D2S receptor transfected in HEK293 cells after 2 hrs by scintillation counting analysis,ChEMBL,"295,2",2,2,3,"3,63",CCCN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3,https://dx.doi.org/10.1021/jm401384w,hek293,unknown,radioligand_binding,human|binding|radioligand_binding|hek293|unknown,https://dx.doi.org/10.1021/jm401384w,human|binding|chembl|https://dx.doi.org/10.1021/jm401384w,123
(-)-N-porphynorapomorphine,2876,,8,Human,Binding,Ki,=,"4,90",8.31,-1,5,Displacement of [3H]spiperone from low-affinity state of human dopamine D2S receptor transfected in HEK293 cells after 2 hrs by scintillation counting analysis,ChEMBL,"295,2",2,2,3,"3,63",CCCN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3,https://dx.doi.org/10.1021/jm401384w,hek293,unknown,radioligand_binding,human|binding|radioligand_binding|hek293|unknown,https://dx.doi.org/10.1021/jm401384w,human|binding|chembl|https://dx.doi.org/10.1021/jm401384w,123
(-)-N-porphynorapomorphine,2876,,8,Human,Binding,Ki,=,"1,62",8.79,-1,5,Displacement of [3H]spiperone from low-affinity state of human dopamine D2L receptor transfected in HEK293 cells after 2 hrs by scintillation counting analysis,ChEMBL,"295,2",2,2,3,"3,63",CCCN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3,https://dx.doi.org/10.1021/jm401384w,hek293,unknown,radioligand_binding,human|binding|radioligand_binding|hek293|unknown,https://dx.doi.org/10.1021/jm401384w,human|binding|chembl|https://dx.doi.org/10.1021/jm401384w,123
(-)-noradrenaline,2857,,46,Human,Binding,Ki,=,"1300,00",5.89,-17,32,Displacement of [3H]spiperone from human D2S receptor expressed in CHO cells,ChEMBL,"169,1",2,4,4,"0,09",NC[C@H](O)c1ccc(O)c(O)c1,https://dx.doi.org/10.1016/j.bmc.2016.04.028,cho,expressed,radioligand_binding,human|binding|radioligand_binding|cho|expressed,https://dx.doi.org/10.1016/j.bmc.2016.04.028,human|binding|chembl|https://dx.doi.org/10.1016/j.bmc.2016.04.028,1873
(-)-noradrenaline,2857,,46,Human,Binding,pKi,=,"5,89",8.23,-17,32,Displacement of [3H]spiperone from human D2S receptor expressed in CHO cells,Drug Central,"169,1",2,4,4,"0,09",NC[C@H](O)c1ccc(O)c(O)c1,-,cho,expressed,radioligand_binding,human|binding|radioligand_binding|cho|expressed,-,human|binding|drug_central|-,1873
(-)-stepholidine,3691,,40,Human,Binding,IC50,=,"105,41",6.98,-21,35,Displacement of [3H]Spiprone from human dopamine D2 receptor expressed in HEK293 cells,ChEMBL,"327,1",2,2,5,"2,77",COc1cc2c(cc1O)[C@@H]1Cc3ccc(O)c(OC)c3CN1CC2,https://dx.doi.org/10.1016/j.bmc.2012.05.057,hek293,expressed,radioligand_binding,human|binding|radioligand_binding|hek293|expressed,https://dx.doi.org/10.1016/j.bmc.2012.05.057,human|binding|chembl|https://dx.doi.org/10.1016/j.bmc.2012.05.057,1290
(-)-stepholidine,3691,,40,Human,Binding,Ki,=,"56,17",7.25,-21,35,Displacement of [3H]Spiprone from human dopamine D2 receptor expressed in HEK293 cells,ChEMBL,"327,1",2,2,5,"2,77",COc1cc2c(cc1O)[C@@H]1Cc3ccc(O)c(OC)c3CN1CC2,https://dx.doi.org/10.1016/j.bmc.2012.05.057,hek293,expressed,radioligand_binding,human|binding|radioligand_binding|hek293|expressed,https://dx.doi.org/10.1016/j.bmc.2012.05.057,human|binding|chembl|https://dx.doi.org/10.1016/j.bmc.2012.05.057,1290
(-)-stepholidine,3691,,40,Human,Binding,Ki,=,"974,00",6.01,-21,35,Displacement of [3H]spiperone from human dopamine D2L receptor expressed in CHO cells by scintillation counting,ChEMBL,"327,1",2,2,5,"2,77",COc1cc2c(cc1O)[C@@H]1Cc3ccc(O)c(OC)c3CN1CC2,https://dx.doi.org/10.1016/j.bmc.2009.08.028,cho,expressed,radioligand_binding,human|binding|radioligand_binding|cho|expressed,https://dx.doi.org/10.1016/j.bmc.2009.08.028,human|binding|chembl|https://dx.doi.org/10.1016/j.bmc.2009.08.028,1873
(-)-stepholidine,3691,,40,Human,Binding,Ki,=,"11,00",7.96,-21,35,Displacement of [3H]spiperone from dopamine D2 receptor (unknown origin) expressed in human HEK293 cells by liquid scintillation counter,ChEMBL,"327,1",2,2,5,"2,77",COc1cc2c(cc1O)[C@@H]1Cc3ccc(O)c(OC)c3CN1CC2,https://dx.doi.org/10.1016/j.bmc.2012.12.016,hek293,expressed,radioligand_binding,human|binding|radioligand_binding|hek293|expressed,https://dx.doi.org/10.1016/j.bmc.2012.12.016,human|binding|chembl|https://dx.doi.org/10.1016/j.bmc.2012.12.016,1290
(R)-Carvedilol,139775,,38,Human,Binding,Ki,=,"26,00",7.58,-30,5,Displacement of [3H]spiperone from human D2S receptor expressed in CHO cells,ChEMBL,"406,2",10,3,5,"3,74",COc1ccccc1OCCNC[C@@H](O)COc1cccc2[nH]c3ccccc3c12,https://dx.doi.org/10.1016/j.bmc.2016.04.028,cho,expressed,radioligand_binding,human|binding|radioligand_binding|cho|expressed,https://dx.doi.org/10.1016/j.bmc.2016.04.028,human|binding|chembl|https://dx.doi.org/10.1016/j.bmc.2016.04.028,1873
2-MPP,83,,65,Human,Binding,Ki,=,"4110,00",5.39,-1380,11,Displacement of [3H]spiperone from human D2L receptor expressed in FlpIn CHO cell membrane after 3 hrs by liquid scintillation counting analysis,ChEMBL,"192,1",2,1,3,"1,10",COc1ccccc1N1CCNCC1,https://dx.doi.org/10.1021/jm500457x,cho,expressed,radioligand_binding,human|binding|radioligand_binding|cho|expressed,https://dx.doi.org/10.1021/jm500457x,human|binding|chembl|https://dx.doi.org/10.1021/jm500457x,1873
2-MPP,83,,65,Human,Binding,Ki,=,"679,60",6.17,-1380,11,Displacement of [125I]IABN from human D2L receptor expressed in HEK293 cells after 60 mins by gamma counting analysis,ChEMBL,"192,1",2,1,3,"1,10",COc1ccccc1N1CCNCC1,https://dx.doi.org/10.1021/jm300482h,hek293,expressed,radioligand_binding,human|binding|radioligand_binding|hek293|expressed,https://dx.doi.org/10.1021/jm300482h,human|binding|chembl|https://dx.doi.org/10.1021/jm300482h,1290
2-MPP,83,,65,Human,Binding,Ki,=,"4073,80",5.39,-1380,11,Displacement of [3H]spiperone from human D2L receptor expressed in FlpIn CHO cell membrane after 3 hrs by liquid scintillation counting analysis,ChEMBL,"192,1",2,1,3,"1,10",COc1ccccc1N1CCNCC1,https://dx.doi.org/10.1021/jm500457x,cho,expressed,radioligand_binding,human|binding|radioligand_binding|cho|expressed,https://dx.doi.org/10.1021/jm500457x,human|binding|chembl|https://dx.doi.org/10.1021/jm500457x,1873
5-OH-DPAT,149,,8,Human,Binding,Ki,=,"6,00",8.22,-13,8,In vitro binding affinity is the ability to displace [3H]N-0437 from human Dopamine receptor D2 expressed in CHO-K1 cells,ChEMBL,"247,2",5,1,2,"3,37",CCCN(CCC)C1CCc2c(O)cccc2C1,https://dx.doi.org/10.1021/jm00016a016,cho-k1,expressed,radioligand_binding,human|binding|radioligand_binding|cho-k1|expressed,https://dx.doi.org/10.1021/jm00016a016,human|binding|chembl|https://dx.doi.org/10.1021/jm00016a016,353
5-OH-DPAT,149,,8,Human,Binding,Ki,=,"26,00",7.58,-13,8,In vitro binding affinity is the ability to displace [3H]spiperone from human Dopamine receptor D2 expressed in CHO-K1 cells,ChEMBL,"247,2",5,1,2,"3,37",CCCN(CCC)C1CCc2c(O)cccc2C1,https://dx.doi.org/10.1021/jm00016a016,cho-k1,expressed,radioligand_binding,human|binding|radioligand_binding|cho-k1|expressed,https://dx.doi.org/10.1021/jm00016a016,human|binding|chembl|https://dx.doi.org/10.1021/jm00016a016,353
5-OH-DPAT,149,,8,Human,Binding,Ki,=,"58,80",7.23,-13,8,Displacement of [3H]spiperone from human dopamine D2L receptor expressed in HEK293 cells,ChEMBL,"247,2",5,1,2,"3,37",CCCN(CCC)C1CCc2c(O)cccc2C1,https://dx.doi.org/10.1021/jm901184n,hek293,expressed,radioligand_binding,human|binding|radioligand_binding|hek293|expressed,https://dx.doi.org/10.1021/jm901184n,human|binding|chembl|https://dx.doi.org/10.1021/jm901184n,1290
7-OH-DPAT,184,,17,Human,Binding,Ki,=,"143,00",6.84,-54,9,Displacement of [3H]N-methylspiperone from human D2 receptor transfected in HEK293 cells measured after 60 mins by liquid scintillation counter,ChEMBL,"247,2",5,1,2,"3,37",CCCN(CCC)C1CCc2ccc(O)cc2C1,https://dx.doi.org/10.1021/acs.jmedchem.5b01612,hek293,unknown,radioligand_binding,human|binding|radioligand_binding|hek293|unknown,https://dx.doi.org/10.1021/acs.jmedchem.5b01612,human|binding|chembl|https://dx.doi.org/10.1021/acs.jmedchem.5b01612,123
7-OH-DPAT,184,,17,Human,Binding,Ki,=,"2,27",8.64,-54,9,Displacement of [3H]7-OH-DPAT from human D2 receptor transfected in HEK293 cells measured after 60 mins by liquid scintillation counter,ChEMBL,"247,2",5,1,2,"3,37",CCCN(CCC)C1CCc2ccc(O)cc2C1,https://dx.doi.org/10.1021/acs.jmedchem.5b01612,hek293,unknown,radioligand_binding,human|binding|radioligand_binding|hek293|unknown,https://dx.doi.org/10.1021/acs.jmedchem.5b01612,human|binding|chembl|https://dx.doi.org/10.1021/acs.jmedchem.5b01612,123
7-OH-DPAT,184,,17,Human,Binding,Ki,=,"1430,00",5.84,-54,9,Displacement of [3H]-N-methylspiperone from human dopamine D2long receptor expressed in HEK293 cells after 30 mins by scintillation counting,ChEMBL,"247,2",5,1,2,"3,37",CCCN(CCC)C1CCc2ccc(O)cc2C1,https://dx.doi.org/10.1016/j.bmc.2012.08.058,hek293,expressed,radioligand_binding,human|binding|radioligand_binding|hek293|expressed,https://dx.doi.org/10.1016/j.bmc.2012.08.058,human|binding|chembl|https://dx.doi.org/10.1016/j.bmc.2012.08.058,1290
8-OH-DPAT,187,,44,Human,Binding,Ki,=,"86,00",7.07,-758,46,"Binding affinity against [3H]U-86,170-labeled dopamine receptor D2 in cloned CHO cells",ChEMBL,"247,2",5,1,2,"3,37",CCCN(CCC)C1CCc2cccc(O)c2C1,https://dx.doi.org/10.1021/jm00060a014,cho,recombinant,radioligand_binding,human|binding|radioligand_binding|cho|recombinant,https://dx.doi.org/10.1021/jm00060a014,human|binding|chembl|https://dx.doi.org/10.1021/jm00060a014,790
8-OH-DPAT,187,,44,Human,Binding,Ki,=,"86,00",7.07,-758,46,"Binding affinity against [3H]U-86,170-labeled dopamine receptor D2 in cloned CHO cells",ChEMBL,"247,2",5,1,2,"3,37",CCCN(CCC)C1CCc2cccc(O)c2C1,https://dx.doi.org/10.1021/jm00060a015,cho,recombinant,radioligand_binding,human|binding|radioligand_binding|cho|recombinant,https://dx.doi.org/10.1021/jm00060a015,human|binding|chembl|https://dx.doi.org/10.1021/jm00060a015,790
A412997,201,,23,Human,Binding,Ki,=,"2900,00",5.54,-208,4,Displacement of [125I]7-OH-PIPAT from human D2L receptor expressed in HEK293 cell membrane,ChEMBL,"309,2",4,1,3,"3,21",Cc1cccc(NC(=O)CN2CCC(c3ccccn3)CC2)c1,https://dx.doi.org/10.1021/jm060662k,hek293,expressed,radioligand_binding,human|binding|radioligand_binding|hek293|expressed,https://dx.doi.org/10.1021/jm060662k,human|binding|chembl|https://dx.doi.org/10.1021/jm060662k,1290
ADOPRAZINE,84379,,31,Human,Binding,Ki,=,"3,98",8.4,-5,9,Displacement of [3H]spiperone from human dopamine D2 receptor short form expressed in CHO cells,ChEMBL,"405,2",4,0,5,"3,98",Fc1ccc(-c2cncc(CN3CCN(c4cccc5c4OCCO5)CC3)c2)cc1,https://dx.doi.org/10.1021/jm070516u,cho,expressed,radioligand_binding,human|binding|radioligand_binding|cho|expressed,https://dx.doi.org/10.1021/jm070516u,human|binding|chembl|https://dx.doi.org/10.1021/jm070516u,1873
ADOPRAZINE,84379,,31,Human,Binding,Ki,=,"3,98",8.4,-5,9,Displacement of [3H]spiperone from recombinant human D2S receptor expressed in CHO cell membrane measured after 60 mins by scintillation counting method,ChEMBL,"405,2",4,0,5,"3,98",Fc1ccc(-c2cncc(CN3CCN(c4cccc5c4OCCO5)CC3)c2)cc1,https://dx.doi.org/10.1016/j.ejmech.2020.112214,cho,recombinant,radioligand_binding,human|binding|radioligand_binding|cho|recombinant,https://dx.doi.org/10.1016/j.ejmech.2020.112214,human|binding|chembl|https://dx.doi.org/10.1016/j.ejmech.2020.112214,790
amisulpride,400,,72,Human,Binding,Ki,=,"12,59",7.9,-2,53,Displacement of [3H]spiperone from human dopamine D2 receptor short form expressed in CHO cells,ChEMBL,"369,2",7,2,6,"1,28",CCN1CCCC1CNC(=O)c1cc(S(=O)(=O)CC)c(N)cc1OC,https://dx.doi.org/10.1021/jm070516u,cho,expressed,radioligand_binding,human|binding|radioligand_binding|cho|expressed,https://dx.doi.org/10.1021/jm070516u,human|binding|chembl|https://dx.doi.org/10.1021/jm070516u,1873
amitriptyline,401,,38,Human,Binding,Ki,=,"196,00",6.71,-323,51,Displacement of [3H]spiperone from human dopamine D2 receptor expressed in CHO cells,ChEMBL,"277,2",3,0,1,"4,17",CN(C)CCC=C1c2ccccc2CCc2ccccc21,https://dx.doi.org/10.1016/j.bmcl.2008.09.012,cho,expressed,radioligand_binding,human|binding|radioligand_binding|cho|expressed,https://dx.doi.org/10.1016/j.bmcl.2008.09.012,human|binding|chembl|https://dx.doi.org/10.1016/j.bmcl.2008.09.012,1873
apomorphine,445,,20,Human,Binding,Ki,=,"98,00",7.01,-4,29,Displacement of [3H]spiperone from human dopamine D2 receptor expressed in HEK293 cells,ChEMBL,"267,1",0,2,3,"2,85",CN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3,https://dx.doi.org/10.1016/j.bmc.2008.05.077,hek293,expressed,radioligand_binding,human|binding|radioligand_binding|hek293|expressed,https://dx.doi.org/10.1016/j.bmc.2008.05.077,human|binding|chembl|https://dx.doi.org/10.1016/j.bmc.2008.05.077,1290
apomorphine,445,,20,Human,Binding,Ki,=,"53,00",7.28,-4,29,Displacement of [3H]raclopride from human dopamine D2L receptor expressed in HEK293 cells by scintillation counting analysis,ChEMBL,"267,1",0,2,3,"2,85",CN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3,https://dx.doi.org/10.1016/j.bmc.2013.05.014,hek293,expressed,radioligand_binding,human|binding|radioligand_binding|hek293|expressed,https://dx.doi.org/10.1016/j.bmc.2013.05.014,human|binding|chembl|https://dx.doi.org/10.1016/j.bmc.2013.05.014,1290
apomorphine,445,,20,Human,Binding,Ki,=,"82,00",7.09,-4,29,Displacement of [125I]iodosulpride from human D2 receptor expressed in CHO cells incubated for 40 mins by radio ligand binding assay,ChEMBL,"267,1",0,2,3,"2,85",CN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3,https://dx.doi.org/10.1016/j.bmcl.2020.127053,cho,expressed,radioligand_binding,human|binding|radioligand_binding|cho|expressed,https://dx.doi.org/10.1016/j.bmcl.2020.127053,human|binding|chembl|https://dx.doi.org/10.1016/j.bmcl.2020.127053,1873
apomorphine,445,,20,Human,Binding,Ki,=,"26,00",7.58,-4,29,"Compound was evaluated for the binding affinity against [3H]U-86,170-labeled D2 sites in cloned CHO cells",ChEMBL,"267,1",0,2,3,"2,85",CN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3,https://dx.doi.org/10.1021/jm00060a014,cho,recombinant,radioligand_binding,human|binding|radioligand_binding|cho|recombinant,https://dx.doi.org/10.1021/jm00060a014,human|binding|chembl|https://dx.doi.org/10.1021/jm00060a014,790
apomorphine,445,,20,Human,Binding,Ki,=,"244,00",6.61,-4,29,Displacement of [3H]spiperone from human dopamine D2 receptor at low affinity state expressed in HEK293 cells,ChEMBL,"267,1",0,2,3,"2,85",CN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3,https://dx.doi.org/10.1021/jm901689v,hek293,expressed,radioligand_binding,human|binding|radioligand_binding|hek293|expressed,https://dx.doi.org/10.1021/jm901689v,human|binding|chembl|https://dx.doi.org/10.1021/jm901689v,1290
apomorphine,445,,20,Human,Binding,Ki,=,"32,00",7.5,-4,29,Displacement of [3H]raclopride from human cloned dopamine D2 receptor expressed in CHO cell membrane,ChEMBL,"267,1",0,2,3,"2,85",CN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3,https://dx.doi.org/10.1016/j.bmc.2008.02.038,cho,recombinant,radioligand_binding,human|binding|radioligand_binding|cho|recombinant,https://dx.doi.org/10.1016/j.bmc.2008.02.038,human|binding|chembl|https://dx.doi.org/10.1016/j.bmc.2008.02.038,790
apomorphine,445,,20,Human,Binding,Ki,=,"0,62",9.21,-4,29,Displacement of [3H]spiperone from human dopamine D2 receptor at high affinity state expressed in HEK293 cells,ChEMBL,"267,1",0,2,3,"2,85",CN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3,https://dx.doi.org/10.1021/jm901689v,hek293,expressed,radioligand_binding,human|binding|radioligand_binding|hek293|expressed,https://dx.doi.org/10.1021/jm901689v,human|binding|chembl|https://dx.doi.org/10.1021/jm901689v,1290
apomorphine,445,,20,Human,Binding,Ki,=,"42,00",7.38,-4,29,Displacement of [3H]-raclopride from recombinant human D2 receptor expressed in HEK293 cells measured after 1 hr by microbeta scintillation counting analysis,ChEMBL,"267,1",0,2,3,"2,85",CN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3,https://dx.doi.org/10.1016/j.ejmech.2019.01.031,hek293,recombinant,radioligand_binding,human|binding|radioligand_binding|hek293|recombinant,https://dx.doi.org/10.1016/j.ejmech.2019.01.031,human|binding|chembl|https://dx.doi.org/10.1016/j.ejmech.2019.01.031,356
