Common name,Smiles,Activity Type,p-value (-log)
CHEMBL422959,O=Cc1ccn(C2CCN(Cc3ccccc3)CC2)c1,Ki,4.19
CHEMBL4089290,COc1ccccc1N1CCC2(CN(CCCSc3nnc(-c4ccccc4)n3C)C2)C1,Ki,4.22
CHEMBL160932,Cc1nn2c(C#N)cccc2c1CN1CCN(c2ccc(Cl)cc2)CC1,Ki,4.23
CHEMBL335971,CCCN[C@@H]1CCc2ccc(OC)cc2C1,Ki,4.23
CHEMBL392888,CN(/C=N/c1ccc2c(c1)C(O)CC2)Cc1ccccc1,Ki,4.23
CHEMBL303538,N#CC(C#N)=Cc1ccc(CN2CCN(c3ccc(Cl)cc3)CC2)[nH]1,Ki,4.23
CHEMBL160932,Cc1nn2c(C#N)cccc2c1CN1CCN(c2ccc(Cl)cc2)CC1,Ki,4.24
CHEMBL4076086,Cn1c(SCCCN2CCC3(CC2)CCN(c2cccc(C#N)c2)CC3)nnc1-c1ccccc1,Ki,4.24
CHEMBL554692,Cc1cc2nc(C)c(CN3CCN(c4ccc(Cl)cc4)CC3)n2c(C)n1,Ki,4.24
CHEMBL197159,CCCN(CCC)[C@@H]1CCn2nccc2C1,Ki,4.24
CHEMBL160396,OCc1cccn2ncc(CN3CCN(c4ccc(Cl)cc4)CC3)c12,Ki,4.25
CHEMBL425064,Fc1ccc(N2CCN(Cc3cn4cccnc4n3)CC2)cc1,Ki,4.26
CHEMBL197159,CCCN(CCC)[C@@H]1CCn2nccc2C1,Ki,4.26
CHEMBL4076796,N#Cc1ccc2c(c1)CCNC2,Ki,4.27
CHEMBL240021,COc1cc2c(cc1OC)CN(/C=N/c1ccc3c(c1)N(C(=O)OC(C)(C)C)CC3)CC2,Ki,4.27
L745870,Clc1ccc(N2CCN(Cc3c[nH]c4ncccc34)CC2)cc1,Ki,4.27
CHEMBL1259241,Cc1ccc(CNCC2(F)CCN(C(=O)c3csc4ccccc34)CC2)nc1,Ki,4.27
CHEMBL197159,CCCN(CCC)[C@@H]1CCn2nccc2C1,Ki,4.28
CHEMBL328925,OCc1cnn2cccc(CN3CCN(c4ccc(Cl)cc4)CC3)c12,Ki,4.28
CHEMBL561262,COc1ccccc1N1CCN(Cc2c(C)nc3cc(C)ncn23)CC1,Ki,4.28
CHEMBL2443003,COc1ccccc1N1CCN(Cc2cn([C@@H]3O[C@H](CF)[C@@H](O)[C@H](O)[C@H]3O)nn2)CC1,Ki,4.29
ABT-724,c1ccc(N2CCN(Cc3nc4ccccc4[nH]3)CC2)nc1,Ki,4.29
CHEMBL5403610,Cc1ccc2nc(CCCN3CCN(c4ccccn4)CC3)sc2c1,Ki,4.3
CHEMBL4441655,CN1CCN(c2nc(N)nc(CS(=O)(=O)c3ccccc3Cl)n2)CC1,Ki,4.3
CHEMBL272853,FCCOc1ccc(N2CCN(Cc3cc4ccccn4n3)CC2)cc1,Ki,4.3
CHEMBL422959,O=Cc1ccn(C2CCN(Cc3ccccc3)CC2)c1,Ki,4.31
CHEMBL425064,Fc1ccc(N2CCN(Cc3cn4cccnc4n3)CC2)cc1,Ki,4.31
CHEMBL303538,N#CC(C#N)=Cc1ccc(CN2CCN(c3ccc(Cl)cc3)CC2)[nH]1,Ki,4.31
isoprenaline,CC(C)NCC(O)c1ccc(O)c(O)c1,Ki,4.32
L745870,Clc1ccc(N2CCN(Cc3c[nH]c4ncccc34)CC2)cc1,Ki,4.33
FAUC213,Clc1ccc(N2CCN(Cc3cc4ccccn4n3)CC2)cc1,Ki,4.33
CHEMBL62601,COc1c(-c2nc(CNC[C@@H]3CCN(Cc4ccccc4)C3)co2)cc(Br)c2ccccc12,Ki,4.34
BEFIRADOL,Cc1ccc(CNCC2(F)CCN(C(=O)c3ccc(F)c(Cl)c3)CC2)nc1,Ki,4.34
CHEMBL91362,CCOC(=O)c1cnn2cccc(CN3CCN(c4ccc(Cl)cc4)CC3)c12,Ki,4.35
CHEMBL1923416,Fc1ccc(CN2CCN(c3ccc4c(c3)OCCO4)CC2)cn1,Ki,4.35
CHEMBL160626,N#Cc1cccc2c(CN3CCN(c4ccc(Cl)cc4)CC3)cnn12,Ki,4.35
CHEMBL160626,N#Cc1cccc2c(CN3CCN(c4ccc(Cl)cc4)CC3)cnn12,Ki,4.36
CHEMBL169889,COc1ccc(Br)cc1C1=NCC[C@H](CN2CCN(c3ccccc3)CC2)N1,Ki,4.36
CHEMBL140006,N#Cc1ccc2[nH]c(CN3CCN(c4ccc(Cl)c(Cl)c4)CC3)cc2c1,Ki,4.37
CHEMBL169889,COc1ccc(Br)cc1C1=NCC[C@H](CN2CCN(c3ccccc3)CC2)N1,Ki,4.37
CHEMBL2062858,CCN(CC)[C@@H]1[C@@H](CO)[C@H]2CN(Cc3ccccc3)[C@H](c3ccccn3)[C@H]21,Ki,4.38
CHEMBL4437202,O=C(c1ccccc1)N1CCN(CCN2CCc3ncsc3CC2)CC1,Ki,4.38
CHEMBL2443002,COc1ccccc1N1CCN(Cc2cn([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3F)nn2)CC1,Ki,4.38
CHEMBL240023,CCCOC1CCCc2ccc(/N=C/N3CCc4cc(OC)c(OC)cc4C3)cc21,Ki,4.38
CHEMBL561262,COc1ccccc1N1CCN(Cc2c(C)nc3cc(C)ncn23)CC1,Ki,4.4
CHEMBL4447330,COc1ccc(N2CCN(CCCCCCN3C(=O)c4cccc5cccc(c45)C3=O)CC2)cc1,Ki,4.4
CHEMBL328925,OCc1cnn2cccc(CN3CCN(c4ccc(Cl)cc4)CC3)c12,Ki,4.41
CHEMBL169631,COc1cc(N(C)C(C)=O)c(Cl)cc1C(=O)NC[C@H]1CCN(Cc2ccccc2)C1,Ki,4.42
L745870,Clc1ccc(N2CCN(Cc3c[nH]c4ncccc34)CC2)cc1,Ki,4.42
CHEMBL196866,O=C(N[C@H]1CCN(Cc2ccccc2F)C1)c1ccc(-c2cccs2)cc1,Ki,4.42
CHEMBL4071189,COc1ccccc1N1CC2(CCN(CCCSc3nnc(-c4ccccc4)n3C)CC2)C1,Ki,4.42
CHEMBL2062852,CCN(CC)[C@@H]1[C@@H](CO)[C@H]2CN(Cc3ccccc3)[C@H](C)[C@H]21,Ki,4.42
CHEMBL91362,CCOC(=O)c1cnn2cccc(CN3CCN(c4ccc(Cl)cc4)CC3)c12,Ki,4.43
CHEMBL140006,N#Cc1ccc2[nH]c(CN3CCN(c4ccc(Cl)c(Cl)c4)CC3)cc2c1,Ki,4.44
NORMETHADONE,CCC(=O)C(CCN(C)C)(c1ccccc1)c1ccccc1,Ki,4.46
CHEMBL142217,N#Cc1ccc2[nH]cc(CN3CCN(c4ccccc4)CC3)c2c1,Ki,4.47
L745870,Clc1ccc(N2CCN(Cc3c[nH]c4ncccc34)CC2)cc1,Ki,4.48
CHEMBL5266180,C[C@H]1CO[C@@H](c2ccc(N)nc2)CN1CCn1cc(CNC(=O)c2cc3ccccc3[nH]2)nn1,Ki,4.49
salmeterol,OCc1cc(C(O)CNCCCCCCOCCCCc2ccccc2)ccc1O,Ki,4.5
CHEMBL1194672,Cc1cc(CN2CCC3(CC2)OC=C(c2ccccc2)C3=O)on1,Ki,4.5
CHEMBL352925,c1ccc(C2=NCC[C@H](CN3CCN(c4ccccc4)CC3)N2)cc1,Ki,4.5
CHEMBL88937,Clc1ccc(N2CCN(Cc3cccc4ccnn34)CC2)cc1,Ki,4.51
CHEMBL240888,COc1cccc(C2=NCCc3c2[nH]c2ccccc32)c1,Ki,4.51
quinpirole,CCCN1CCC[C@@H]2Cc3[nH]ncc3C[C@H]21,Ki,4.51
CHEMBL168372,COc1cc(N(C)C(C)=O)c(Cl)cc1C(=O)NC[C@@H]1CCN(Cc2ccccc2)C1,Ki,4.52
CHEMBL169459,c1ccc(C2=NCC[C@@H](CN3CCN(c4ccccc4)CC3)N2)cc1,Ki,4.52
CHEMBL272853,FCCOc1ccc(N2CCN(Cc3cc4ccccn4n3)CC2)cc1,Ki,4.52
CHEMBL3085215,CCCN(C(C)C)[C@@H]1COc2cccc(C(C)=O)c2C1,Ki,4.52
DIBENZEPIN,CN(C)CCN1C(=O)c2ccccc2N(C)c2ccccc21,Ki,4.52
CHEMBL4092015,COc1ccccc1N1CCC12CCN(CCCSc1nnc(-c3ccccc3)n1C)CC2,Ki,4.53
CHEMBL1923416,Fc1ccc(CN2CCN(c3ccc4c(c3)OCCO4)CC2)cn1,Ki,4.54
CHEMBL169459,c1ccc(C2=NCC[C@@H](CN3CCN(c4ccccc4)CC3)N2)cc1,Ki,4.54
CHEMBL199186,O=C(N[C@H]1CCN(Cc2ccc(Cl)c(Cl)c2)C1)c1ccc(-c2cccs2)cc1,Ki,4.54
CHEMBL351550,Cc1nn2c(-c3ccccc3)cccc2c1CN1CCN(c2ccc(Cl)cc2)CC1,Ki,4.55
CHEMBL143761,N#Cc1ccc2[nH]c(CN3CCN(c4ccc(F)cc4)CC3)cc2c1,Ki,4.55
CHEMBL345357,OCc1ccc2c(CN3CCN(c4ccc(Cl)cc4)CC3)cnn2c1,Ki,4.55
CHEMBL384248,CN1CCN(C2=Nc3cc(Cl)ccc3N(NC(=O)c3ccncc3)c3ccccc32)CC1,Ki,4.55
CHEMBL64043,c1ccc(CN2CCN(Cc3csc(-c4ccccc4)n3)CC2)cc1,Ki,4.55
CHEMBL169631,COc1cc(N(C)C(C)=O)c(Cl)cc1C(=O)NC[C@H]1CCN(Cc2ccccc2)C1,Ki,4.55
CHEMBL1258999,Cc1ccc(CNCC2(F)CCN(C(=O)c3coc4ccccc34)CC2)nc1,Ki,4.55
CHEMBL345357,OCc1ccc2c(CN3CCN(c4ccc(Cl)cc4)CC3)cnn2c1,Ki,4.56
CHEMBL4442321,O=C(NCCCCN1CCN(c2ccc(Cl)cc2)CC1)c1ccc(-c2ccsc2)cc1,Ki,4.56
CHEMBL62703,c1ccc(CN2CCN(Cc3coc(-c4ccccc4)n3)CC2)cc1,Ki,4.56
CHEMBL167032,COc1cc(NC(C)=O)c(Cl)cc1C(=O)NC[C@H]1CCN(Cc2ccccc2)C1,Ki,4.57
CHEMBL1258999,Cc1ccc(CNCC2(F)CCN(C(=O)c3coc4ccccc34)CC2)nc1,Ki,4.57
CHEMBL5410217,COc1cccc2c3c(oc12)CN(CCCCOc1ccc2scnc2c1)CC3,Ki,4.58
CHEMBL554692,Cc1cc2nc(C)c(CN3CCN(c4ccc(Cl)cc4)CC3)n2c(C)n1,Ki,4.58
CHEMBL5280481,C[C@H]1CO[C@@H](c2ccc(N)nc2)CN1CC[C@@H]1CC[C@@H](CNC(=O)c2cc3ccccc3[nH]2)C1,Ki,4.59
CHEMBL5410217,COc1cccc2c3c(oc12)CN(CCCCOc1ccc2scnc2c1)CC3,Ki,4.59
CHEMBL167032,COc1cc(NC(C)=O)c(Cl)cc1C(=O)NC[C@H]1CCN(Cc2ccccc2)C1,Ki,4.6
CHEMBL2048230,CCCN1CCC(c2ccc(OC)cc2)CC1,Ki,4.6
CHEMBL3764306,Cn1c(SCCCN2CCOC(c3ccc(C(F)(F)F)cc3)C2)nnc1-c1ccc(C(N)=O)nc1,Ki,4.6
CHEMBL3323005,Cc1nc(N2CCN(CCCCNC(=O)c3cn4ccccc4n3)CC2)cc(C(F)(F)F)n1,Ki,4.6
CHEMBL156851,C#Cc1cccc2c(CN3CCN(c4ccc(Cl)cc4)CC3)c(C)nn12,Ki,4.6
CHEMBL4545775,Cc1ccc(N2CCN(CCCCNC(=O)c3ccc(-c4ccsc4)cc3)CC2)cc1,Ki,4.6
CHEMBL241082,COc1cccc(C2=NCCc3c2[nH]c2ccc(OC)cc32)c1,Ki,4.6
CHEMBL352925,c1ccc(C2=NCC[C@H](CN3CCN(c4ccccc4)CC3)N2)cc1,Ki,4.6
CHEMBL3764246,Cc1ccc(C2CN(CCCSc3nnc(-c4ccc(-c5noc(C)n5)cc4)n3C)CCO2)cc1,Ki,4.6
CHEMBL1194992,C#CCN1CCC2(CC1)OC=C(c1ccccc1)C2=O,Ki,4.62
CHEMBL2443003,COc1ccccc1N1CCN(Cc2cn([C@@H]3O[C@H](CF)[C@@H](O)[C@H](O)[C@H]3O)nn2)CC1,Ki,4.62
CHEMBL351550,Cc1nn2c(-c3ccccc3)cccc2c1CN1CCN(c2ccc(Cl)cc2)CC1,Ki,4.62
CHEMBL5221414,O=C1CCc2ccccc2N1CCCN1CCN(c2ccc([N+](=O)[O-])cc2)CC1,Ki,4.62
CHEMBL2443002,COc1ccccc1N1CCN(Cc2cn([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3F)nn2)CC1,Ki,4.64
CHEMBL302186,c1ccc(CN2CCC(NCc3csc(-c4ccccc4)n3)CC2)cc1,Ki,4.64
CHEMBL2048230,CCCN1CCC(c2ccc(OC)cc2)CC1,Ki,4.64
CHEMBL5267958,C[C@H]1CO[C@@H](c2ccc(N)nc2)CN1CC[C@@H]1CC[C@H](CNC(=O)c2cc3ccccc3[nH]2)C1,Ki,4.65
CHEMBL5280364,CCOC(=O)c1[nH]c2ccc(F)cc2c1CN1CCN(c2ccccc2)CC1,Ki,4.66
CHEMBL345357,OCc1ccc2c(CN3CCN(c4ccc(Cl)cc4)CC3)cnn2c1,Ki,4.66
CHEMBL4436317,CCc1cc(Cl)c(OC)c(N2CCN(C[C@H](F)CCNC(=O)c3cc4ccccc4[nH]3)CC2)c1,Ki,4.67
CHEMBL62703,c1ccc(CN2CCN(Cc3coc(-c4ccccc4)n3)CC2)cc1,Ki,4.67
CHEMBL4077251,COc1ccccc1N1CC2(CN(CCCSc3nnc(-c4ccccc4)n3C)C2)C1,Ki,4.67
CHEMBL4534566,CCc1cc(Cl)c(OC)c(N2CCN(CC(F)CCNC(=O)c3cc4ccccc4[nH]3)CC2)c1,Ki,4.68
CHEMBL380054,Fc1ccc(N2CCN(Cc3cn4ccccc4n3)CC2)cc1,Ki,4.68
CHEMBL315564,COc1ccc(Br)cc1C1=N[C@@H](CN2CCN(c3ccccc3)CC2)[C@@H](C)O1,Ki,4.68
CHEMBL156851,C#Cc1cccc2c(CN3CCN(c4ccc(Cl)cc4)CC3)c(C)nn12,Ki,4.68
CHEMBL5221670,COc1ccc(N2CCN(CCCN3C(=O)CCc4ccccc43)CC2)cc1,Ki,4.68
CHEMBL90374,Clc1ccc(N2CCN(Cc3cccn4nccc34)CC2)cc1,Ki,4.68
CHEMBL32145,C=CCN1CCc2c(cc(O)c(O)c2Br)C(c2ccccc2)C1,Ki,4.68
CHEMBL353087,COc1cc(NC(C)=O)c(Cl)cc1C(=O)NC[C@@H]1CCN(Cc2ccccc2)C1,Ki,4.68
fentanyl,CCC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1,Ki,4.68
CHEMBL444128,CCCNCCCCNC(=O)c1ccc(-c2ccccc2)cc1,Ki,4.68
CHEMBL404888,COc1cc(CN2CCN(c3ccc(Cl)cc3)CC2)ccc1OCCF,Ki,4.68
CHEMBL3765267,CC(=O)c1ccc(-c2nnc(SCCCN3CCOC(c4ccc(C(F)(F)F)cc4)C3)n2C)cc1,Ki,4.7
CHEMBL1191738,O=C1C(c2ccccc2)=COC12CCN(Cc1ccccc1)C2,Ki,4.7
CHEMBL1259241,Cc1ccc(CNCC2(F)CCN(C(=O)c3csc4ccccc34)CC2)nc1,Ki,4.7
CHEMBL145584,NCCc1cccc(O)c1,Ki,4.7
CHEMBL456675,COc1cccc(CCc2ccccc2OCCCN2CCN(c3ncccn3)CC2)c1,Ki,4.7
CHEMBL64043,c1ccc(CN2CCN(Cc3csc(-c4ccccc4)n3)CC2)cc1,Ki,4.71
CHEMBL148042,CN1CCCN(C2=Nc3cccnc3Nc3ccc(Cl)cc32)CC1,Ki,4.72
CHEMBL143761,N#Cc1ccc2[nH]c(CN3CCN(c4ccc(F)cc4)CC3)cc2c1,Ki,4.72
CHEMBL4527078,CCc1cc(Cl)c(OC)c(N2CCN(C[C@@H](F)CCNC(=O)c3cc4ccccc4[nH]3)CC2)c1,Ki,4.72
CHEMBL354748,c1ccc(C2=NC[C@@H](N3CCN(c4ccccc4)CC3)CCN2)cc1,Ki,4.72
CHEMBL4778076,O=C1c2ccccc2/C=C\c2ccccc2N1CCCN1CCOCC1,Ki,4.72
CHEMBL1928247,CCOCCOCc1ccc(N2CCN(CCCCNC(=O)c3ccccc3)CC2)c(OC)c1,Ki,4.72
CHEMBL168372,COc1cc(N(C)C(C)=O)c(Cl)cc1C(=O)NC[C@@H]1CCN(Cc2ccccc2)C1,Ki,4.72
CHEMBL293158,CN1CCc2cc(Cl)c(O)cc2[C@H]1c1ccccc1,Ki,4.72
CHEMBL353087,COc1cc(NC(C)=O)c(Cl)cc1C(=O)NC[C@@H]1CCN(Cc2ccccc2)C1,Ki,4.72
CHEMBL162762,C#CC1=CCC(N(CCC)CCC)CC1,Ki,4.72
CHEMBL380054,Fc1ccc(N2CCN(Cc3cn4ccccc4n3)CC2)cc1,Ki,4.72
CHEMBL3588995,OC(CCn1cc(-c2ccc3ccccc3c2)nn1)CN1CCN(c2cccc(Cl)c2Cl)CC1,Ki,4.73
CHEMBL104201,N#CC(C#N)=Cc1ccn(C2CCN(Cc3ccccc3)CC2)c1,Ki,4.75
CHEMBL315564,COc1ccc(Br)cc1C1=N[C@@H](CN2CCN(c3ccccc3)CC2)[C@@H](C)O1,Ki,4.75
CHEMBL198580,O=C(N[C@H]1CCN(Cc2ccc(F)c(F)c2)C1)c1ccc(-c2cccs2)cc1,Ki,4.75
CHEMBL168541,O=C1C[C@@H](CN2CCN(c3ccccc3)CC2)N=C(c2ccccc2)N1,Ki,4.75
CHEMBL5090346,N#CC(CCNCCc1ccccc1)(c1ccccc1)c1ccccc1,Ki,4.75
CHEMBL196928,CCCN(CCC)C1CCn2nccc2C1,Ki,4.75
CHEMBL4451231,O=c1c(-c2ccccc2)c2ccccn2c(=O)n1CCCCN1CCCC(c2c[nH]c3ccccc23)C1,Ki,4.75
CHEMBL2443004,COc1ccccc1N1CCN(Cc2cn(-c3ccc(OCCF)cc3)nn2)CC1,Ki,4.75
CHEMBL346898,CN(C)CCC(C#N)(c1ccccc1)c1ccccc1,Ki,4.75
PRIDOPIDINE,CCCN1CCC(c2cccc(S(C)(=O)=O)c2)CC1,Ki,4.76
CHEMBL5434856,COc1ccc(C2CCN(CCCc3nc4ccccc4s3)CC2)nc1,Ki,4.76
CHEMBL62601,COc1c(-c2nc(CNC[C@@H]3CCN(Cc4ccccc4)C3)co2)cc(Br)c2ccccc12,Ki,4.76
CHEMBL3913062,Cc1ncoc1-c1nnc(SCCCN2CC[C@]3(C[C@@H]3c3ccccc3)C2)n1C,Ki,4.77
CHEMBL1923293,COc1cc(CN2CCN(c3ccc4c(c3)OCCO4)CC2)ccc1F,Ki,4.77
CHEMBL562384,Cc1cc2nc(C)c(CN3CCN(c4ccccn4)CC3)n2c(C)n1,Ki,4.77
CHEMBL162762,C#CC1=CCC(N(CCC)CCC)CC1,Ki,4.77
sumanirole,CN[C@@H]1Cc2cccc3[nH]c(=O)n(c23)C1,Ki,4.79
CHEMBL4438630,Cc1cccc(N2CCN(CCCCNC(=O)c3ccc(-c4ccsc4)cc3)CC2)c1,Ki,4.79
CHEMBL212370,Clc1ccc(N2CCN(Cc3cn4ccccc4n3)CC2)cc1,Ki,4.8
CHEMBL160749,Cc1nn2c(-c3ccc(F)cc3)cccc2c1CN1CCN(c2ccc(Cl)cc2)CC1,Ki,4.8
CHEMBL3764833,Cc1ncoc1-c1nnc(SCCCN2CCOC(c3ccc(Br)cc3)C2)n1C,Ki,4.8
CHEMBL3764143,Cn1c(SCCCN2CCOC(c3ccc(C(F)(F)F)cc3)C2)nnc1-c1ccc(-c2ncco2)cc1,Ki,4.8
CHEMBL353220,COc1ccc(Br)cc1C1=NCC[C@@H](CN2CCN(c3ccccc3)CC2)N1,Ki,4.8
CHEMBL3890882,CN[C@@H]1c2cc3ccn(S(=O)(=O)c4ccccc4)c3cc2[C@H]1CCO,Ki,4.8
CHEMBL3764212,Cn1c(SCCCN2CCOC(c3ccc(C(F)(F)F)cc3)C2)nnc1-c1cccc(C(N)=O)c1,Ki,4.8
compound 28.1 [PMID: 36847646],Cc1cc(C(F)(F)F)nc(Nc2ccccc2-c2nnn[nH]2)n1,Ki,4.8
CHEMBL90374,Clc1ccc(N2CCN(Cc3cccn4nccc34)CC2)cc1,Ki,4.8
CHEMBL3765422,Cn1c(SCCCN2CCOC(c3ccc(C(F)(F)F)cc3)C2)nnc1-c1cncc(C(N)=O)c1,Ki,4.8
CHEMBL3764612,Cn1c(SCCCN2CCOC(c3ccc(C(F)(F)F)cc3)C2)nnc1-c1cccnc1,Ki,4.8
CHEMBL3764597,Cn1c(SCCCN2CCOC(c3ccc(C(F)(F)F)cc3F)C2)nnc1-c1ccc(C(N)=O)cc1,Ki,4.8
CHEMBL3966484,CN[C@H]1c2c(ccc3c2ccn3S(=O)(=O)c2ccccc2)[C@@H]1CCO,Ki,4.8
CHEMBL2062855,C[C@H]1[C@H]2[C@@H](CN1Cc1ccccc1)[C@@H](CO)[C@@H]2N1CCCC1,Ki,4.8
CHEMBL1923293,COc1cc(CN2CCN(c3ccc4c(c3)OCCO4)CC2)ccc1F,Ki,4.8
BEFIRADOL,Cc1ccc(CNCC2(F)CCN(C(=O)c3ccc(F)c(Cl)c3)CC2)nc1,Ki,4.82
CHEMBL164950,CCCN(CCC)C1CCC(=C(C#N)C#N)CC1,Ki,4.82
CHEMBL156198,Fc1ccc(-c2cccc3c(CN4CCN(c5ccc(Cl)cc5)CC4)cnn23)cc1,Ki,4.82
CHEMBL300553,N#CC(C#N)=Cc1[nH]ccc1CN1CCN(c2ccc(Cl)cc2)CC1,Ki,4.82
CHEMBL193337,CCCN(CCC)[C@H]1CCn2nccc2C1,Ki,4.82
CHEMBL432059,Clc1ccc(N2CCN(Cc3ccc4ccnn4c3)CC2)cc1,Ki,4.82
CHEMBL166325,CCCN(CCC)C1CC=C(C#Cc2ccccc2)CC1,Ki,4.82
dopamine,NCCc1ccc(O)c(O)c1,Ki,4.82
CHEMBL3588996,OC(CCn1cc(-c2ccc(-c3ccccc3)cc2)nn1)CN1CCN(c2cccc(Cl)c2Cl)CC1,Ki,4.82
CHEMBL5291065,C[C@H]1CO[C@@H](c2ccc(N)nc2)CN1CCC1CCC(CNC(=O)c2cc3ccccc3[nH]2)C1,Ki,4.82
ABT-724,c1ccc(N2CCN(Cc3nc4ccccc4[nH]3)CC2)nc1,Ki,4.82
CHEMBL212370,Clc1ccc(N2CCN(Cc3cn4ccccc4n3)CC2)cc1,Ki,4.82
CHEMBL574569,COc1ccccc1N1CCN(CCCCNC(=O)c2cccc(-c3cn(Cc4ccc(-c5ccc(Cn6cc(-c7cccc(C(=O)NCCCCN8CCN(c9ccccc9OC)CC8)c7)nn6)cc5)cc4)nn3)c2)CC1,Ki,4.82
CHEMBL3800633,CN(CCCCNC(=O)c1cc2ccccc2o1)[C@@H]1Cc2cccc3[nH]c(=O)n(c23)C1,Ki,4.83
CHEMBL1774386,O=C(NCCC(F)CN1CCN(c2cccc(Cl)c2Cl)CC1)c1cc2ccccc2o1,Ki,4.84
CHEMBL4072785,O=C1COc2c(N3CCCNCC3)ccc(O)c2N1,Ki,4.85
CHEMBL59702,c1ccc(CN2CCC(NCc3coc(-c4ccccc4)n3)CC2)cc1,Ki,4.85
CHEMBL241101,COC(=O)N1CCc2ccc(/N=C/N3CCc4cc(OC)c(OC)cc4C3)cc21,Ki,4.85
CHEMBL353220,COc1ccc(Br)cc1C1=NCC[C@@H](CN2CCN(c3ccccc3)CC2)N1,Ki,4.85
CHEMBL209832,c1ccc(-n2cc(CN3CCN(c4ncccn4)CC3)cn2)cc1,Ki,4.85
CHEMBL162762,C#CC1=CCC(N(CCC)CCC)CC1,Ki,4.85
CHEMBL392970,COc1cc2c(cc1OC)CN(/C=N/c1ccc3c(c1)C(OC(C)=O)CCCC3)CC2,Ki,4.85
CHEMBL1190042,c1ccc(C2=NC[C@H](CN3CCN(c4ccccc4)CC3)N2)cc1,Ki,4.85
CHEMBL160749,Cc1nn2c(-c3ccc(F)cc3)cccc2c1CN1CCN(c2ccc(Cl)cc2)CC1,Ki,4.85
CHEMBL354748,c1ccc(C2=NC[C@@H](N3CCN(c4ccccc4)CC3)CCN2)cc1,Ki,4.85
CHEMBL5400983,Clc1ccc2sc(CCCN3CCN(c4ccccn4)CC3)nc2c1,Ki,4.85
CHEMBL2164434,CCCCNC(=O)c1cc2ccccc2[nH]1,Ki,4.87
CHEMBL5266180,C[C@H]1CO[C@@H](c2ccc(N)nc2)CN1CCn1cc(CNC(=O)c2cc3ccccc3[nH]2)nn1,Ki,4.87
CHEMBL3322999,O=C(NCCCCN1CCN(c2cc(C(F)(F)F)nc3ccccc23)CC1)c1cn2ccccc2n1,Ki,4.87
CHEMBL4570554,CCc1cc(Cl)c(OC)c(N2CCN(C[C@@H](O)CCNC(=O)c3cc4ccccc4[nH]3)CC2)c1,Ki,4.87
CHEMBL3085816,CN(C)C(=O)N[C@H]1CC[C@@H](CCN2CCc3ccccc3C2)CC1,Ki,4.87
CHEMBL5171456,COc1ccccc1N1CCN(c2nc(N)nc(NCCc3c[nH]c4ccccc34)n2)CC1,Ki,4.87
CHEMBL4064919,CCCC(CCC)NC(=O)c1cc2ccccc2[nH]1,Ki,4.87
CHEMBL302186,c1ccc(CN2CCC(NCc3csc(-c4ccccc4)n3)CC2)cc1,Ki,4.87
