SMILES,Standardized_SMILES,LogS
C1CN(CCO1)Sc2sc3ccccc3n2,c1ccc2sc(SN3CCOCC3)nc2c1,-3.8109627954
CC1(C)[C@H]2C[C@@H]3O[C@]3(C)[C@@H]1C2,CC1(C)[C@H]2C[C@@H]3O[C@]3(C)[C@@H]1C2,-2.5936884915
[Na+].[Na+].[Na+].[Na+].NC(=O)Nc1cc(Nc2nc(Cl)nc(Nc3cccc(c3)[S](=O)(=O)CCO[S]([O-])(=O)=O)n2)ccc1N=Nc4cc5c(cc(cc5[S]([O-])(=O)=O)[S]([O-])(=O)=O)cc4[S]([O-])(=O)=O,NC(=O)Nc1cc(Nc2nc(Cl)nc(Nc3cccc(S(=O)(=O)CCOS(=O)(=O)[O-])c3)n2)ccc1N=Nc1cc2c(S(=O)(=O)[O-])cc(S(=O)(=O)[O-])cc2cc1S(=O)(=O)[O-].[Na+].[Na+].[Na+].[Na+],-0.4261364852
[Na+].[Na+].CCCCCCCCCCCCNc1nc(Cl)nc(Nc2ccc3c(O)c(N=Nc4ccc(cc4)N=Nc5ccc(cc5)[S]([O-])(=O)=O)c(cc3c2)[S]([O-])(=O)=O)n1,CCCCCCCCCCCCNc1nc(Cl)nc(Nc2ccc3c(O)c(N=Nc4ccc(N=Nc5ccc(S(=O)(=O)[O-])cc5)cc4)c(S(=O)(=O)[O-])cc3c2)n1.[Na+].[Na+],-3.358911212
CCCN(CCC)C(=O)SCC,CCCN(CCC)C(=O)SCC,-2.7031744039
C1CC(CCC1COCC2CO2)COCC3CO3,C1CC(COCC2CO2)CCC1COCC1CO1,-1.8357972344
CC(CC1=CC(=CC(=O)N1O)C)CC(C)(C)C.NCCO,Cc1cc(CC(C)CC(C)(C)C)n(O)c(=O)c1.NCCO,-3.9054642035
[OH-].[Ca++].[Ca++].[Ca++].[Ca++].[Ca++].[O-][P]([O-])([O-])=O.[O-][P]([O-])([O-])=O.[O-][P]([O-])([O-])=O,O=P([O-])([O-])[O-].O=P([O-])([O-])[O-].O=P([O-])([O-])[O-].[Ca+2].[Ca+2].[Ca+2].[Ca+2].[Ca+2].[OH-],-4.1419008964
O=[P+]1Oc2ccccc2c3ccccc13,O=[p+]1oc2ccccc2c2ccccc21,-1.7796231349
C=COC(=O)c1ccccc1,C=COC(=O)c1ccccc1,-2.6229591952
COC(=O)c1ccc(cc1)C(C)(C)C,COC(=O)c1ccc(C(C)(C)C)cc1,-3.7398163758
Cc1cccc(CC(C)(C)CO)c1,Cc1cccc(CC(C)(C)CO)c1,-2.8265354685000004
CC(=O)OC\C=C(C)/CCC=C(C)C,CC(=O)OC/C=C(/C)CCC=C(C)C,-3.7549532157
CC1(C)[C@H]2CC=C(CCO)[C@@H]1C2,CC1(C)[C@H]2CC=C(CCO)[C@@H]1C2,-2.6959998037
CC1CC(=O)CC(C)(C)C1,CC1CC(=O)CC(C)(C)C1,-1.6471414632
C=CC(=O)OCCOc1ccccc1c2ccccc2,C=CC(=O)OCCOc1ccccc1-c1ccccc1,-3.9515188418
SCCC(=O)OCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS,O=C(CCS)OCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS,-5.1231687481
Cc1cc(cc(C)c1O)C(C)(C)c2cc(C)c(O)c(C)c2,Cc1cc(C(C)(C)c2cc(C)c(O)c(C)c2)cc(C)c1O,-4.952868802799999
CCCCCCCCCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCC,CCCCCCCCCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCC,-5.4730005799
CCOC(=O)CC(C)CC(C)(C)C,CCOC(=O)CC(C)CC(C)(C)C,-3.8230431676
[Ca++].[O-][Si]([O-])=O,O=[Si]([O-])[O-].[Ca+2],-2.6500869941
CCc1ccc(C)nc1,CCc1ccc(C)nc1,-1.0042604536
CC(C)[C@@H]1CC[C@@H](C)C[C@H]1OC(=O)[C@H](C)O,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1OC(=O)[C@H](C)O,-2.9799872046
C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@]34C)[C@@H]1CC[C@]2(O)C(=O)CO,C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO,-3.1784471289
[Na+].[Na+].Cc1ccc(Nc2ccc(Nc3ccc(C)cc3[S]([O-])(=O)=O)c4C(=O)c5ccccc5C(=O)c24)c(c1)[S]([O-])(=O)=O,Cc1ccc(Nc2ccc(Nc3ccc(C)cc3S(=O)(=O)[O-])c3c2C(=O)c2ccccc2C3=O)c(S(=O)(=O)[O-])c1.[Na+].[Na+],-1.4270312571
[O--].[O--].[O--].[O--].[O--].[O--].[O--].[O--].[O--].[Al+3].[Al+3].[Mo].[Mo],[Al+3].[Al+3].[Mo].[Mo].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2],-4.2291529922
CC(=C)C(=O)OCCOc1ccccc1,C=C(C)C(=O)OCCOc1ccccc1,-2.9526471698
CCCCOCCOCCOCc1cc2OCOc2cc1CCC,CCCCOCCOCCOCc1cc2c(cc1CCC)OCO2,-4.1510889183
CF,CF,-0.1758743764999999
C(COc1ccccc1)Oc2ccccc2,c1ccc(OCCOc2ccccc2)cc1,-3.9885265275
CCc1cc(Cc2cc(CC)c(N)c(CC)c2Cl)c(Cl)c(CC)c1N,CCc1cc(Cc2cc(CC)c(N)c(CC)c2Cl)c(Cl)c(CC)c1N,-7.2780387128
[Na+].Cc1cc(C)c(Nc2cc(c(N)c3C(=O)c4ccccc4C(=O)c23)[S]([O-])(=O)=O)c(C)c1CNC(=O)c5ccccc5,Cc1cc(C)c(Nc2cc(S(=O)(=O)[O-])c(N)c3c2C(=O)c2ccccc2C3=O)c(C)c1CNC(=O)c1ccccc1.[Na+],-1.4396051212999998
CCCC(CCC)C(O)=O,CCCC(CCC)C(=O)O,-1.8579774272
[Zn++].[S-]c1sc2ccccc2n1.[S-]c3sc4ccccc4n3,[S-]c1nc2ccccc2s1.[S-]c1nc2ccccc2s1.[Zn+2],-4.285895804
Oc1ccccc1.ClCC2CO2.C=O,C=O.ClCC1CO1.Oc1ccccc1,-4.0347567611
CCCCCC/C=C/C1CC(=O)OC1=O,CCCCCC/C=C/C1CC(=O)OC1=O,-4.0217535152
CC(=C)C(O)=O.CC(C)(c1ccc(O)cc1)c2ccc(O)cc2.ClCC3CO3,C=C(C)C(=O)O.CC(C)(c1ccc(O)cc1)c1ccc(O)cc1.ClCC1CO1,-5.229282852
CC1=CC[C@H]2C[C@@H]1C2(C)C,CC1=CC[C@H]2C[C@@H]1C2(C)C,-4.7725704235
C[Si](C)(C)O[Si](C)(C)C,C[Si](C)(C)O[Si](C)(C)C,-4.909505216
FC(=C)C(F)(F)F,C=C(F)C(F)(F)F,-2.7599573667
O=C1Oc2ccccc2C=C1,O=c1ccc2ccccc2o1,-1.8860303607
CC(=C)C1CCC(=CC1)C,C=C(C)C1CC=C(C)CC1,-3.8464965295
[Na+].CCN(CC)c1ccc([C+](c2ccc(cc2)N(CC)Cc3cccc(c3)[S]([O-])(=O)=O)c4ccc(cc4)N(CC)Cc5cccc(c5)[S]([O-])(=O)=O)c(C)c1,CCN(CC)c1ccc([C+](c2ccc(N(CC)Cc3cccc(S(=O)(=O)[O-])c3)cc2)c2ccc(N(CC)Cc3cccc(S(=O)(=O)[O-])c3)cc2)c(C)c1.[Na+],-0.6229779303
S=[W]=S,[S-2].[S-2].[W+4],-4.1391336425
[Na+].[Na+].CC1=NN(C(=O)C1N=Nc2ccc(c3ccc(cc3[S]([O-])(=O)=O)N=NC4C(=NN(C4=O)c5ccccc5)C)c(c2)[S]([O-])(=O)=O)c6ccccc6,CC1=NN(c2ccccc2)C(=O)C1N=Nc1ccc(-c2ccc(N=NC3C(=O)N(c4ccccc4)N=C3C)cc2S(=O)(=O)[O-])c(S(=O)(=O)[O-])c1.[Na+].[Na+],-1.642781181
CC(=O)O[C@H]1C[C@H]2CC[C@@]1(C)C2(C)C,CC(=O)O[C@H]1C[C@H]2CC[C@@]1(C)C2(C)C,-3.0887781924
[Pb++].[O-][Si]([O-])=O,O=[Si]([O-])[O-].[Pb+2],-6.6197116003
CCCC(=O)OC(C)(C)Cc1ccccc1,CCCC(=O)OC(C)(C)Cc1ccccc1,-4.1359426126
[Na+].[Na+].[O-][S](=O)(=O)c1ccc(N\N=C\2C=CC(=O)C(=N/Nc3ccc(c4ccccc34)[S]([O-])(=O)=O)\C2=O)c5ccccc15,O=c1cc/c(=N\Nc2ccc(S(=O)(=O)[O-])c3ccccc23)c(=O)/c1=N/Nc1ccc(S(=O)(=O)[O-])c2ccccc12.[Na+].[Na+],-2.6038411441
CCCOCC(C)OCC(C)O,CCCOCC(C)OCC(C)O,-0.0700526508
CC1(C)CC(CC(C)(CN=C=O)C1)N=C=O,CC1(C)CC(N=C=O)CC(C)(CN=C=O)C1,-4.1708247593
CCCCCCCC\C=C/CCCCCCCC(O)=O.NCCNCCN,CCCCCCCC/C=C\CCCCCCCC(=O)O.NCCNCCN,-4.4100874366000005
CCN(CC[n+]1ccccc1)c2ccc(cc2)N=Nc3ccc(cc3Cl)[N+]([O-])=O.CC([O-])=O,CC(=O)[O-].CCN(CC[n+]1ccccc1)c1ccc(N=Nc2ccc([N+](=O)[O-])cc2Cl)cc1,-1.5218900849
O=C(Oc1ccccc1)Oc2ccccc2,O=C(Oc1ccccc1)Oc1ccccc1,-4.2169166627
CCCCC(CC)C(=O)OC=C,C=COC(=O)C(CC)CCCC,-4.1519109764
CC(=C)C(=O)NCNC(=O)C(C)=C,C=C(C)C(=O)NCNC(=O)C(=C)C,-1.1892367555
C\1C\C=C/CC\C=C1,C1=C\CC/C=C\CC/1,-2.9659771733
CO[Si](CCCN=C=O)(OC)OC,CO[Si](CCCN=C=O)(OC)OC,-3.2569810012
CCO[Si](CCCCl)(OCC)OCC,CCO[Si](CCCCl)(OCC)OCC,-3.3285834497000004
CCCCOC(=O)c1ccccc1C(=O)OCCCC,CCCCOC(=O)c1ccccc1C(=O)OCCCC,-4.3876832538
[Na+].[Na+].Cc1cc(C)c(c(C)c1Nc2ccc(Nc3c(C)cc(C)c(c3C)[S]([O-])(=O)=O)c4C(=O)c5ccccc5C(=O)c24)[S]([O-])(=O)=O,Cc1cc(C)c(S(=O)(=O)[O-])c(C)c1Nc1ccc(Nc2c(C)cc(C)c(S(=O)(=O)[O-])c2C)c2c1C(=O)c1ccccc1C2=O.[Na+].[Na+],-1.7922611704
Oc1ccc(c(O)c1O)C(=O)c2ccccc2,O=C(c1ccccc1)c1ccc(O)c(O)c1O,-3.3451078238
CCCCCCCCC\C=C\CC1CC(=O)OC1=O,CCCCCCCCC/C=C/CC1CC(=O)OC1=O,-4.4255032449
CC(C)CC(C)CC(C)\C=C(/C)C1CC(=O)OC1=O,C/C(=C\C(C)CC(C)CC(C)C)C1CC(=O)OC1=O,-4.4255032449
CCCCCCCC\C=C/CCCCCCCC(=O)OCC(O)COB(O)O.CCCCCCCC\C=C/CCCCCCCC(=O)OCC(O)COB(O)OCC(O)COC(=O)CCCCCCC\C=C/CCCCCCCC.CCCCCCCC\C=C/CCCCCCCC(=O)OCC(O)COB(OCC(O)COC(=O)CCCCCCC\C=C/CCCCCCCC)OCC(O)COC(=O)CCCCCCC\C=C/CCCCCCCC,CCCCCCCC/C=C\CCCCCCCC(=O)OCC(O)COB(O)O.CCCCCCCC/C=C\CCCCCCCC(=O)OCC(O)COB(O)OCC(O)COC(=O)CCCCCCC/C=C\CCCCCCCC.CCCCCCCC/C=C\CCCCCCCC(=O)OCC(O)COB(OCC(O)COC(=O)CCCCCCC/C=C\CCCCCCCC)OCC(O)COC(=O)CCCCCCC/C=C\CCCCCCCC,-5.345705158
CCCCCCCCCC(=O)Oc1ccc(cc1)C(O)=O,CCCCCCCCCC(=O)Oc1ccc(C(=O)O)cc1,-5.424547549700001
CCO[Si](CCCSSCCC[Si](OCC)(OCC)OCC)(OCC)OCC,CCO[Si](CCCSSCCC[Si](OCC)(OCC)OCC)(OCC)OCC,-5.676541808600001
COc1ccc(\C=C\C(=O)OCCC(C)C)cc1,COc1ccc(/C=C/C(=O)OCCC(C)C)cc1,-5.4919252104
CCCCCCCCCCCCCCCC(=O)NCC(O)=O,CCCCCCCCCCCCCCCC(=O)NCC(=O)O,-5.593122621900001
C\1C\C=C/CC\C=C/CC/C=C1,C1=C\CC/C=C/CC/C=C\CC/1,-5.3651562541
CC(CCN(CCC(C)CC(C)(C)C)C(=S)S[Zn]SC(=S)N(CCC(C)CC(C)(C)C)CCC(C)CC(C)(C)C)CC(C)(C)C,CC(CCN(CCC(C)CC(C)(C)C)C(=S)[S-])CC(C)(C)C.CC(CCN(CCC(C)CC(C)(C)C)C(=S)[S-])CC(C)(C)C.[Zn+2],-6.1025269393
BrCc1ccc(cc1)c2ccccc2C#N,N#Cc1ccccc1-c1ccc(CBr)cc1,-6.6566491092
CCCCCCCCCCCCCCCCCC(=O)OC1CC(C)(C)NC(C)(C)C1.CCCCCCCCCCCCCCCC(=O)OC2CC(C)(C)NC(C)(C)C2,CCCCCCCCCCCCCCCC(=O)OC1CC(C)(C)NC(C)(C)C1.CCCCCCCCCCCCCCCCCC(=O)OC1CC(C)(C)NC(C)(C)C1,-6.214524895199999
CCCCC(CC)CNC(=O)CCCCCC(C)C,CCCCC(CC)CNC(=O)CCCCCC(C)C,-5.731545252999999
CO[C@H]1C[C@@H](O[C@@H](C)[C@@H]1O)OC2[C@H](C)O[C@H](C[C@@H]2OC)OC3[C@@H](C)/C=C/C=C/4CO[C@@H]5[C@H](O)C(=C[C@@H](C(=O)O[C@H]6C[C@@H](C\C=C3/C)O[C@@]7(C6)O[C@@H]([C@@H](C)C=C7)C8CCCCC8)[C@]45O)C,CO[C@H]1C[C@H](OC2/C(C)=C/C[C@@H]3C[C@@H](C[C@]4(C=C[C@H](C)[C@@H](C5CCCCC5)O4)O3)OC(=O)[C@@H]3C=C(C)[C@@H](O)[C@H]4OC/C(=C\C=C\[C@@H]2C)[C@]43O)O[C@@H](C)C1O[C@H]1C[C@H](OC)[C@@H](O)[C@H](C)O1,-7.5558815137
c1ccc(cc1)c2ccc(cc2)c3ccccc3,c1ccc(-c2ccc(-c3ccccc3)cc2)cc1,-6.183335848
c1cc2ccc3cccc4ccc(c1)c2c34,c1cc2ccc3cccc4ccc(c1)c2c34,-6.1787966156
CCCCOC(=O)c1ccc(cc1)C(=O)OCCCC,CCCCOC(=O)c1ccc(C(=O)OCCCC)cc1,-6.40319542
CCC(CC)CC1(CCCCC1)C#N,CCC(CC)CC1(C#N)CCCCC1,-6.5873382321000005
COc1ccc(cc1)N2CCN(CC2)c3ccc(cc3)[N+]([O-])=O,COc1ccc(N2CCN(c3ccc([N+](=O)[O-])cc3)CC2)cc1,-6.9290130346000005
CC(C)CCCCCCCOC(=O)CCCCCCCCC(=O)OCCCCCCCC(C)C,CC(C)CCCCCCCOC(=O)CCCCCCCCC(=O)OCCCCCCCC(C)C,-7.2523945018
CCCCN(CCCC)c1ccc2c(Oc3cc(C)c(Nc4ccccc4)cc3C25OC(=O)c6ccccc56)c1,CCCCN(CCCC)c1ccc2c(c1)Oc1cc(C)c(Nc3ccccc3)cc1C21OC(=O)c2ccccc21,-7.4042503575
FC1(F)Oc2cccc(C=O)c2O1,O=Cc1cccc2c1OC(F)(F)O2,-2.1558333574
CCNc1cc(C#N)c(N)c2C(=O)c3ccccc3C(=O)c12,CCNc1cc(C#N)c(N)c2c1C(=O)c1ccccc1C2=O,-7.6382805905
CCCCCCCC\C=C/CCCCCCCCNCCCN.CCCCCCCC\C=C/CCCCCCCC(O)=O.CCCCCCCC\C=C/CCCCCCCC(O)=O,CCCCCCCC/C=C\CCCCCCCC(=O)O.CCCCCCCC/C=C\CCCCCCCC(=O)O.CCCCCCCC/C=C\CCCCCCCCNCCCN,-8.2501920599
CCCCC(CC)COC(=O)c1ccc(Nc2nc(Nc3ccc(cc3)C(=O)NC(C)(C)C)nc(Nc4ccc(cc4)C(=O)OCC(CC)CCCC)n2)cc1,CCCCC(CC)COC(=O)c1ccc(Nc2nc(Nc3ccc(C(=O)NC(C)(C)C)cc3)nc(Nc3ccc(C(=O)OCC(CC)CCCC)cc3)n2)cc1,-8.1852587653
O=[V]=O,[O-2].[O-2].[V+4],-4.4002500912
[Cl-].CCCCCCCCCCCC[n+]1ccccc1,CCCCCCCCCCCC[n+]1ccccc1.[Cl-],-0.4539105371
Cc1cccc(C)c1OCC(O)=O,Cc1cccc(C)c1OCC(=O)O,-2.2566445306
CCCCC(CC)C(=O)O[Co]OB(O[Co])O[Co](OC(=O)C(CC)CCCC)OC(=O)C(CC)CCCC,CCCCC(CC)C(=O)[O-].CCCCC(CC)C(=O)[O-].CCCCC(CC)C(=O)[O-].[Co+2].[Co+3].[Co+].[O-]B([O-])[O-],-1.8254561435
[Na+].[Na+].OCC1=CC(=N/Nc2ccc(c3ccccc23)[S]([O-])(=O)=O)\C(=O)/C(=N/Nc4ccc(c5ccccc45)[S]([O-])(=O)=O)C1=O,O=c1c(CO)c/c(=N\Nc2ccc(S(=O)(=O)[O-])c3ccccc23)c(=O)/c1=N/Nc1ccc(S(=O)(=O)[O-])c2ccccc12.[Na+].[Na+],-0.8171647444
CC(=O)c1ccc(O)cc1,CC(=O)c1ccc(O)cc1,-1.1383824511
[O--].[O--].[Mg++].[Ca++],[Ca+2].[Mg+2].[O-2].[O-2],-1.9883562334
[Na+].[Na+].Nc1ccc2cc(c(N=Nc3ccc(N=Nc4cccc(C([O-])=O)c4O)c5ccccc35)c(O)c2c1)[S]([O-])(=O)=O,Nc1ccc2cc(S(=O)(=O)[O-])c(N=Nc3ccc(N=Nc4cccc(C(=O)[O-])c4O)c4ccccc34)c(O)c2c1.[Na+].[Na+],-2.7868204517
CC(C)=CCC\C(C)=C\C=C\C(C)=O,CC(=O)/C=C/C=C(\C)CCC=C(C)C,-3.2972120668
C=CN1CCN(C=C)C1=O,C=CN1CCN(C=C)C1=O,-1.1558864442
Nc1cc(ccc1O)[N+]([O-])=O,Nc1cc([N+](=O)[O-])ccc1O,-2.2056018566
[Mg++],[Mg+2],-2.4020693383
O=[Ca],[Ca+2].[O-2],-1.7683268794999998
[O-][N+](=O)c1ccc2NC(=O)Nc2c1,O=c1[nH]c2ccc([N+](=O)[O-])cc2[nH]1,-3.2740875474
Cc1ccc(cc1)[S](=O)(=O)/C(=C/N2CC(=O)NC2=S)C#N,Cc1ccc(S(=O)(=O)/C(C#N)=C/N2CC(=O)NC2=S)cc1,-3.5292992951
CCC1=C(O)C(=O)C=CO1,CCc1occc(=O)c1O,-1.1759580204
COC(=O)Cc1ccccc1,COC(=O)Cc1ccccc1,-2.2114017234
O.[Pb].O[S](O)(=O)=O,O.O=S(=O)(O)O.[Pb],-4.226296415899999
Cc1c(Cl)cccc1[N+]([O-])=O,Cc1c(Cl)cccc1[N+](=O)[O-],-3.2706864295
[OH-].[OH-].[Ca++],[Ca+2].[OH-].[OH-],-1.9107299257
[Si+4].[Si+4].[Si+4].[O-][P]([O-])([O-])=O.[O-][P]([O-])([O-])=O.[O-][P]([O-])([O-])=O.[O-][P]([O-])([O-])=O,O=P([O-])([O-])[O-].O=P([O-])([O-])[O-].O=P([O-])([O-])[O-].O=P([O-])([O-])[O-].[Si+4].[Si+4].[Si+4],-3.0559869634
CCCCCCCl,CCCCCCCl,-3.1223887332
CC(=C)C(=O)OCC(F)(F)F,C=C(C)C(=O)OCC(F)(F)F,-2.2684756839
[O-][N+](=O)O[Bi](O[N+]([O-])=O)O[N+]([O-])=O,O=[N+]([O-])[O-].O=[N+]([O-])[O-].O=[N+]([O-])[O-].[Bi+3],-2.642008137
CCCCCCC(C)=O,CCCCCCC(C)=O,-2.1536963273
CCCCC/C=C/CC(CC(O)=O)C(O)=O,CCCCC/C=C/CC(CC(=O)O)C(=O)O,-2.4042405739
