SMILES,LogS
O=c1cc(-c2ccco2)[nH]c2ccccc12,-3.940058111938045
CC1(C)Oc2ncnc(N)c2N=C1c1ccc([C@H]2CC[C@H](CC(=O)O)CC2)cc1,-3.929962133392245
O=C(NNc1nc2ccccc2o1)c1ccccc1,-3.8900841369762067
CCn1c(-c2nonc2N)nc2c(C#CC(C)(C)O)ncc(OCC3CCCNC3)c21,-3.8699880503280957
COc1cccc(NC(=O)Cn2cc(Oc3ncnc4cc(OC)c(OCCN5CCCCC5)cc34)cn2)c1,-3.8498578381514412
Cc1ccc(NC(=O)c2cscn2)cc1-n1cnc2ccc(N3CCN(C)CC3)cc2c1=O,-3.3399887787106692
Nc1nnc(-c2ccccc2F)s1,-3.50003813440381
O=C(N[C@@H](Cc1ccc(OCCNc2nc3ccccc3[nH]2)cc1)C(=O)O)c1c(Cl)cccc1Cl,-3.4899914870597653
O=C(O[C@H]1C[N+]2(CCCOc3ccccc3)CCC1CC2)C(O)(c1cccs1)c1cccs1,-3.4700565983413307
Cc1cc(CN2Cc3ccccc3C[C@H]2C(=O)Nc2ccc(Cl)cc2Cl)ccc1OCC(=O)O,-3.4600461583436033
Cc1cc(C)c(C(=O)N[C@@H](CNC(=O)CO[C@@H]2C[C@@H](CNc3ccccn3)N(C(=O)OCc3ccccc3)C2)C(=O)O)c(C)c1,-3.4100503986742923
CCSc1nc2c(N)ncnc2[nH]1,-3.3600157519584113
Cc1ccc(NC(=O)c2ccnc(N3CCOCC3)c2)cc1Nc1ccnc(OCC(C)(C)CN(C)C)n1,-3.3099812192113047
O=C(O)c1cc2c(F)cccc2n1Cc1ccc(Cl)c(Cl)c1,-3.280006173632396
O=C(O)c1cc2cc([N+](=O)[O-])ccc2n1Cc1ccc(Cl)c(Cl)c1,-3.2600323032404908
Cc1cccc2c3cc(NC(=O)N4CCOCC4)ccc3n(C(C)C)c12,-5.292429823902063
CN(C)CCSc1nc2ccc(Br)cc2cc1-c1ccccc1,-5.022276394711152
CN(C)CC(O)COc1ccc(Nc2ncc(Cl)c(Nc3ccccc3)n2)cc1,-4.410050398674292
CC(C)Oc1cc(OCC2CCCC2)cc(C(=O)Nc2ccc(C(=O)O)cn2)c1,-4.34008379993015
COc1ccc(CN2CCc3c([nH]c4ccccc34)C2)cc1OC,-4.289882634888183
Cc1cc(COc2cnc(N3CCN(C(=O)OC(C)(C)C)CC3)nc2)ccn1,-4.179798540514359
Cc1ncc(-c2ccnc(Nc3ccc(S(=O)(=O)CC4CCCO4)cc3)n2)n1C(C)C,-4.1598939055432425
Cc1c(Oc2ccc(S(C)(=O)=O)cc2F)ncnc1OC1CCN(C(=O)OC(C)C)CC1,-5.522878745280337
c1ccc(-c2ccc(C(c3ccccc3)n3ccnc3)cc2)cc1,-5.958607314841775
CN(C(=O)Cc1ccc(-n2cnnn2)cc1)C1CCN(Cc2nc3cc(F)ccc3s2)CC1,-5.823908740944319
CCCSc1ccc2[nH]c(NC(=O)OC)nc2c1,-5.795880017344075
c1ccc(Nc2ccccc2)cc1,-3.750068243365805
Cc1c(Cl)cccc1S(=O)(=O)Nc1nc(CC(=O)N2CCN(C)CC2)cs1,-2.9599913639864583
Nc1ccc(C(=O)Nc2cccc(-c3nc(N4CCOCC4)c4oc5ncccc5c4n3)c2)cn1,-6.301029995663981
CC(C)/N=c1\cc2n(-c3ccc(Cl)cc3)c3ccccc3nc-2cc1Nc1ccc(Cl)cc1,-6.154901959985743
COc1cccc(NC(=O)Cn2cc(Oc3ncnc4cc(OC)c(OC)cc34)cn2)c1,-5.5376020021010435
Cc1ccccc1/N=N/c1ccc(NC(=O)c2ccnn2C)c(C)c1,-5.494850021680094
COc1cccc(-c2c[nH]c(-c3ccccc3)n2)c1,-4.440093374963888
Clc1ccc2c(c1Nc1ccnc(Nc3cc(N4CCOCC4)cc(N4CCOCC4)c3)n1)OCO2,-4.510041520575165
O=C(Nc1ccccc1)Nc1ccncc1,-2.8699880503280957
CC(C)C(NC(=O)c1cnoc1C(C)(C)C)C(=O)c1ccc(C#N)cc1,-4.698970004336019
Nc1nc(N)c2nc(-c3ccccc3)c(N)nc2n1,-4.0101054362812265
Fc1ccc(Nc2ncnc3ccccc23)cc1Cl,-5.107905397309519
COc1cnc(Cl)c(Nc2ncnc3cc(OCCN4CCN(C(C)=O)CC4)cc(OC(C)C)c23)n1,-4.649751981665837
CS(=O)(=O)c1ccc(N2CCN(C(=O)[C@@H]3CCCC[C@H]3C(=O)NCC#N)CC2)cc1,-3.560036064079095
NC(=O)c1ccc(I)c([N+](=O)[O-])c1,-3.3799681048737025
CS(=O)(=O)c1ccc([C@@H](CC2CCCC2)C(=O)Nc2cnc([C@H](O)CO)cn2)cc1Cl,-3.330032630091496
CCOC(=O)c1ccc(OCCC2CN(c3ccc(C)nn3)CCO2)cc1,-4.801342913045577
CC(C)(C)NC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2CN1C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(N)=O)NC(=O)c1ccc2ccccc2n1,-4.440093374963888
CCCSc1ncccc1C(=O)NC1CCC(F)(F)CC1,-4.219682687859849
CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21,-5.6020599913279625
CCc1cc(NC(=O)Cc2ccc(Oc3ccnc4cc(OC)ccc34)cc2OC)no1,-5.376750709602099
C[C@]1(O)C[C@@H](c2nc(-c3ccc4ccc(-c5ccccc5)nc4c3)c3c(N)nccn32)C1,-5.886056647693163
O=S(=O)(c1ccc(F)cc1)N1CCCN(c2nccc(C(F)(F)F)n2)CC1,-6.045757490560675
O=c1cc(CN2CCOCC2)occ1OCCCCCSc1ccnc2cc(C(F)(F)F)ccc12,-4.110138278741812
CCc1nc2c(N)nc3ccccc3c2n1CCCCNS(C)(=O)=O,-3.2700257143004445
Cc1ccc(NC(=O)c2cncs2)cc1-n1cnc2ccc(N3CCN(C)CC3)cc2c1=O,-3.2700257143004445
COc1ccc(Br)c2c1C(=O)CC2,-3.119987161633228
O=C(c1ccc(F)cc1)C1CCN(C(=O)c2ccccc2OC(F)(F)F)CC1,-3.8401321529074335
COc1ccc(-c2ccc3c(N4CCOC[C@@H]4C)nc(N4CCOC[C@@H]4C)nc3n2)cc1C(C)O,-3.7999707334462296
CCOC(=O)c1ccc(OCC2CCN(c3ccc(C)nn3)C2)cc1,-3.770062314092066
CN(C(=O)Cc1ccccc1)C1CCN(CCC(c2ccccc2)c2ccccc2)CC1,-3.770062314092066
Nc1ccccc1NC(=O)c1ccc(N2CCOCC2)cc1,-3.7399286120149253
CCOc1ccc(NC(=O)CCc2c(C)nc3nc(C)nn3c2C)cc1,-3.720105019988362
COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OC/C=C/CN1CCCC1,-3.619969752032169
Cc1ccc(Oc2ccc(Nc3ncnc4cccc(O[C@@H](C)C(=O)N5CCOCC5)c34)cc2C)cn1,-4.5003129173815966
CCOC(=O)c1ccc(OCCC2CCN(c3ccc(C)nn3)CC2)nc1,-4.050122295963125
CC/C(=C(/c1ccc(O)cc1)c1ccc(/C=C/C(=O)O)cc1)c1ccccc1,-6.0
COc1ccccc1C(=O)Nc1ccc(C)c(-n2cnc3ccc(N4CCN(C)CC4)cc3c2=O)c1,-4.11975822410452
CCn1cc(NC(=O)Cc2ccc(Oc3ccnc4cc(F)ccc34)cc2OC)cn1,-5.698970004336019
Cc1cc(Oc2ccnc(Nc3ccc(S(N)(=O)=O)cc3)c2)c(-c2ccccn2)nc1C,-5.6020599913279625
O=C(NCCNC(=O)c1cn(-c2ccccc2)nc1C(F)(F)F)c1ccc(Cl)cn1,-5.468521082957745
O=C(NC1Cc2ccccc2N(CCO)C1=O)c1cc2cc(Cl)sc2[nH]1,-4.860120913598763
CN1CCC(Oc2cccc3ncnc(Nc4ccc(OCc5ccccn5)c(Cl)c4)c23)CC1,-5.823908740944319
CS(=O)(=O)N1CC2(CCN(C(=O)Nc3cnc(-c4ccccc4)cn3)CC2)c2ccccc21,-6.698970004336019
CC(C)Cn1c(=O)n(C)c(=O)c2c(SCCCO)c(Cc3cccc4ccccc34)sc21,-6.698970004336019
COCCNS(=O)(=O)c1ccc(Nc2nccc(-c3cnc4ccccn34)n2)cc1,-6.154901959985743
CCOc1cc(-c2cccc3c(=O)cc(N4CCOCC4)oc23)ccc1NC(=O)CN1CCOCC1,-5.853871964321762
Cc1ncc(-c2ccnc(Nc3ccc(N(C)C)cc3)n2)n1C(C)C,-4.0
Cc1nc(CSc2ccc(Cl)cc2)cc(N2CCOCC2)n1,-3.969805214643249
Oc1nc(-c2ccccc2)c(-c2ccccc2)o1,-3.969805214643249
CC(C)Oc1cc(O[C@H](C)c2ccccc2)cc(C(=O)Nc2ccc(C(=O)O)cn2)c1,-3.9500071430798576
Cc1ncc(-c2ccnc(Nc3ccc(C(N)=O)cc3)n2)n1C(C)C,-3.8699880503280957
CC(C)c1ccc2[nH]c3c(c2c1)CN(C(=O)[C@@H]1CCCC[C@H]1C(=O)NC1(C#N)CC1)CC3,-4.079876673709276
Cc1cc(C)cc(-c2[nH]c3sc(C(C)(C)C(=O)N4C5CCC4CC5)cc3c2CCN2CCN(CC(=O)N3CCOCC3)CC2)c1,-4.059981844992337
CCN(C(=O)Cc1ccc(S(N)(=O)=O)cc1)C1CCN(CCC(c2ccccc2)c2ccccc2)CC1,-4.050122295963125
Cc1ccc(C(=O)Nc2nccs2)cc1-n1cnc2ccc(N3CCN(C)CC3)cc2c1=O,-4.0400051616715835
Cc1cc(C)cc(-c2[nH]c3sc(C(C)(C)C(=O)N4C5CCC4CC5)cc3c2CCN2CCC(C(=O)N3CCOCC3)CC2)c1,-4.0400051616715835
CCN(C(=O)Cc1ccc(S(C)(=O)=O)cc1)C1CCN(CC[C@H](c2ccc(S(C)(=O)=O)cc2)c2cccc(F)c2)CC1,-3.630042392653947
COc1cc(C(=O)NS(=O)(=O)c2ccccc2)ccc1Cn1ncc2ccc(NC(=O)CC3CCCC3)cc21,-3.5999803649348414
COC[C@H](C)Oc1cc(Oc2cccc(F)c2)cc(C(=O)Nc2ccc(C(=O)O)cn2)c1,-2.859995049380551
CSc1nc(N)n2nc(-c3ccco3)nc2n1,-3.819874124835946
C[C@H](Oc1cccc2ncnc(Nc3ccc4c(cnn4Cc4ccccn4)c3)c12)C(=O)N1CCOCC1,-3.779891911959945
CCC(C)(C)NC(=O)Cc1ccc(C)cc1,-3.619969752032169
CCCc1c(O)c(O)c(C(=O)O)c2cc(Cc3ccccc3)c(C)cc12,-3.6899442622491088
Cc1nc(C)c(-c2ccc([C@H]3CC[C@H](CC(=O)O)CC3)c(Cl)c2)nc1C(N)=O,-3.6800615600196913
COc1cc2c(Nc3cc(CC(=O)Nc4cccc(F)c4)[nH]n3)ncnc2cc1OCCCNCCO,-3.659952682338607
O=C(NCC12CC3CC(CC(C3)C1)C2)c1cc(N2CCNCC2)ccc1Cl,-3.6499459064209696
CC(CCc1cccc(OCc2ccc3ccccc3n2)c1)CC(=O)O,-3.6399749108106025
CS(=O)(=O)n1c2ccccc2c2cc(NC(=O)N3CCOCC3)ccc21,-3.5999803649348414
O=C(O)Cc1cccc(-c2ccc(NC(=O)c3nnc(Nc4ccccc4F)o3)cc2)c1,-3.5900668766687054
NC(=O)Nc1sc(-c2ccccc2)cc1C(=O)Nc1ccccc1,-6.221848749616356
CC(C)Cn1c(=O)n(C)c(=O)c2c(SCCCO)n(Cc3cccc4ccccc34)cc21,-5.638272163982407
O=C(NCc1ccc(C(=O)Nc2ccccc2O)cc1)OCc1cccnc1,-5.455931955649724
CC(=O)Nc1ccc(CNc2[nH]nc3cccc(Oc4ccc(S(C)(=O)=O)cc4)c23)cc1,-5.366531544420414
Cn1cc(C2=C(c3cccc(NCC(O)CO)c3)C(=O)NC2=O)c2cc(F)ccc21,-5.356547323513812
CS(=O)(=O)C1(c2cc(N3CCOCC3)nc(-c3cccc4[nH]ccc34)n2)CC1,-5.337242168318426
COc1cccc(Nc2nnc(C(=O)Nc3ccc(N4CCOCC4)nc3)o2)c1,-5.337242168318426
CNC(=O)c1ccc(CN2CCC(c3ccc(C(=O)Nc4ccccc4N)cc3)CC2)cc1,-5.318758762624412
CN(C(=O)Cc1ccc(F)cc1)C1CCN(CCC(c2ccccc2)c2ccccc2)CC1,-3.8900841369762067
O=C(Cc1cc(Nc2ncnc3cc(OCCCN4CCC[C@@H]4CO)ccc23)n[nH]1)Nc1cccc(F)c1F,-3.8498578381514412
Cc1onc(CO)c1C(=O)Nc1nccs1,-3.8401321529074335
Cc1ccc2[nH]ccc2c1-c1nc(N2CCOCC2)cc(C2(S(C)(=O)=O)CC2)n1,-4.019996628416254
C[C@H]1COCCN1c1nc(N2CCOC[C@@H]2C)c2ccc(-c3ccc4nc[nH]c(=O)c4c3)nc2n1,-3.9800533183211577
O=c1[nH]c2c(O)ccc([C@@H](O)CNCCc3cccc(CNCCc4ccccc4Cl)c3)c2s1,-3.929962133392245
Nc1ccccc1NC(=O)c1ccc(C2CCN(Cc3ccccc3)CC2)cc1,-3.910094888560602
Cc1c(Br)sc2nc(O)c(-c3ccccc3)c(O)c12,-5.4089353929735005
Cn1c(=O)n(Cc2ccc(C(=O)O)cc2)c(=O)c2cc(C#CCc3ccccc3)ccc21,-5.522878745280337
Cc1cccc(Nc2nnc(C(=O)Nc3ccc(N4CCOCC4)nc3)o2)c1,-5.318758762624412
CS(=O)(=O)C1(c2cc(N3CC4CCC(C3)O4)nc(-c3cccc4[nH]ccc34)n2)CC1,-5.309803919971486
COc1cc(NC(=O)Nc2cccc(CNC(=O)O[C@H]3CCOC3)c2)ccc1-c1cnco1,-5.886056647693163
CCOC(=O)c1ccccc1-c1csc(NS(=O)(=O)c2ccc(Cl)cc2)n1,-5.853871964321762
COc1ccc(C(=O)Nc2cccc(NC(=O)c3cccc(N(C)C)c3)c2)cc1OC,-5.853871964321762
COc1cc2ncc(C#N)c(Nc3ccc(Oc4ccccc4)cc3)c2cc1OC,-5.853871964321762
CC(C)S(=O)(=O)C1(c2cc(N3CCOCC3)nc(-c3cccc4[nH]ccc34)n2)CC1,-5.823908740944319
CNC(=O)[C@@H](C)Oc1cccc2ncnc(Nc3ccc(OCc4ccccn4)c(Cl)c3)c12,-5.795880017344075
CC(=O)N1CCC(n2cc(-c3cnc(N)c(-c4nc5ccccc5o4)c3)cn2)CC1,-5.769551078621726
CS(=O)(=O)C1(c2cc(N3CCOCC3)nc(-c3cccc4[nH]ccc34)n2)CCOCC1,-5.7447274948966935
O=C1COC2(CCN(S(=O)(=O)c3ccc(-c4ccc5cccnc5c4)cc3)CC2)CN1C1CC1,-5.721246399047171
COc1cccc(NC(=O)Cc2ccc(Oc3ncnc4cc(OC)c(OC)cc34)cc2)c1,-5.698970004336019
Cc1ccc(C(=O)C2CCN(S(=O)(=O)c3c(C)noc3C)CC2)cc1,-5.6777807052660805
O=C(CO)N1CCC[C@@H]1COc1cccc2ncnc(Nc3ccc(OCc4ccccn4)c(Cl)c3)c12,-5.657577319177793
CN(C)C(=O)[C@H](Cc1ccccc1)NC(=O)c1cc2cc(Cl)ccc2[nH]1,-5.585026652029182
Cc1cc(C)cc(-c2[nH]c3sc(C(C)(C)C(=O)N4C5CCC4CC5)cc3c2CCN2CCC(CC(=O)N3CCOCC3)CC2)c1,-5.721246399047171
N#Cc1nc(NC2CCCCC2)c(N)c(N2CCOCC2)n1,-5.494850021680094
C[C@H](CO)Nc1nc(SCc2cccc(F)c2F)nc2[nH]c(=O)cnc12,-5.455931955649724
N#Cc1ccccc1COc1cc(OCCCN2CCCC2)ccc1C(=O)Nc1cccc(O)c1,-3.439973751087108
O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CCN(C(=O)C2CCOC2)CC1,-3.4199878874705756
Cc1c(-c2ccccc2F)c(=O)n(C[C@H](N)c2ccccc2)c(=O)n1Cc1c(F)cccc1F,-3.3899789753358545
COc1cc2c(Nc3cc(CC(=O)Nc4cccc(F)c4F)[nH]n3)ncnc2cc1OCCCN1CCC[C@@H]1CO,-3.090016305060156
CCN(C(=O)Cc1ccc(S(C)(=O)=O)cc1)C1CCN(CCC(c2ccccc2)C2CCN(Cc3ccccc3)CC2)CC1,-3.0499760934766735
Cc1ccc(S(=O)(=O)Nc2c(C(=O)N[C@@H](C)C(C)(C)C)c(C)nn2C2CCSCC2)cc1,-3.040005161671584
CNC(=O)[C@@H](NC(=O)[C@H](CC(C)C)[C@H](OCc1cc2c(O)nc(C)nc2cc1Br)C(=O)NO)C(C)(C)C,-3.3399887787106692
CNC(=O)Cc1ccc2c(=O)cc(-c3cccnc3)[nH]c2c1,-3.3399887787106692
NC(=O)Nc1sc(-c2ccc(CNC3CCCC3)cc2)cc1C(N)=O,-3.3200273057225815
Nc1nccc(-c2ccccc2)n1,-3.240030142445693
C[C@H](CO)Nc1nc(SCc2cccc(F)c2F)nc2nc(NS(C)(=O)=O)sc12,-3.0799810839710853
CN(C)CCOc1ccc(-c2oc3ncnc(NC[C@@H]4CCCO4)c3c2-c2ccccc2)cc1,-4.1598939055432425
O=C(NCC12CC3CC(CC(C3)C1)C2)c1cc(CN2CCNCC2)ccc1Cl,-4.130181792020672
Cc1ncc(-c2ccnc(Nc3ccc(C(=O)N(C)C)c(F)c3)n2)n1C(C)C,-3.880084589742009
CN1CCN(c2ccc(NC(=O)c3nnc(Nc4ccccc4F)o3)cn2)CC1,-4.0400051616715835
CN(C)C(=O)c1cc(-c2nc(N3CCOCC3)cc(C3(S(C)(=O)=O)CC3)n2)c2cc[nH]c2c1,-4.0
Cc1cc(C)cc(-c2[nH]c3sc(C(C)(C)C(=O)N4C5CCC4CC5)cc3c2CCN2CCC(CNC(=O)N3CCOCC3)CC2)c1,-3.9500071430798576
COc1cc(N2CCN(C(=O)[C@H](C)O)CC2)ccc1Nc1ncc(Cl)c(-c2cnc3ccccn23)n1,-5.823908740944319
COCC(=O)N1CCC(n2cc(-c3cnc(N)c(-c4nc5ccccc5o4)c3)cn2)CC1,-5.721246399047171
COc1cc2nccc(Nc3ccc(Oc4ccccc4)cc3)c2cc1OC,-5.585026652029182
COc1cc2c(NC(=O)Nc3ccccc3Cl)ncnc2cc1OCC1CCN(C)CC1,-6.522878745280337
NC1(C(=O)NC(c2ccc(Cl)cc2)C2CC2)CCN(c2ncnc3[nH]ccc23)CC1,-4.510041520575165
CN(C)C(=O)[C@H](O)[C@H](Cc1ccccc1)NC(=O)c1cc2cc(Br)ccc2[nH]1,-4.5003129173815966
CC(C)OC(=O)c1cn(Cc2c(F)cccc2F)c2sc(-c3ccc(NC(=O)C(C)C)cc3)c(CN(C)Cc3ccccc3)c2c1=O,-4.42021640338319
CC(C)Nc1nc(C#N)nc(N2CCOCC2)c1N,-4.410050398674292
COCCNS(=O)(=O)c1ccc(Nc2nccc(-c3cnc(C)n3C3CCCC3)n2)cc1,-4.270025714300444
C[C@H](CO)Nc1nc(SCc2cccc(F)c2F)nc2[nH]c(=O)c(=O)[nH]c12,-4.209714835966758
Cc1cc(N)nc(CCNC(=O)c2ccc(C#N)cc2)c1,-4.189767482004916
COc1ccc(Cl)c(Nc2ncnc3cc(OCCCN4CCOCC4)c(OC)cc23)c1,-4.140261433802853
COc1cc(Nc2nccc(Nc3c(Cl)ccc4c3OCO4)n2)cc(OC)c1OC,-5.267606240177032
Cc1ncc(-c2nc(Nc3ccc(C(N)=O)c(F)c3)ncc2F)n1C(C)C,-5.221848749616356
O=C(c1ccc(F)cc1)C1CCN(C(=O)c2cc(F)cc(F)c2)CC1,-5.221848749616356
CN1CCN(S(=O)(=O)c2ccc(-c3cnc(N)c(C(=O)Nc4cccnc4)n3)c(C(F)(F)F)c2)CC1,-5.207608310501746
CCCCC(CC)CNC(=O)c1ccc2c(c1)c(Cc1ccc(C(=O)NS(=O)(=O)c3ccccc3C)cc1OC)cn2C,-5.187086643357144
CC(C)(C)OC(=O)N1CCN(c2ncc(OCc3ccncc3S(C)(=O)=O)cn2)CC1,-5.161150909262744
CCCCCCCCc1ccc(NC(=O)[C@H]2NCC[C@@H]2O)cc1,-5.161150909262744
Cc1cc(NC(=O)Nc2cccc(-c3ncn(C)c3-c3cc4c(N)ncnc4s3)c2)on1,-5.142667503568732
O=C(Nc1nc2c(=O)[nH]cnc2s1)c1ccccc1,-5.130768280269024
O=C(O)c1ccccc1Cn1nnc(-c2cccc(OCc3ccc4ccccc4n3)c2)n1,-5.107905397309519
O=C(c1ccc(F)cc1)C1CCN(C(=O)c2ccc(Cl)cc2Cl)CC1,-5.107905397309519
Cc1ccc(NC(=O)c2cccc(N(C)S(C)(=O)=O)c2)cc1NC(=O)c1ccc2ncccc2c1,-5.102372908709558
O=C(N1CCC(c2ccncc2)CC1)N1CCN(S(=O)(=O)c2ccc(Cl)cc2)CC1,-5.060480747381382
CCN(C(=O)Cc1ccc(S(C)(=O)=O)cc1)C1CCN(Cc2ccc(C(F)(F)F)cc2)CC1,-5.050609993355087
COc1cc(N2CCN(C(C)=O)CC2)ccc1Nc1ncc(C(F)(F)F)c(-c2cnc3ccccn23)n1,-5.050609993355087
CN(C)S(=O)(=O)n1c2ccccc2c2cc(NC(=O)CCc3ccncc3)ccc21,-5.022276394711152
Cc1nc(-c2ccc(CN3CCC(N(C)C(=O)Cc4ccc(-n5cnnn5)cc4)CC3)cc2)no1,-4.991399828238082
C[C@@H]1CN(CC2(C(N)=O)CC2)CCN1S(=O)(=O)c1ccc(C(C)(O)C(F)(F)F)cc1,-4.97061622231479
CN(C)C(=O)COc1cccc2ncnc(Nc3ccc4c(cnn4Cc4ccccn4)c3)c12,-4.97061622231479
CN(C)C(=O)[C@H](Cc1ccccc1)NC(=O)c1cc2ccsc2[nH]1,-4.939302159646388
C[S+]([O-])CCN1C(=O)C(NC(=O)c2cc3cc(Cl)sc3[nH]2)Cc2ccccc21,-4.939302159646388
Cc1cc(F)ccc1CCC1CCN(S(=O)(=O)CC2(N(O)C=O)CCOCC2)CC1,-4.860120913598763
Cc1ccc(NC(=O)c2ccnc(N3CCOCC3)c2)cc1Nc1ccnc(Cl)n1,-4.82102305270683
O=C(CSc1ccncc1)Nc1ccc(C(=O)c2ccccc2)cc1,-4.769551078621726
COCCOc1nc(N)c2[nH]c(=O)n(Cc3cccc(CC(=O)OC)c3)c2n1,-4.6595558851598815
O=C(O)c1ccc(NC(=O)c2cc(OCc3ccccc3)cc(OCc3ccccc3)c2)nc1,-5.443697499232712
CC(C)C[C@H](N[C@@H](c1ccc(-c2ccc(S(C)(=O)=O)cc2)cc1)C(F)(F)F)C(=O)NCC#N,-5.3979400086720375
CN(C)S(=O)(=O)NC(=O)CCCc1c(-c2ccc(F)cc2)[nH]c2ccc(C#N)cc12,-5.318758762624412
COc1cc(Nc2cc(Nc3c(Cl)ccc4c3OCO4)ncn2)cc(OC)c1OC,-5.6020599913279625
O=C(O)[C@H](Cc1ccccc1)N1CCC(CN2CCC(Oc3ccc(Cl)c(Cl)c3)CC2)CC1,-4.8696662315049934
COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1OCC1CCN(C)CC1,-4.82102305270683
Cc1cc(C)cc(-c2[nH]c3ccc(C(C)(C)C(=O)N4C5CCC4CC5)cc3c2CCN(C)CCCCc2ccncc2)c1,-6.045757490560675
C[C@@H]1CN(c2nc(N3CCOC[C@@H]3C)c3ccc(-c4ccccc4)nc3n2)C[C@H](C)O1,-4.179798540514359
CNC(=O)c1ccc(Nc2nccc(-c3cnc(C)n3C(C)C)n2)cc1F,-4.149966742310231
CCc1cc(C(=O)N[C@@H](Cc2cccc(Cl)c2)C(=O)NCC#N)n(C)n1,-4.440093374963888
Cc1cc2n[nH]c(=O)n2c2ccccc12,-4.379863945026242
C=CCN(C(=O)NCc1ccc(OC)cc1)C1CCN(CCC(c2ccccc2)c2ccccc2)CC1,-4.270025714300444
COc1cc(Nc2cc(Oc3cccnc3C)ccn2)cc(OC)c1OC,-4.219682687859849
CC(C)Cn1c(=O)n(C)c(=O)c2c(C(=O)N3CC[C@@H](O)C3)c(Cc3ccnc4ccc(F)cc34)sc21,-3.0599818449923366
O=C(NCc1ccncc1)c1ccc(Oc2ccc(C#CC3(O)CN4CCC3CC4)cc2)cc1,-3.5699249444480605
Cn1cnc(-c2ccccc2)c1/C=C/c1ccnc(N)n1,-3.5500590112266623
COC[C@H](C)Oc1cc(O[C@@H](C)Cc2ccccc2OC)cc(C(=O)Nc2ccc(C(=O)O)cn2)c1,-3.2300321986705574
Nc1ncnc2c1nc(Sc1nc3cccc(Cl)c3s1)n2CCO,-5.698970004336019
CN(C)C(=O)[C@H](O)[C@H](Cc1ccccc1)NC(=O)c1cc2cc(Cl)ccc2[nH]1,-4.640164517660112
c1csc(-c2n[nH]c3c2Cc2ccccc2-3)c1,-6.221848749616356
O=C(N[C@@H]1Cc2ccccc2N(C[C@H](O)CO)C1=O)c1cc2cc(Cl)sc2[nH]1,-4.910094888560602
CC(=O)N1CCN(c2ccc(Nc3nccc(-c4cnc(C)n4C(C)C)n3)cc2)CC1,-3.8300318260031077
Cc1ccccc1C[C@@H](C(=O)O)N1CCC(CN2CCC(Oc3ccc(Cl)c(Cl)c3)CC2)CC1,-4.910094888560602
CN(C(=O)Cc1ccc(S(C)(=O)=O)cc1)[C@@H]1CCN(Cc2ccc(C(F)(F)F)cc2)C[C@@H]1F,-4.889410289700751
