Unnamed: 0,SMILES,LogS,Standardized_SMILES
62,SCCC(=O)OCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS,-5.1231687481,O=C(CCS)OCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS
63,Cc1cc(cc(C)c1O)C(C)(C)c2cc(C)c(O)c(C)c2,-4.952868802799999,Cc1cc(C(C)(C)c2cc(C)c(O)c(C)c2)cc(C)c1O
64,CCCCCCCCCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCC,-5.4730005799,CCCCCCCCCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCC
65,CCOC(=O)CC(C)CC(C)(C)C,-3.8230431676,CCOC(=O)CC(C)CC(C)(C)C
66,[Ca++].[O-][Si]([O-])=O,-2.6500869941,O=[Si]([O-])[O-].[Ca+2]
67,CCc1ccc(C)nc1,-1.0042604536,CCc1ccc(C)nc1
68,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1OC(=O)[C@H](C)O,-2.9799872046,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1OC(=O)[C@H](C)O
69,C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@]34C)[C@@H]1CC[C@]2(O)C(=O)CO,-3.1784471289,C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO
70,[Na+].[Na+].Cc1ccc(Nc2ccc(Nc3ccc(C)cc3[S]([O-])(=O)=O)c4C(=O)c5ccccc5C(=O)c24)c(c1)[S]([O-])(=O)=O,-1.4270312571,Cc1ccc(Nc2ccc(Nc3ccc(C)cc3S(=O)(=O)[O-])c3c2C(=O)c2ccccc2C3=O)c(S(=O)(=O)[O-])c1.[Na+].[Na+]
71,[O--].[O--].[O--].[O--].[O--].[O--].[O--].[O--].[O--].[Al+3].[Al+3].[Mo].[Mo],-4.2291529922,[Al+3].[Al+3].[Mo].[Mo].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2]
72,CC(=C)C(=O)OCCOc1ccccc1,-2.9526471698,C=C(C)C(=O)OCCOc1ccccc1
73,CCCCOCCOCCOCc1cc2OCOc2cc1CCC,-4.1510889183,CCCCOCCOCCOCc1cc2c(cc1CCC)OCO2
74,CF,-0.1758743764999999,CF
75,C(COc1ccccc1)Oc2ccccc2,-3.9885265275,c1ccc(OCCOc2ccccc2)cc1
76,CCc1cc(Cc2cc(CC)c(N)c(CC)c2Cl)c(Cl)c(CC)c1N,-7.2780387128,CCc1cc(Cc2cc(CC)c(N)c(CC)c2Cl)c(Cl)c(CC)c1N
77,[Na+].Cc1cc(C)c(Nc2cc(c(N)c3C(=O)c4ccccc4C(=O)c23)[S]([O-])(=O)=O)c(C)c1CNC(=O)c5ccccc5,-1.4396051212999998,Cc1cc(C)c(Nc2cc(S(=O)(=O)[O-])c(N)c3c2C(=O)c2ccccc2C3=O)c(C)c1CNC(=O)c1ccccc1.[Na+]
78,CCCC(CCC)C(O)=O,-1.8579774272,CCCC(CCC)C(=O)O
79,[Zn++].[S-]c1sc2ccccc2n1.[S-]c3sc4ccccc4n3,-4.285895804,[S-]c1nc2ccccc2s1.[S-]c1nc2ccccc2s1.[Zn+2]
80,Oc1ccccc1.ClCC2CO2.C=O,-4.0347567611,C=O.ClCC1CO1.Oc1ccccc1
81,CCCCCC/C=C/C1CC(=O)OC1=O,-4.0217535152,CCCCCC/C=C/C1CC(=O)OC1=O
82,CC(=C)C(O)=O.CC(C)(c1ccc(O)cc1)c2ccc(O)cc2.ClCC3CO3,-5.229282852,C=C(C)C(=O)O.CC(C)(c1ccc(O)cc1)c1ccc(O)cc1.ClCC1CO1
83,CC1=CC[C@H]2C[C@@H]1C2(C)C,-4.7725704235,CC1=CC[C@H]2C[C@@H]1C2(C)C
84,C[Si](C)(C)O[Si](C)(C)C,-4.909505216,C[Si](C)(C)O[Si](C)(C)C
85,FC(=C)C(F)(F)F,-2.7599573667,C=C(F)C(F)(F)F
86,O=C1Oc2ccccc2C=C1,-1.8860303607,O=c1ccc2ccccc2o1
87,CC(=C)C1CCC(=CC1)C,-3.8464965295,C=C(C)C1CC=C(C)CC1
88,[Na+].CCN(CC)c1ccc([C+](c2ccc(cc2)N(CC)Cc3cccc(c3)[S]([O-])(=O)=O)c4ccc(cc4)N(CC)Cc5cccc(c5)[S]([O-])(=O)=O)c(C)c1,-0.6229779303,CCN(CC)c1ccc([C+](c2ccc(N(CC)Cc3cccc(S(=O)(=O)[O-])c3)cc2)c2ccc(N(CC)Cc3cccc(S(=O)(=O)[O-])c3)cc2)c(C)c1.[Na+]
89,S=[W]=S,-4.1391336425,[S-2].[S-2].[W+4]
90,[Na+].[Na+].CC1=NN(C(=O)C1N=Nc2ccc(c3ccc(cc3[S]([O-])(=O)=O)N=NC4C(=NN(C4=O)c5ccccc5)C)c(c2)[S]([O-])(=O)=O)c6ccccc6,-1.642781181,CC1=NN(c2ccccc2)C(=O)C1N=Nc1ccc(-c2ccc(N=NC3C(=O)N(c4ccccc4)N=C3C)cc2S(=O)(=O)[O-])c(S(=O)(=O)[O-])c1.[Na+].[Na+]
91,CC(=O)O[C@H]1C[C@H]2CC[C@@]1(C)C2(C)C,-3.0887781924,CC(=O)O[C@H]1C[C@H]2CC[C@@]1(C)C2(C)C
92,[Pb++].[O-][Si]([O-])=O,-6.6197116003,O=[Si]([O-])[O-].[Pb+2]
93,CCCC(=O)OC(C)(C)Cc1ccccc1,-4.1359426126,CCCC(=O)OC(C)(C)Cc1ccccc1
94,[Na+].[Na+].[O-][S](=O)(=O)c1ccc(N\N=C\2C=CC(=O)C(=N/Nc3ccc(c4ccccc34)[S]([O-])(=O)=O)\C2=O)c5ccccc15,-2.6038411441,O=c1cc/c(=N\Nc2ccc(S(=O)(=O)[O-])c3ccccc23)c(=O)/c1=N/Nc1ccc(S(=O)(=O)[O-])c2ccccc12.[Na+].[Na+]
95,CCCOCC(C)OCC(C)O,-0.0700526508,CCCOCC(C)OCC(C)O
96,CC1(C)CC(CC(C)(CN=C=O)C1)N=C=O,-4.1708247593,CC1(C)CC(N=C=O)CC(C)(CN=C=O)C1
97,CCCCCCCC\C=C/CCCCCCCC(O)=O.NCCNCCN,-4.4100874366000005,CCCCCCCC/C=C\CCCCCCCC(=O)O.NCCNCCN
98,CCN(CC[n+]1ccccc1)c2ccc(cc2)N=Nc3ccc(cc3Cl)[N+]([O-])=O.CC([O-])=O,-1.5218900849,CC(=O)[O-].CCN(CC[n+]1ccccc1)c1ccc(N=Nc2ccc([N+](=O)[O-])cc2Cl)cc1
99,O=C(Oc1ccccc1)Oc2ccccc2,-4.2169166627,O=C(Oc1ccccc1)Oc1ccccc1
100,CCCCC(CC)C(=O)OC=C,-4.1519109764,C=COC(=O)C(CC)CCCC
101,CC(=C)C(=O)NCNC(=O)C(C)=C,-1.1892367555,C=C(C)C(=O)NCNC(=O)C(=C)C
102,C\1C\C=C/CC\C=C1,-2.9659771733,C1=C\CC/C=C\CC/1
103,CO[Si](CCCN=C=O)(OC)OC,-3.2569810012,CO[Si](CCCN=C=O)(OC)OC
104,CCO[Si](CCCCl)(OCC)OCC,-3.3285834497000004,CCO[Si](CCCCl)(OCC)OCC
105,CCCCOC(=O)c1ccccc1C(=O)OCCCC,-4.3876832538,CCCCOC(=O)c1ccccc1C(=O)OCCCC
106,[Na+].[Na+].Cc1cc(C)c(c(C)c1Nc2ccc(Nc3c(C)cc(C)c(c3C)[S]([O-])(=O)=O)c4C(=O)c5ccccc5C(=O)c24)[S]([O-])(=O)=O,-1.7922611704,Cc1cc(C)c(S(=O)(=O)[O-])c(C)c1Nc1ccc(Nc2c(C)cc(C)c(S(=O)(=O)[O-])c2C)c2c1C(=O)c1ccccc1C2=O.[Na+].[Na+]
107,Oc1ccc(c(O)c1O)C(=O)c2ccccc2,-3.3451078238,O=C(c1ccccc1)c1ccc(O)c(O)c1O
108,CCCCCCCCC\C=C\CC1CC(=O)OC1=O,-4.4255032449,CCCCCCCCC/C=C/CC1CC(=O)OC1=O
109,CC(C)CC(C)CC(C)\C=C(/C)C1CC(=O)OC1=O,-4.4255032449,C/C(=C\C(C)CC(C)CC(C)C)C1CC(=O)OC1=O
110,CCCCCCCC\C=C/CCCCCCCC(=O)OCC(O)COB(O)O.CCCCCCCC\C=C/CCCCCCCC(=O)OCC(O)COB(O)OCC(O)COC(=O)CCCCCCC\C=C/CCCCCCCC.CCCCCCCC\C=C/CCCCCCCC(=O)OCC(O)COB(OCC(O)COC(=O)CCCCCCC\C=C/CCCCCCCC)OCC(O)COC(=O)CCCCCCC\C=C/CCCCCCCC,-5.345705158,CCCCCCCC/C=C\CCCCCCCC(=O)OCC(O)COB(O)O.CCCCCCCC/C=C\CCCCCCCC(=O)OCC(O)COB(O)OCC(O)COC(=O)CCCCCCC/C=C\CCCCCCCC.CCCCCCCC/C=C\CCCCCCCC(=O)OCC(O)COB(OCC(O)COC(=O)CCCCCCC/C=C\CCCCCCCC)OCC(O)COC(=O)CCCCCCC/C=C\CCCCCCCC
111,CCCCCCCCCC(=O)Oc1ccc(cc1)C(O)=O,-5.424547549700001,CCCCCCCCCC(=O)Oc1ccc(C(=O)O)cc1
112,CCO[Si](CCCSSCCC[Si](OCC)(OCC)OCC)(OCC)OCC,-5.676541808600001,CCO[Si](CCCSSCCC[Si](OCC)(OCC)OCC)(OCC)OCC
113,COc1ccc(\C=C\C(=O)OCCC(C)C)cc1,-5.4919252104,COc1ccc(/C=C/C(=O)OCCC(C)C)cc1
114,CCCCCCCCCCCCCCCC(=O)NCC(O)=O,-5.593122621900001,CCCCCCCCCCCCCCCC(=O)NCC(=O)O
115,C\1C\C=C/CC\C=C/CC/C=C1,-5.3651562541,C1=C\CC/C=C/CC/C=C\CC/1
116,CC(CCN(CCC(C)CC(C)(C)C)C(=S)S[Zn]SC(=S)N(CCC(C)CC(C)(C)C)CCC(C)CC(C)(C)C)CC(C)(C)C,-6.1025269393,CC(CCN(CCC(C)CC(C)(C)C)C(=S)[S-])CC(C)(C)C.CC(CCN(CCC(C)CC(C)(C)C)C(=S)[S-])CC(C)(C)C.[Zn+2]
117,BrCc1ccc(cc1)c2ccccc2C#N,-6.6566491092,N#Cc1ccccc1-c1ccc(CBr)cc1
118,CCCCCCCCCCCCCCCCCC(=O)OC1CC(C)(C)NC(C)(C)C1.CCCCCCCCCCCCCCCC(=O)OC2CC(C)(C)NC(C)(C)C2,-6.214524895199999,CCCCCCCCCCCCCCCC(=O)OC1CC(C)(C)NC(C)(C)C1.CCCCCCCCCCCCCCCCCC(=O)OC1CC(C)(C)NC(C)(C)C1
119,CCCCC(CC)CNC(=O)CCCCCC(C)C,-5.731545252999999,CCCCC(CC)CNC(=O)CCCCCC(C)C
120,CO[C@H]1C[C@@H](O[C@@H](C)[C@@H]1O)OC2[C@H](C)O[C@H](C[C@@H]2OC)OC3[C@@H](C)/C=C/C=C/4CO[C@@H]5[C@H](O)C(=C[C@@H](C(=O)O[C@H]6C[C@@H](C\C=C3/C)O[C@@]7(C6)O[C@@H]([C@@H](C)C=C7)C8CCCCC8)[C@]45O)C,-7.5558815137,CO[C@H]1C[C@H](OC2/C(C)=C/C[C@@H]3C[C@@H](C[C@]4(C=C[C@H](C)[C@@H](C5CCCCC5)O4)O3)OC(=O)[C@@H]3C=C(C)[C@@H](O)[C@H]4OC/C(=C\C=C\[C@@H]2C)[C@]43O)O[C@@H](C)C1O[C@H]1C[C@H](OC)[C@@H](O)[C@H](C)O1
121,c1ccc(cc1)c2ccc(cc2)c3ccccc3,-6.183335848,c1ccc(-c2ccc(-c3ccccc3)cc2)cc1
122,c1cc2ccc3cccc4ccc(c1)c2c34,-6.1787966156,c1cc2ccc3cccc4ccc(c1)c2c34
123,CCCCOC(=O)c1ccc(cc1)C(=O)OCCCC,-6.40319542,CCCCOC(=O)c1ccc(C(=O)OCCCC)cc1
124,CCC(CC)CC1(CCCCC1)C#N,-6.5873382321000005,CCC(CC)CC1(C#N)CCCCC1
125,COc1ccc(cc1)N2CCN(CC2)c3ccc(cc3)[N+]([O-])=O,-6.9290130346000005,COc1ccc(N2CCN(c3ccc([N+](=O)[O-])cc3)CC2)cc1
126,CC(C)CCCCCCCOC(=O)CCCCCCCCC(=O)OCCCCCCCC(C)C,-7.2523945018,CC(C)CCCCCCCOC(=O)CCCCCCCCC(=O)OCCCCCCCC(C)C
127,CCCCN(CCCC)c1ccc2c(Oc3cc(C)c(Nc4ccccc4)cc3C25OC(=O)c6ccccc56)c1,-7.4042503575,CCCCN(CCCC)c1ccc2c(c1)Oc1cc(C)c(Nc3ccccc3)cc1C21OC(=O)c2ccccc21
128,FC1(F)Oc2cccc(C=O)c2O1,-2.1558333574,O=Cc1cccc2c1OC(F)(F)O2
129,CCNc1cc(C#N)c(N)c2C(=O)c3ccccc3C(=O)c12,-7.6382805905,CCNc1cc(C#N)c(N)c2c1C(=O)c1ccccc1C2=O
130,CCCCCCCC\C=C/CCCCCCCCNCCCN.CCCCCCCC\C=C/CCCCCCCC(O)=O.CCCCCCCC\C=C/CCCCCCCC(O)=O,-8.2501920599,CCCCCCCC/C=C\CCCCCCCC(=O)O.CCCCCCCC/C=C\CCCCCCCC(=O)O.CCCCCCCC/C=C\CCCCCCCCNCCCN
131,CCCCC(CC)COC(=O)c1ccc(Nc2nc(Nc3ccc(cc3)C(=O)NC(C)(C)C)nc(Nc4ccc(cc4)C(=O)OCC(CC)CCCC)n2)cc1,-8.1852587653,CCCCC(CC)COC(=O)c1ccc(Nc2nc(Nc3ccc(C(=O)NC(C)(C)C)cc3)nc(Nc3ccc(C(=O)OCC(CC)CCCC)cc3)n2)cc1
132,O=[V]=O,-4.4002500912,[O-2].[O-2].[V+4]
133,[Cl-].CCCCCCCCCCCC[n+]1ccccc1,-0.4539105371,CCCCCCCCCCCC[n+]1ccccc1.[Cl-]
134,Cc1cccc(C)c1OCC(O)=O,-2.2566445306,Cc1cccc(C)c1OCC(=O)O
135,CCCCC(CC)C(=O)O[Co]OB(O[Co])O[Co](OC(=O)C(CC)CCCC)OC(=O)C(CC)CCCC,-1.8254561435,CCCCC(CC)C(=O)[O-].CCCCC(CC)C(=O)[O-].CCCCC(CC)C(=O)[O-].[Co+2].[Co+3].[Co+].[O-]B([O-])[O-]
136,[Na+].[Na+].OCC1=CC(=N/Nc2ccc(c3ccccc23)[S]([O-])(=O)=O)\C(=O)/C(=N/Nc4ccc(c5ccccc45)[S]([O-])(=O)=O)C1=O,-0.8171647444,O=c1c(CO)c/c(=N\Nc2ccc(S(=O)(=O)[O-])c3ccccc23)c(=O)/c1=N/Nc1ccc(S(=O)(=O)[O-])c2ccccc12.[Na+].[Na+]
137,CC(=O)c1ccc(O)cc1,-1.1383824511,CC(=O)c1ccc(O)cc1
138,[O--].[O--].[Mg++].[Ca++],-1.9883562334,[Ca+2].[Mg+2].[O-2].[O-2]
139,[Na+].[Na+].Nc1ccc2cc(c(N=Nc3ccc(N=Nc4cccc(C([O-])=O)c4O)c5ccccc35)c(O)c2c1)[S]([O-])(=O)=O,-2.7868204517,Nc1ccc2cc(S(=O)(=O)[O-])c(N=Nc3ccc(N=Nc4cccc(C(=O)[O-])c4O)c4ccccc34)c(O)c2c1.[Na+].[Na+]
140,CC(C)=CCC\C(C)=C\C=C\C(C)=O,-3.2972120668,CC(=O)/C=C/C=C(\C)CCC=C(C)C
141,C=CN1CCN(C=C)C1=O,-1.1558864442,C=CN1CCN(C=C)C1=O
142,Nc1cc(ccc1O)[N+]([O-])=O,-2.2056018566,Nc1cc([N+](=O)[O-])ccc1O
143,[Mg++],-2.4020693383,[Mg+2]
144,O=[Ca],-1.7683268794999998,[Ca+2].[O-2]
145,[O-][N+](=O)c1ccc2NC(=O)Nc2c1,-3.2740875474,O=c1[nH]c2ccc([N+](=O)[O-])cc2[nH]1
146,Cc1ccc(cc1)[S](=O)(=O)/C(=C/N2CC(=O)NC2=S)C#N,-3.5292992951,Cc1ccc(S(=O)(=O)/C(C#N)=C/N2CC(=O)NC2=S)cc1
147,CCC1=C(O)C(=O)C=CO1,-1.1759580204,CCc1occc(=O)c1O
148,COC(=O)Cc1ccccc1,-2.2114017234,COC(=O)Cc1ccccc1
149,O.[Pb].O[S](O)(=O)=O,-4.226296415899999,O.O=S(=O)(O)O.[Pb]
150,Cc1c(Cl)cccc1[N+]([O-])=O,-3.2706864295,Cc1c(Cl)cccc1[N+](=O)[O-]
151,[OH-].[OH-].[Ca++],-1.9107299257,[Ca+2].[OH-].[OH-]
