ID,InChIKey,SMILES,LogS,SD,Group,sample_weight
C-169,XERJKGMBORTKEO-VZUCSPMQSA-N,CCNC(=O)NC(=O)C(=N/OC)/C#N,-2.3,0.0238500000000001,G3,0.8
C-177,RQHYVHQLEWVZJX-UHFFFAOYSA-N,CCCCCOC(=O)CCCNC(=O)NC1CCCCC1,-2.3,0.0,G1,0.6
C-178,VDVCBHJNKZNXKT-UHFFFAOYSA-N,CCC1(CC=C(C)C)C(=O)NC(=O)NC1=O,-2.25,0.0,G1,0.6
C-179,PXGPLTODNUVGFL-RTYMFESYSA-N,CCCCCC(O)/C=C/C1C(O)CC(O)C1C\C=C\CCCC(O)=O,-2.33,0.0,G1,0.6
C-183,XIOUPQUYEUYPAW-UHFFFAOYSA-N,O=C1NC(=S)NC(=O)C12CCCCC2,-3.46,0.0,G1,0.6
C-188,PSTVHRSUNBSVIJ-UHFFFAOYSA-N,CCCCCCC1(CC)C(=O)NC(=O)NC1=O,-3.05,0.0,G1,0.6
C-191,RQNKKIXVVHCBKY-UHFFFAOYSA-N,O=C1NC(=O)C2(CCCCCCC2)C(=O)N1,-2.98,0.0,G1,0.6
C-194,RAFOHKSPUDGZPR-VOTSOKGWSA-N,CC/C=C(C)/C1(CC)C(=O)NC(=O)NC1=O,-2.31,0.0,G1,0.6
C-197,BJVVMKUXKQHWJK-UHFFFAOYSA-N,CCC(C)C1(CC=C)C(=O)NC(=O)NC1=O,-2.02,0.0,G1,0.6
C-201,NVKAWKQGWWIWPM-UHFFFAOYSA-N,CC12CCC3C(CCC4CC(=O)CCC34C)C1CCC2O,-4.74,0.0,G1,0.6
C-206,QLNWXBAGRTUKKI-UHFFFAOYSA-N,CC(=O)NC1=CC=CC(=C1)O,-1.06,0.0,G1,0.6
C-207,FLJQERBDKWFELA-UHFFFAOYSA-N,CCCCCCCC1(CC)C(=O)NC(=O)NC1=O,-3.43,0.0,G1,0.6
C-209,XHQZJYCNDZAGLW-UHFFFAOYSA-N,COC1=CC(=CC=C1)C(O)=O,-1.93,0.0,G1,0.6
C-217,ILUJQPXNXACGAN-UHFFFAOYSA-N,COC1=CC=CC=C1C(O)=O,-1.6,0.05835,G3,0.8
C-218,ZCDHRBAYNFWZBH-UHFFFAOYSA-N,CC(C)C1(CC=C(C)C)C(=O)NC(=O)NC1=O,-2.59,0.0,G1,0.6
C-222,DLGBEGBHXSAQOC-UHFFFAOYSA-N,CC1=CC(=C(O)C=C1)C(O)=O,-2.76,0.0,G1,0.6
C-225,YASYVMFAVPKPKE-UHFFFAOYSA-N,CO[P](=O)(NC(C)=O)SC,0.54,0.05495,G3,0.8
C-226,NTYYDJWPKCQQIB-UHFFFAOYSA-N,CCCCCCCCC1(CC)C(=O)NC(=O)NC1=O,-3.94,0.0,G1,0.6
C-229,ZETIVVHRRQLWFW-UHFFFAOYSA-N,[O-][N+](=O)C1=CC=CC(=C1)C=O,-1.98,0.0064499999999999,G3,0.8
C-231,IUJDSEJGGMCXSG-UHFFFAOYSA-N,CCCC(C)C1(CC)C(=O)NC(=S)NC1=O,-3.6,0.1200000000000001,G3,0.8
C-234,NUVBSKCKDOMJSU-UHFFFAOYSA-N,CCOC(=O)C1=CC=C(O)C=C1,-2.2,0.1383240245432793,G5,1.0
C-236,FMTLDVACNZDTQL-UHFFFAOYSA-N,CCC1C(=O)NC(=O)NC1=O,-0.92,0.0,G1,0.6
C-239,KBOPZPXVLCULAV-UHFFFAOYSA-N,NC1=CC(=C(O)C=C1)C(O)=O,-2.26,0.0,G1,0.6
C-242,UXCYPHCFQAFVFH-UHFFFAOYSA-N,S=C=NC1=CC=CC(=C1)C#N,-3.19,0.0,G1,0.6
C-244,DDIZAANNODHTRB-UHFFFAOYSA-N,COC(=O)C1=CC=C(OC)C=C1,-2.34,0.0362,G3,0.8
C-246,KMXPZGOJCXKDSG-UHFFFAOYSA-N,CCCCCCCCCC1(CC)C(=O)NC(=O)NC1=O,-4.46,0.0,G1,0.6
C-247,ZHGXICWKWFWBKM-UHFFFAOYSA-N,COC(=O)CCCNC(=O)N[C]12C[CH]3[CH2]C([CH2][CH](C3)C1)C2,-2.25,0.0,G1,0.6
C-251,WXTMDXOMEHJXQO-UHFFFAOYSA-N,OC(=O)C1=CC(=CC=C1O)O,-0.85,0.3194499999999999,G3,0.8
C-254,DRLSBGXFFUXZIN-UHFFFAOYSA-N,CC(C)=CCC1(C(=O)NC(=O)NC1=O)C(C)(C)C,-3.55,0.0,G1,0.6
C-256,SKLUWKYNZNXSLX-UHFFFAOYSA-N,CC(=O)NC1=CC=C(C=O)C=C1,-1.63,0.0249999999999999,G3,0.8
C-261,PAZQYDJGLKSCSI-UHFFFAOYSA-N,CCC1(C(=O)NC(=O)NC1=O)C2=CCCCCC2,-3.0,0.0,G1,0.6
C-265,QELSKZZBTMNZEB-UHFFFAOYSA-N,CCCOC(=O)C1=CC=C(O)C=C1,-2.68,0.0662930326635716,G5,1.0
C-266,COBKAOXSLALTLT-UHFFFAOYSA-N,O=C1NC(=O)C2(CCCCCCCCCC2)C(=O)N1,-4.59,0.0,G1,0.6
C-267,HRDJPEMAGYHSJR-UHFFFAOYSA-N,CN(C)C1=CC=C(C=C1)N=C=S,-4.13,0.0,G1,0.6
C-273,VIKNJXKGJWUCNN-UHFFFAOYSA-N,CC12CCC3C(CCC4=CC(=O)CCC34)C1CCC2(O)C#C,-4.63,0.157480157480236,G5,1.0
C-281,GMVPRGQOIOIIMI-OUKQBFOZSA-N,CCCCCC(O)/C=C/C1C(O)CC(=O)C1CCCCCCC(O)=O,-3.67,0.0,G1,0.6
C-283,XBNGYFFABRKICK-UHFFFAOYSA-N,OC1=C(F)C(=C(F)C(=C1F)F)F,-0.52,0.0,G1,0.6
C-286,XRXMNWGCKISMOH-UHFFFAOYSA-N,OC(=O)C1=C(Br)C=CC=C1,-2.05,0.0076499999999999,G3,0.8
C-287,STUSTWKEFDQFFZ-UHFFFAOYSA-N,CN(C)C=NC1=C(C)C=C(Cl)C=C1,-2.88,0.0087999999999999,G3,0.8
C-290,HALJZHTVEIOBKZ-UHFFFAOYSA-N,O=C1NC(=O)C2(CCCCCCCCCCC2)C(=O)N1,-5.8,0.0,G1,0.6
C-293,XEYBRNLFEZDVAW-RTYMFESYSA-N,CCCCCC(O)/C=C/C1C(O)CC(=O)C1C\C=C\CCCC(O)=O,-2.47,0.0,G1,0.6
C-302,AEMFNILZOJDQLW-UHFFFAOYSA-N,CC12CCC3C(CCC4=CC(=O)CCC34C)C1CCC2=O,-3.7,0.0050000000000001,G3,0.8
C-303,AVOQDBLSHMVAMW-UHFFFAOYSA-N,CCC1=C(CCCC1)C2(CC)C(=O)NC(=O)NC2=O,-3.53,0.0,G1,0.6
C-304,WWYNJERNGUHSAO-UHFFFAOYSA-N,CCC12CCC3C(CCC4=CC(=O)CCC34)C1CCC2(O)C#C,-5.19,0.0,G1,0.6
C-308,CXBMCYHAMVGWJQ-UHFFFAOYSA-N,CC(C)=CC1C(C(=O)OCN2C(=O)C3=C(CCCC3)C2=O)C1(C)C,-5.26,0.0,G1,0.6
C-310,QIAFMBKCNZACKA-UHFFFAOYSA-N,OC(=O)CNC(=O)C1=CC=CC=C1,-1.69,0.0264553712252666,G5,1.0
C-314,BMLIZLVNXIYGCK-UHFFFAOYSA-N,CN(C)C(=O)NC1=CC=C(Cl)C=C1,-2.89,0.0231999999999998,G3,0.8
C-319,SLAMLWHELXOEJZ-UHFFFAOYSA-N,OC(=O)C1=C(C=CC=C1)[N+]([O-])=O,-1.35,0.0623453464359788,G5,1.0
C-322,RBEFRYQKJYMLCC-UHFFFAOYSA-N,OC(=O)C1=CC=C(C=C1)N=C=S,-3.98,0.0,G1,0.6
C-327,KPYSYYIEGFHWSV-UHFFFAOYSA-N,NCC(CC(O)=O)C1=CC=C(Cl)C=C1,-1.7,0.0,G1,0.6
C-328,PJRBPKOOGLKPFB-UHFFFAOYSA-N,OC(=O)C1=CC(=CC=C1)N=C=S,-3.25,0.0,G1,0.6
C-329,ODCWYMIRDDJXKW-UHFFFAOYSA-N,CCNC1=NC(=NC(=N1)Cl)NCC,-4.55,0.2077337375948958,G5,1.0
C-331,FWZMBTIUIQUJFF-UHFFFAOYSA-N,CCC(C)C1(CC(Br)=C)C(=O)NC(=O)NC1=O,-2.65,0.0,G1,0.6
C-334,NQJCTWSXXZBQGX-UHFFFAOYSA-N,CCCCCOC(=O)CCCNC(=O)N[C]12C[CH]3[CH2]C([CH2][CH](C3)C1)C2,-2.32,0.0,G1,0.6
C-359,IEJOONSLOGAXNO-UHFFFAOYSA-N,OC(=O)C1=C(O)C=CC(=C1)Br,-2.65,0.0,G1,0.6
C-382,RUDATBOHQWOJDD-UHFFFAOYSA-N,CC(CCC(O)=O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CCC12C,-4.57,0.4915790882452181,G5,1.0
C-384,SNLGBRZZFRSXHA-UHFFFAOYSA-N,IC1=CC=C(C=C1)N=C=S,-4.05,0.0,G1,0.6
C-389,RJKFOVLPORLFTN-UHFFFAOYSA-N,CC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,-4.43,0.0,G1,0.6
C-393,IAIWVQXQOWNYOU-FPYGCLRLSA-N,NC(=O)N/N=C/C1=CC=C(O1)[N+]([O-])=O,-2.98,0.0,G1,0.6
C-401,WJNRPILHGGKWCK-UHFFFAOYSA-N,CC(C)NC1=NC(=NC(=N1)Cl)NC(C)C,-4.46,0.2082008171911345,G5,1.0
C-406,RROQIUMZODEXOR-UHFFFAOYSA-N,ClC(Cl)(Cl)C(NC=O)N1CCN(CC1)C(NC=O)C(Cl)(Cl)Cl,-4.16,0.0150000000000001,G3,0.8
C-412,LKJPSUCKSLORMF-UHFFFAOYSA-N,CON(C)C(=O)NC1=CC=C(Cl)C=C1,-2.47,0.0844409589923962,G5,1.0
C-415,DFXQXFGFOLXAPO-UHFFFAOYSA-N,OC(=O)C1=CC=C(Cl)C(=C1)[N+]([O-])=O,-2.76,0.0849999999999999,G3,0.8
C-416,YIVXMZJTEQBPQO-UHFFFAOYSA-N,OC(=O)CCCOC1=C(Cl)C=C(Cl)C=C1,-3.57,0.05105,G3,0.8
C-420,BHQCQFFYRZLCQQ-UHFFFAOYSA-N,CC(CCC(O)=O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C,-3.63,0.1299999999999999,G3,0.8
C-422,ARHWPKZXBHOEEE-UHFFFAOYSA-N,OC(=O)CC1=CC(=C(OCC=C)C=C1)Cl,-3.13,0.0,G1,0.6
C-427,VCHSXYHBMFKRBK-UHFFFAOYSA-N,OC(=O)C1=C(C(=CC=C1)Cl)[N+]([O-])=O,-2.63,0.0,G1,0.6
C-429,BOKGTLAJQHTOKE-UHFFFAOYSA-N,OC1=CC=CC2=C1C=CC=C2O,-2.92,0.2499903686889832,G5,1.0
C-430,RPTUSVTUFVMDQK-UHFFFAOYSA-N,NNC1=NN=CC2=C1C=CC=C2,-2.6,0.0,G1,0.6
C-431,IWEDIXLBFLAXBO-UHFFFAOYSA-N,COC1=C(C(O)=O)C(=CC=C1Cl)Cl,-1.7,0.1375499999999999,G3,0.8
C-433,BFZHCUBIASXHPK-UHFFFAOYSA-N,CC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3C(O)CC12C,-3.82,0.0,G1,0.6
C-435,MCOQHIWZJUDQIC-UHFFFAOYSA-N,ClCC#CCOC(=O)NC1=CC(=CC=C1)Cl,-4.24,0.0651999999999999,G3,0.8
C-437,PDMMFKSKQVNJMI-UHFFFAOYSA-N,CCC(=O)OC1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,-5.37,0.0,G1,0.6
C-438,COVZYZSDYWQREU-UHFFFAOYSA-N,C[S](=O)(=O)OCCCCO[S](C)(=O)=O,-2.27,0.0,G1,0.6
C-442,QZXCCPZJCKEPSA-UHFFFAOYSA-N,OC(=O)CC1=C(Cl)C=CC(=C1Cl)Cl,-3.08,0.0,G1,0.6
C-444,WYDUSKDSKCASEF-UHFFFAOYSA-N,OC(CCN1CCCC1)(C2CCCCC2)C3=CC=CC=C3,-4.7,0.0,G1,0.6
C-468,SKGXUFZRYNGFJS-UHFFFAOYSA-N,ClC1=CC2=C(C=CC=C2)C=C1Cl,-5.36,0.4982999999999999,G3,0.8
C-471,VQBIYCQGHAHVPN-UHFFFAOYSA-N,ClC1=CC2=C(C=CC=C2Cl)C=C1,-5.92,0.0,G1,0.6
C-472,NGFMICBWJRZIBI-UHFFFAOYSA-N,OCC1OC(OC2=CC=CC=C2CO)C(O)C(O)C1O,-0.85,0.0,G1,0.6
C-477,ZBQZXTBAGBTUAD-UHFFFAOYSA-N,ClC1=CC=CC2=C1C=CC=C2Cl,-5.7,0.008,G3,0.8
C-483,RTMXPNYHPHIDHX-UHFFFAOYSA-N,S=C=NC1=CC2=CC=CC=C2C=C1,-4.44,0.0,G1,0.6
C-486,OMFXVFTZEKFJBZ-UHFFFAOYSA-N,CC12CC(O)C3C(CCC4=CC(=O)CCC34C)C1CCC2C(=O)CO,-3.24,0.0,G1,0.6
C-492,SMYMJHWAQXWPDB-UHFFFAOYSA-N,OC(=O)COC1=C(Cl)C=C(Cl)C(=C1)Cl,-2.98,0.00835,G3,0.8
C-494,QMSFHWZMMPPKIR-UHFFFAOYSA-N,OC(=O)COC1=C(Cl)C(=C(Cl)C=C1)Cl,-3.1,0.0,G1,0.6
C-495,VOXZDWNPVJITMN-UHFFFAOYSA-N,CC12CCC3C(CCC4=CC(=CC=C34)O)C1CCC2O,-4.83,0.1,G3,0.8
C-499,PCZOHLXUXFIOCF-UHFFFAOYSA-N,CCC(C)C(=O)OC1CC(C)C=C2C=CC(C)C(CCC3CC(O)CC(=O)O3)C12,-6.01,0.0,G1,0.6
C-507,GYSSRZJIHXQEHQ-UHFFFAOYSA-N,CC1=C(SCCO1)C(=O)NC2=CC=CC=C2,-3.14,0.0321499999999999,G3,0.8
C-508,VWPOSFSPZNDTMJ-UHFFFAOYSA-N,CC(C)(C)NCC(O)COC1=CC=CC2=C1CC(O)C(O)C2,-1.01,0.0,G1,0.6
C-519,RKUNBYITZUJHSG-UHFFFAOYSA-N,CN1C2CCC1CC(C2)OC(=O)C(CO)C3=CC=CC=C3,-1.91,0.4025339185156396,G5,1.0
C-523,SKIVFJLNDNKQPD-UHFFFAOYSA-N,CC(=O)N[S](=O)(=O)C1=CC=C(N)C=C1,-1.41,0.1177907749641994,G5,1.0
C-530,FAOZLTXFLGPHNG-UHFFFAOYSA-N,CC1CC2C3CCC(O)(C(C)=O)C3(C)CC(O)C2(F)C4(C)C=CC(=O)C=C14,-4.1,0.0,G1,0.6
C-531,RZCJYMOBWVJQGV-UHFFFAOYSA-N,OC(=O)COC1=CC2=C(C=CC=C2)C=C1,-3.36,0.0,G1,0.6
C-533,RYYVLZVUVIJVGH-UHFFFAOYSA-N,C[N]1C=NC2=C1C(=O)N(C)C(=O)N2C,-0.91,0.0344201635493308,G5,1.0
C-534,XCGYUJZMCCFSRP-UHFFFAOYSA-N,CC(C)NCC1CCC2=C(N1)C=C(C(=C2)CO)[N+]([O-])=O,-2.97,0.0,G1,0.6
C-542,BFPYWIDHMRZLRN-UHFFFAOYSA-N,CC12CCC3C(CCC4=CC(=CC=C34)O)C1CCC2(O)C#C,-4.47,0.0849999999999999,G3,0.8
C-545,ALARQZQTBTVLJV-UHFFFAOYSA-N,CCC1(C(=O)NC(=O)N(C)C1=O)C2=CC=CC=C2,-3.68,0.0,G1,0.6
C-547,TXCDCPKCNAJMEE-UHFFFAOYSA-N,O1C2=C(C=CC=C2)C3=C1C=CC=C3,-4.6,0.1203792617798705,G5,1.0
C-553,STECJAGHUSJQJN-UHFFFAOYSA-N,CN1C2CC(CC1C3OC23)OC(=O)C(CO)C4=CC=CC=C4,-1.24,0.38,G3,0.8
C-554,TTWJBBZEZQICBI-UHFFFAOYSA-N,CCN(CC)CCNC(=O)C1=CC(=C(N)C=C1OC)Cl,-3.18,0.1949999999999998,G3,0.8
C-556,SGDBTWWWUNNDEQ-UHFFFAOYSA-N,NC(CC1=CC=C(C=C1)N(CCCl)CCCl)C(O)=O,-3.49,0.0,G1,0.6
C-557,VGPYEHKOIGNJKV-UHFFFAOYSA-N,COC(=O)N[S](=O)(=O)C1=CC=C(N)C=C1,-1.76,0.0484,G3,0.8
C-559,VPGRYOFKCNULNK-UHFFFAOYSA-N,CC(=O)OCC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,-4.97,0.1699999999999999,G3,0.8
C-562,MKUXAQIIEYXACX-UHFFFAOYSA-N,NC1=NC2=C(N=C[N]2COCCO)C(=O)N1,-2.12,0.0115499999999999,G3,0.8
C-564,IMSSROKUHAOUJS-UHFFFAOYSA-N,COC1=CC=C2C3CCC4(C)C(CCC4(O)C#C)C3CCC2=C1,-5.49,0.0,G1,0.6
C-565,MFYSYFVPBJMHGN-UHFFFAOYSA-N,CC12CCC(=O)C=C1CCC3C4CCC(O)(C(=O)CO)C4(C)CC(=O)C23,-3.11,0.0,G1,0.6
C-566,QPFYXYFORQJZEC-UHFFFAOYSA-N,NC1=NC(=C(C=C1)N=NC2=CC=CC=C2)N,-4.24,0.0,G1,0.6
C-571,RWMPWXCERLGUAF-UHFFFAOYSA-N,COC(=O)C[S](=O)(=O)C1=CC=C(Cl)C=C1,-2.38,0.0,G1,0.6
C-583,ZWJINEZUASEZBH-UHFFFAOYSA-N,OC(=O)C1=CC=CC=C1NC2=CC=CC=C2,-4.96,0.0,G1,0.6
C-586,GFNANZIMVAIWHM-UHFFFAOYSA-N,CC12CC(O)C3(F)C(CCC4=CC(=O)C=CC34C)C1CC(O)C2(O)C(=O)CO,-3.68,0.0,G1,0.6
C-589,BXZVVICBKDXVGW-UHFFFAOYSA-N,OCC1CCC(O1)[N]2C=NC3=C2N=CNC3=O,-0.94,0.0,G1,0.6
C-591,XKFPYPQQHFEXRZ-UHFFFAOYSA-N,CC1=CC(=NO1)C(=O)NNCC2=CC=CC=C2,-2.46,0.0,G1,0.6
C-596,PCNDJXKNXGMECE-UHFFFAOYSA-N,C1=CC2=C(C=C1)N=C3C=CC=CC3=N2,-3.7,0.0,G1,0.6
C-600,HFCYZXMHUIHAQI-UHFFFAOYSA-N,O=C(NC1=CN=NS1)NC2=CC=CC=C2,-3.85,0.0959499999999999,G3,0.8
C-604,JLRGJRBPOGGCBT-UHFFFAOYSA-N,CCCCNC(=O)N[S](=O)(=O)C1=CC=C(C)C=C1,-3.17,0.1122499999999999,G3,0.8
C-605,HAORKNGNJCEJBX-UHFFFAOYSA-N,CC1=NC(=NC(=C1)C2CC2)NC3=CC=CC=C3,-4.05,0.0944000000000002,G3,0.8
C-609,ALEXXDVDDISNDU-UHFFFAOYSA-N,CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3C(O)CC12C,-4.61,0.1349999999999998,G3,0.8
C-610,NPUKDXXFDDZOKR-UHFFFAOYSA-N,CCOC(=O)C1=CN=C[N]1C(C)C2=CC=CC=C2,-4.73,0.0,G1,0.6
C-611,CMWTZPSULFXXJA-UHFFFAOYSA-N,COC1=CC=C2C=C(C=CC2=C1)C(C)C(O)=O,-3.29,0.4354135171500002,G3,0.8
C-612,POZRVZJJTULAOH-UHFFFAOYSA-N,CC12CC3=C(ON=C3)C=C1CCC4C2CCC5(C)C4CCC5(O)C#C,-5.51,0.0,G1,0.6
C-617,IRSCQMHQWWYFCW-UHFFFAOYSA-N,NC1=NC2=C(N=C[N]2COC(CO)CO)C(=O)N1,-1.77,0.0,G1,0.6
C-618,GYHGUZNRWIIXIG-UHFFFAOYSA-N,CC1N(C)CN2C(=O)C3=C(C=CC=C3)N=C12,0.03,0.0,G1,0.6
C-621,DBCUYSCFFFBUJG-UHFFFAOYSA-N,CC(C)OC(=O)C[S](=O)(=O)C1=CC=C(Cl)C=C1,-2.41,0.0,G1,0.6
C-624,HBOMLICNUCNMMY-UHFFFAOYSA-N,CC1=CN(C2CC(N=[N+]=[N-])C(CO)O2)C(=O)NC1=O,-1.16,0.0,G1,0.6
C-626,HMGCFJCNDADXNC-UHFFFAOYSA-N,CC(C)OC(=O)C1(CCC1)[S](=O)(=O)C2=CC=C(C)C=C2,-3.34,0.0,G1,0.6
C-631,LRJOMUJRLNCICJ-UHFFFAOYSA-N,CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)C=CC4(C)C3C(O)CC12C,-4.38,0.0,G1,0.6
C-633,WOCXQMCIOTUMJV-UHFFFAOYSA-N,NC(=O)C1=CC(=C(C=C1[N+]([O-])=O)[N+]([O-])=O)N2CC2,-2.3,0.0,G1,0.6
C-638,CNEVNTZDQZVZGP-UHFFFAOYSA-N,COC(=O)C[S](=O)(=O)C1=CC=C(Br)C=C1,-2.48,0.0,G1,0.6
C-643,QUBSMEXIPLOOMC-UHFFFAOYSA-N,N[S](=O)(=O)C1=CC2=C(SCCC2O)S1,-2.59,0.0,G1,0.6
C-644,XBQBUJRJLAOQHD-UHFFFAOYSA-N,COC(=O)C1(CCCCC1)[S](=O)(=O)C2=CC=C(C)C=C2,-4.61,0.0,G1,0.6
C-645,FLOSMHQXBMRNHR-UHFFFAOYSA-N,CN1N=C(SC1=NC(C)=O)[S](N)(=O)=O,-1.92,0.04535,G3,0.8
C-653,NXFQHRVNIOXGAQ-YCRREMRBSA-N,[O-][N+](=O)C1=CC=C(O1)\C=N\N2CC(=O)NC2=O,-3.38,0.0970935974545523,G5,1.0
C-659,RLBIQVVOMOPOHC-UHFFFAOYSA-N,CO[P](=S)(OC)OC1=CC=C(C=C1)[N+]([O-])=O,-3.68,0.0819999999999998,G3,0.8
C-661,NZXHFDXOCVIYLO-UHFFFAOYSA-N,CC1=NC(=O)C(=C(NCC2=CN=CC=C2)N1)C#N,-2.35,0.0,G1,0.6
C-662,IRCMYGHHKLLGHV-UHFFFAOYSA-N,CCOC1OC2=CC=C(O[S](C)(=O)=O)C=C2C1(C)C,-3.42,0.1689499999999999,G3,0.8
C-665,OIRDTQYFTABQOQ-UHFFFAOYSA-N,NC1=NC=NC2=C1N=C[N]2C3OC(CO)C(O)C3O,-1.73,0.04047976845,G3,0.8
C-666,SYTBZMRGLBWNTM-UHFFFAOYSA-N,CC(C(O)=O)C1=CC=C(C(=C1)F)C2=CC=CC=C2,-4.29,0.137290478750551,G5,1.0
C-670,ZJFXBQVTEYWQHW-UHFFFAOYSA-N,CC(C)OC(=O)C1(CCCC1)[S](=O)(=O)C2=CC=C(C)C=C2,-3.91,0.0,G1,0.6
C-674,KNLCLQCILLJWHK-UHFFFAOYSA-N,CNC(=O)C1=CC(=C(C=C1[N+]([O-])=O)[N+]([O-])=O)N2CC2,-2.85,0.0,G1,0.6
C-676,YNDXUCZADRHECN-UHFFFAOYSA-N,CC1(C)OC2CC3C4CCC5=CC(=O)C=CC5(C)C4(F)C(O)CC3(C)C2(O1)C(=O)CO,-4.31,0.2993697082575693,G5,1.0
C-682,HXHWSAZORRCQMX-UHFFFAOYSA-N,CCCSC1=CC2=C([NH]C(=N2)NC(=O)OC)C=C1,-4.22,0.0,G1,0.6
C-684,LTMRJPIOLKBUKZ-UHFFFAOYSA-N,CCCN1CN2C(=O)C3=C(C=CC=C3)N=C2C1C,-2.67,0.0,G1,0.6
C-685,HZJKXKUJVSEEFU-UHFFFAOYSA-N,CCCCC(C[N]1C=NC=N1)(C#N)C2=CC=C(Cl)C=C2,-3.31,0.0,G1,0.6
C-687,WVLOADHCBXTIJK-UHFFFAOYSA-N,CN1CCC23C4CCC(=O)C2OC5=C(O)C=CC(=C35)CC14,-2.1,0.0,G1,0.6
C-688,WKLCYOHFTPREOW-UHFFFAOYSA-N,N[S](=O)(=O)C1=CC2=C(SCCC2=O)S1,-3.55,0.0,G1,0.6
C-689,AIVXUNRQBRKFJO-UHFFFAOYSA-N,N[S](=O)(=O)C1=CC2=C(S1)C(=O)CCS2,-3.49,0.0,G1,0.6
